measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed
2001-01-01,93.167,950.0,950.0,,,
2001-02-01,79.816,814.0,814.0,,,
2001-03-01,86.688,884.0,884.0,,,
2001-04-01,76.0,775.0,775.0,,,
2001-05-01,74.533,760.0,760.0,,,
2001-06-01,75.335,768.0,768.0,,,
2001-07-01,79.203,808.0,808.0,,,
2001-08-01,78.733,803.0,803.0,,,
2001-09-01,93.0,948.0,948.0,,,
2001-10-01,89.296,911.0,911.0,,,
2001-11-01,92.483,943.0,943.0,,,
2001-12-01,104.74600000000001,1068.0,1068.0,,,
2009-01-01,,,,153.172,1515.0,1515.0
2009-02-01,,,,112.41900000000001,1111.0,1111.0
2009-03-01,,,,116.765,1156.0,1156.0
2009-04-01,,,,119.974,1190.0,1190.0
2009-05-01,,,,71.927,713.0,713.0
2009-06-01,,,,70.63300000000001,701.0,701.0
2009-07-01,,,,79.632,791.0,791.0
2009-08-01,,,,79.21900000000001,786.0,786.0
2009-09-01,,,,52.77,522.0,522.0
2009-10-01,,,,52.286,516.0,516.0
2009-11-01,,,,99.388,982.0,982.0
2009-12-01,,,,100.815,999.0,999.0
2010-01-01,,,,149.24,1431.0,1431.0
2010-02-01,,,,118.575,1139.0,1139.0
2010-03-01,,,,104.953,1010.0,1010.0
2010-04-01,,,,92.91900000000001,892.0,892.0
2010-05-01,,,,77.26700000000001,741.0,741.0
2010-06-01,,,,60.653000000000006,583.0,583.0
2010-07-01,,,,69.58800000000001,668.0,668.0
2010-08-01,,,,70.947,679.0,679.0
2010-09-01,,,,64.962,623.0,623.0
2010-10-01,,,,77.87,746.0,746.0
2010-11-01,,,,88.694,853.0,853.0
2010-12-01,,,,161.332,1548.0,1548.0
2011-01-01,,,,139.011,1369.0,1369.0
2011-02-01,,,,124.143,1229.0,1229.0
2011-03-01,,,,108.685,1072.0,1072.0
2011-04-01,,,,70.419,696.0,696.0
2011-05-01,,,,73.805,729.0,729.0
2011-06-01,,,,68.57,679.0,679.0
2011-07-01,,,,72.462,718.0,718.0
2011-08-01,,,,65.402,645.0,645.0
2011-09-01,,,,72.48,718.0,718.0
2011-10-01,,,,128.137,1268.0,1268.0
2011-11-01,,,,118.636,1172.0,1172.0
2011-12-01,,,,117.25,1161.0,1161.0
2012-01-01,,,,130.756,1358.0,1358.0
2012-02-01,,,,77.12,797.0,797.0
2012-03-01,,,,116.966,1206.0,1206.0
2012-04-01,,,,74.061,763.0,763.0
2012-05-01,,,,92.677,954.0,954.0
2012-06-01,,,,75.628,780.0,780.0
2012-07-01,,,,118.25,1217.0,1217.0
2012-08-01,,,,110.186,1133.0,1133.0
2012-09-01,,,,102.579,1055.0,1055.0
2012-10-01,,,,76.194,785.0,785.0
2012-11-01,,,,81.718,842.0,842.0
2012-12-01,,,,125.865,1296.0,1296.0
2013-01-01,,,,137.668,1403.0,1403.0
2013-02-01,,,,94.985,965.0,965.0
2013-03-01,,,,96.077,976.0,976.0
2013-04-01,,,,110.821,1128.0,1128.0
2013-05-01,,,,111.687,1133.0,1133.0
2013-06-01,,,,80.207,813.0,813.0
2013-07-01,,,,75.944,774.0,774.0
2013-08-01,,,,74.931,763.0,763.0
2013-09-01,,,,87.939,892.0,892.0
2013-10-01,,,,84.621,858.0,858.0
2013-11-01,,,,110.297,1122.0,1122.0
2013-12-01,,,,124.823,1268.0,1268.0
2014-01-01,,,,124.193,1262.0,1262.0
2014-02-01,,,,117.834,1195.0,1195.0
2014-03-01,,,,115.028,1167.0,1167.0
2014-04-01,,,,108.077,1094.0,1094.0
2014-05-01,,,,91.253,926.0,926.0
2014-06-01,,,,54.391,550.0,550.0
2014-07-01,,,,96.158,976.0,976.0
2014-08-01,,,,77.366,786.0,786.0
2014-09-01,,,,91.024,926.0,926.0
2014-10-01,,,,120.326,1223.0,1223.0
2014-11-01,,,,87.949,892.0,892.0
2014-12-01,,,,114.401,1161.0,1161.0
2015-01-01,,,,128.494,1212.0,1212.0
2015-02-01,,,,113.32,1077.0,1077.0
2015-03-01,,,,113.997,1083.0,1083.0
2015-04-01,,,,118.06,1122.0,1122.0
2015-05-01,,,,94.881,903.0,903.0
2015-06-01,,,,94.527,898.0,898.0
2015-07-01,,,,98.231,931.0,931.0
2015-08-01,,,,111.523,1060.0,1060.0
2015-09-01,,,,100.44,954.0,954.0
2015-10-01,,,,114.911,1088.0,1088.0
2015-11-01,,,,80.347,763.0,763.0
2015-12-01,0.0,0.0,0.0,77.269,735.0,735.0
2016-01-01,0.0,0.0,0.0,103.623,968.0,1021.0
2016-02-01,0.0,0.0,0.0,114.995,1074.0,1128.0
2016-03-01,0.0,0.0,0.0,108.825,1016.0,1066.0
2016-04-01,0.0,0.0,0.0,89.122,832.0,875.0
2016-05-01,0.0,0.0,0.0,81.295,759.0,797.0
2016-06-01,0.0,0.0,0.0,81.774,764.0,802.0
2016-07-01,0.0,0.0,0.0,68.408,639.0,673.0
2016-08-01,0.0,0.0,0.0,89.654,837.0,881.0
2016-09-01,0.0,0.0,0.0,91.351,853.0,898.0
2016-10-01,0.0,0.0,0.0,104.902,979.0,1032.0
2016-11-01,0.0,0.0,0.0,146.383,1367.0,1436.0
2016-12-01,0.0,0.0,0.0,197.668,1846.0,1941.0
2017-01-01,0.0,0.0,0.0,116.759,1091.0,1184.0
2017-02-01,0.0,0.0,0.0,94.276,881.0,948.0
2017-03-01,0.0,0.0,0.0,108.551,1014.0,1094.0
2017-04-01,0.0,0.0,0.0,100.083,935.0,1010.0
2017-05-01,0.0,0.0,0.0,99.975,934.0,1010.0
2017-06-01,0.0,0.0,0.0,105.448,985.0,1060.0
2017-07-01,0.0,0.0,0.0,107.457,1004.0,1083.0
2017-08-01,0.0,0.0,0.0,110.996,1037.0,1116.0
2017-09-01,0.0,0.0,0.0,110.404,1032.0,1111.0
2017-10-01,0.0,0.0,0.0,112.682,1053.0,1133.0
2017-11-01,0.0,0.0,0.0,99.804,933.0,1004.0
2017-12-01,0.0,0.0,0.0,101.565,949.0,1021.0
2018-01-01,0.0,0.0,0.0,105.441,986.0,1055.0
