measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2005-01-01,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0
2005-04-01,4345.022,45893.26,45893.26
2005-05-01,4154.874,43884.87,43884.87
2005-06-01,7843.214,82842.08,82842.08
2005-07-01,10325.221,109057.69,109057.69
2005-08-01,10257.077,108337.94,108337.94
2005-09-01,6210.002,65591.67,65591.67
2005-10-01,4403.26,46508.39,46508.39
2005-11-01,3859.107,40760.9,40760.9
2005-12-01,4824.222000000001,50954.7,50954.7
2006-01-01,2184.94,21259.0,21259.0
2006-02-01,2469.875,24031.0,24031.0
2006-03-01,3254.704,31667.0,31667.0
2006-04-01,2693.3830000000003,26206.0,26206.0
2006-05-01,3547.8720000000003,34520.0,34520.0
2006-06-01,4570.063,44466.0,44466.0
2006-07-01,8177.972000000001,79570.0,79570.0
2006-08-01,7266.849,70705.0,70705.0
2006-09-01,4274.508,41590.0,41590.0
2006-10-01,4630.1410000000005,45050.0,45050.0
2006-11-01,3112.8050000000003,30287.0,30287.0
2006-12-01,3159.889,30745.0,30745.0
