measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2024-01-01,114.0,389.0,389.0
2024-02-01,165.0,563.0,563.0
2024-03-01,228.0,778.0,778.0
2024-04-01,233.0,795.0,795.0
2024-05-01,250.0,853.0,853.0
2024-06-01,261.0,891.0,891.0
2024-07-01,245.0,836.0,836.0
2024-08-01,203.0,693.0,693.0
2024-09-01,226.0,771.0,771.0
2024-10-01,201.0,686.0,686.0
2024-11-01,121.0,413.0,413.0
2024-12-01,114.0,389.0,389.0
