measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Sludge Waste Generation,Sludge Waste Quantity Consumed For Electricity,Sludge Waste Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,6262.414000000001,235924.0,456312.0,30726.162,1189569.0,2300807.0,282.242,9316.0,18019.0,,,,,,,5028.188,243187.0,470360.0
2001-02-01,3030.14,151743.0,291120.0,20317.682,1045576.0,2005940.0,276.653,12139.0,23289.0,,,,,,,3329.1490000000003,214054.0,410664.0
2001-03-01,4055.712,158799.0,325944.0,22471.289,904168.0,1855860.0,205.86,7052.0,14475.0,,,,,,,3495.886,175753.0,360744.0
2001-04-01,5764.9980000000005,162915.0,387144.0,24418.105,709237.0,1685398.0,390.295,9670.0,22979.0,,,,,,,4431.103,160788.0,382088.0
2001-05-01,3934.6180000000004,162289.0,302016.0,31539.354,1337045.0,2488206.0,258.023,9330.0,17362.0,,,,,,,3670.0750000000003,194350.0,361680.0
2001-06-01,2772.117,105973.0,200112.0,32060.989,1259692.0,2378714.0,343.72,11512.0,21739.0,,,,,,,4365.898,214293.0,404656.0
2001-07-01,4160.97,154556.0,299472.0,28339.682,1081857.0,2096229.0,489.033,15915.0,30837.0,,,,,,,4042.6710000000003,192818.0,373608.0
2001-08-01,5324.403,182341.0,359304.0,29440.705,1036253.0,2041946.0,371.665,11145.0,21962.0,,,,,,,4195.435,184468.0,363496.0
2001-09-01,6306.194,161379.0,356856.0,30187.76,793996.0,1755762.0,525.361,11783.0,26056.0,,,,,,,3824.702,125678.0,277912.0
2001-10-01,6903.28,194705.0,431568.0,30493.289,883917.0,1959227.0,542.128,13394.0,29689.0,,,,,,,4489.787,162579.0,360360.0
2001-11-01,5493.002,200380.0,419640.0,30928.296,1159570.0,2428402.0,255.229,8170.0,17109.0,,,,,,,3740.8680000000004,175209.0,366928.0
2001-12-01,7011.3330000000005,213575.0,472992.0,25654.194,803150.0,1778689.0,434.075,11594.0,25677.0,,,,,,,3263.944,127674.0,282752.0
2002-01-01,16714.022,581240.0,1199658.0,20076.032,721236.0,1464174.0,0.0,0.0,0.0,,,,,,,6733.624000000001,242216.0,492640.0
2002-02-01,12334.093,428925.0,885286.0,21972.624,789372.0,1602495.0,0.0,0.0,0.0,,,,,,,7490.34,269435.0,548002.0
2002-03-01,17562.0,610729.0,1260522.0,22016.0,790930.0,1605659.0,721.0,25089.0,51548.0,,,,,,,9053.708,325671.0,662380.0
2002-04-01,10370.0,360623.0,744312.0,10982.0,394531.0,800933.0,787.0,27386.0,56267.0,,,,,,,6578.055,236620.0,481258.0
2002-05-01,18563.0,645539.0,1332369.0,19057.0,684627.0,1389855.0,619.0,21540.0,44256.0,,,,,,,7172.0,257984.0,524712.0
2002-06-01,10809.137,375894.0,775831.0,20610.919,740452.0,1503184.0,232.393,8087.0,16615.0,,,,,,,10730.392,385983.0,785049.0
2002-07-01,8745.452000000001,304128.0,627709.0,24078.0,865008.0,1756043.0,302.0,10509.0,21592.0,,,,,,,9650.0,347121.0,706006.0
2002-08-01,7860.0560000000005,273338.0,564160.0,23941.239,860095.0,1746069.0,390.84200000000004,13600.0,27943.0,,,,,,,10595.95,381147.0,775213.0
2002-09-01,8944.234,311041.0,641977.0,23214.292,833979.0,1693052.0,1256.0720000000001,43708.0,89803.0,737.51,7680.0,7680.0,,,,8936.552,321457.0,653809.0
2002-10-01,13087.929,455140.0,939393.0,23656.991,849883.0,1725338.0,1717.016,59748.0,122759.0,943.975,9830.0,9830.0,,,,6494.509,233614.0,475146.0
2002-11-01,8137.582,91275.0,355246.0,14547.585,163166.0,635048.0,855.6270000000001,9597.0,37353.0,1353.063,15179.0,59075.0,19.206,215.0,837.0,14387.215,161373.0,628068.0
2002-12-01,11723.342,106623.0,470788.0,16320.298999999999,148436.0,655409.0,807.6120000000001,7346.0,32436.0,1097.623,9982.0,44077.0,120.03800000000001,1089.0,4805.0,14841.437,134985.0,596014.0
2003-01-01,15911.211,69522.0,514114.0,20394.851,89113.0,659005.0,661.647,2891.0,21378.0,898.841,3927.0,29042.0,205.50400000000002,898.0,6641.0,7643.988,33401.0,247002.0
2003-02-01,10843.0,103540.0,442832.0,17283.0,165034.0,705842.0,513.0,4896.0,20941.0,1090.0,10407.0,44508.0,411.0,3921.0,16771.0,13429.0,128231.0,548436.0
2003-03-01,10936.0,103981.0,438932.0,17607.0,167410.0,706684.0,428.0,4066.0,17166.0,1747.0,16609.0,70112.0,277.0,2629.0,11098.0,16170.0,153746.0,649001.0
2003-04-01,10131.0,102123.0,407888.0,15082.0,152039.0,607255.0,459.0,4631.0,18499.0,1714.0,17282.0,69027.0,86.0,870.0,3472.0,16109.0,162386.0,648581.0
2003-05-01,12536.0,91336.0,448308.0,19232.0,140113.0,687728.0,1270.0,9249.0,45400.0,1172.0,8536.0,41895.0,283.0,2059.0,10106.0,13262.0,96623.0,474264.0
2003-06-01,12907.392,104566.0,513887.0,15996.677,129598.0,636907.0,783.605,6346.0,31184.0,1627.0,12654.0,62189.0,112.0,871.0,4278.0,10604.0,82494.0,405418.0
2003-07-01,9699.99,103216.0,412729.0,16109.033,171418.0,685448.0,988.149,10510.0,42029.0,1537.0,15705.0,62800.0,125.0,1279.0,5115.0,15518.0,158577.0,634099.0
2003-08-01,8658.0,87097.0,357158.0,16634.0,167329.0,686166.0,1338.0,13457.0,55184.0,2823.0,28402.0,116468.0,160.0,1611.0,6603.0,12984.0,130615.0,535618.0
2003-09-01,9172.0,98013.0,393288.0,15332.0,163838.0,657415.0,723.0,7725.0,30995.0,2227.0,23795.0,95479.0,0.0,0.0,0.0,13376.0,142943.0,573569.0
2003-10-01,10243.0,123392.0,457007.0,16498.0,198747.0,736098.0,662.0,7968.0,29515.0,2424.0,29194.0,108128.0,0.0,0.0,0.0,13136.0,158248.0,586102.0
2003-11-01,9513.0,92499.0,421925.0,15237.0,148155.0,675792.0,628.0,6109.0,27868.0,2172.0,21118.0,96327.0,57.0,557.0,2542.0,13645.0,132675.0,605186.0
2003-12-01,12447.0,128019.0,557222.0,14458.0,148705.0,647258.0,1012.0,10407.0,45298.0,2183.0,22456.0,97745.0,568.0,5847.0,25451.0,13176.0,135523.0,589882.0
2004-01-01,8107.08907,40896.88,513231.8,21247.90727,107186.82,1345131.6,530.71242,2677.22,33597.57,1390.29542,7013.46,88014.8,323.67901,1632.83,20491.0,11195.1268,56474.74,708724.8
