measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2024-01-01,-58.0,0.0,0.0
2024-02-01,-58.0,0.0,0.0
2024-03-01,-69.0,0.0,0.0
2024-04-01,-60.0,0.0,0.0
2024-05-01,-67.0,0.0,0.0
2024-06-01,-47.0,0.0,0.0
2024-07-01,-69.0,0.0,0.0
2024-08-01,-74.0,0.0,0.0
2024-09-01,-68.0,0.0,0.0
2024-10-01,-77.0,0.0,0.0
2024-11-01,-66.0,0.0,0.0
2024-12-01,-77.0,0.0,0.0
