measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,-7.0,0.0,0.0
2003-02-01,,,,270.0,3929.0,3929.0
2003-03-01,,,,133.0,2071.0,2071.0
2003-04-01,,,,70.0,1859.0,1859.0
2003-05-01,,,,-7.0,0.0,0.0
2003-06-01,,,,91.0,1484.0,1484.0
2003-07-01,,,,27.0,493.0,493.0
2003-08-01,,,,128.0,2335.0,2335.0
2003-10-01,,,,-7.0,0.0,0.0
2003-11-01,,,,-8.0,0.0,0.0
2003-12-01,,,,-15.0,0.0,0.0
2004-01-01,,,,25.115,441.0,441.0
2004-02-01,,,,18.327,321.0,321.0
2004-03-01,,,,23.503,412.0,412.0
2004-04-01,,,,25.625,449.0,449.0
2004-05-01,,,,29.528000000000002,518.0,518.0
2004-06-01,,,,29.358,515.0,515.0
2004-07-01,,,,27.406000000000002,481.0,481.0
2004-08-01,,,,61.855,1085.0,1085.0
2004-09-01,,,,25.879,454.0,454.0
2004-10-01,,,,228.075,4000.0,4000.0
2004-11-01,,,,17.988,315.0,315.0
2004-12-01,,,,28.34,497.0,497.0
2005-01-01,,,,192.989,3528.82,3528.82
2005-02-01,,,,44.422000000000004,812.27,812.27
2005-03-01,,,,38.12,697.02,697.02
2005-04-01,,,,38.141000000000005,697.42,697.42
2005-05-01,,,,38.456,703.17,703.17
2005-06-01,,,,46.584,851.79,851.79
2005-07-01,,,,88.224,1613.19,1613.19
2005-08-01,,,,78.141,1428.82,1428.82
2005-09-01,,,,43.48,795.03,795.03
2005-10-01,,,,60.959,1114.64,1114.64
2005-11-01,,,,41.047000000000004,750.56,750.56
2005-12-01,,,,112.438,2055.93,2055.93
2006-01-01,,,,24.328,691.0,691.0
2006-02-01,,,,12.73,361.0,361.0
2006-03-01,,,,10.693000000000001,304.0,304.0
2006-04-01,,,,20.483,582.0,582.0
2006-05-01,,,,19.147000000000002,544.0,544.0
2006-06-01,,,,17.403000000000002,494.0,494.0
2006-07-01,,,,25.209,716.0,716.0
2006-08-01,,,,24.452,694.0,694.0
2006-09-01,,,,11.234,319.0,319.0
2006-10-01,,,,11.866000000000001,337.0,337.0
2006-11-01,,,,13.973,397.0,397.0
2006-12-01,,,,15.482000000000001,440.0,440.0
2007-01-01,17.638,350.0,350.0,,,
2007-02-01,100.712,2006.0,2006.0,,,
2007-03-01,71.456,1423.0,1423.0,,,
2007-04-01,4.77,93.0,93.0,,,
2007-05-01,17.041,338.0,338.0,,,
2007-06-01,34.863,694.0,694.0,,,
2007-07-01,29.247,583.0,583.0,,,
2007-08-01,72.602,1446.0,1446.0,,,
2007-09-01,10.301,204.0,204.0,,,
2007-10-01,38.003,758.0,758.0,,,
2007-11-01,13.944,280.0,280.0,,,
2007-12-01,21.422,426.0,426.0,,,
2008-01-01,,,,5.408,385.0,385.0
2008-02-01,,,,1.44,105.0,105.0
2008-03-01,,,,1.233,88.0,88.0
2008-04-01,,,,3.781,269.0,269.0
2008-05-01,,,,0.676,47.0,47.0
2008-06-01,,,,3.373,239.0,239.0
2008-07-01,,,,3.1270000000000002,222.0,222.0
2008-08-01,,,,1.691,123.0,123.0
2008-09-01,,,,7.164000000000001,514.0,514.0
2008-10-01,,,,0.42500000000000004,29.0,29.0
2008-11-01,,,,0.318,23.0,23.0
2008-12-01,,,,5.364,385.0,385.0
2009-01-01,-1.852,679.0,679.0,0.0,0.0,0.0
2009-02-01,-1.504,551.0,551.0,0.0,0.0,0.0
2009-03-01,-0.617,226.0,226.0,0.0,0.0,0.0
2009-04-01,-0.672,244.0,244.0,0.0,0.0,0.0
2009-05-01,-0.8220000000000001,302.0,302.0,0.0,0.0,0.0
2009-06-01,-0.5780000000000001,215.0,215.0,0.0,0.0,0.0
2009-07-01,-0.541,197.0,197.0,0.0,0.0,0.0
2009-08-01,-0.87,319.0,319.0,0.0,0.0,0.0
2009-09-01,-0.301,110.0,110.0,0.0,0.0,0.0
2009-10-01,-0.139,52.0,52.0,0.0,0.0,0.0
2009-11-01,-0.049,17.0,17.0,0.0,0.0,0.0
2009-12-01,-0.055,17.0,17.0,0.0,0.0,0.0
2010-01-01,,,,-8.241,442.0,442.0
2010-02-01,,,,-5.37,285.0,285.0
2010-03-01,,,,-0.308,17.0,17.0
2010-04-01,,,,-0.621,35.0,35.0
2010-05-01,,,,-2.1990000000000003,116.0,116.0
2010-06-01,,,,-1.973,105.0,105.0
2010-07-01,,,,-3.2070000000000003,169.0,169.0
2010-08-01,,,,-3.1260000000000003,169.0,169.0
