measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,3222.743,51261.0,51261.0,0.0,0.0,0.0,,,,,,
2003-02-01,2557.938,40687.0,40687.0,0.0,0.0,0.0,,,,,,
2003-03-01,2909.447,46278.0,46278.0,0.0,0.0,0.0,,,,,,
2003-04-01,2862.496,45531.0,45531.0,0.0,0.0,0.0,,,,,,
2003-05-01,3466.47,55138.0,55138.0,0.0,0.0,0.0,,,,,,
2003-06-01,3495.545,55600.0,55600.0,0.0,0.0,0.0,,,,,,
2003-07-01,3762.947,59853.0,59853.0,0.0,0.0,0.0,,,,,,
2003-08-01,3675.5080000000003,58463.0,58463.0,0.0,0.0,0.0,,,,,,
2003-09-01,3530.096,56150.0,56150.0,0.0,0.0,0.0,,,,,,
2003-10-01,3004.118,47784.0,47784.0,0.0,0.0,0.0,,,,,,
2003-11-01,2890.514,45977.0,45977.0,0.0,0.0,0.0,,,,,,
2003-12-01,2933.2980000000002,46657.0,46657.0,0.0,0.0,0.0,,,,,,
2004-01-01,0.0,0.0,84815.73,0.0,0.0,49793.3,1193.082,13846.24,36472.23,0.0,0.0,0.0
2004-02-01,0.0,0.0,85251.67,0.0,0.0,46581.2,1602.2920000000001,18595.31,48981.7,0.0,0.0,0.0
2004-03-01,0.0,0.0,84081.96,0.0,0.0,85221.98,1197.202,13894.06,36598.2,0.0,0.0,0.0
2004-04-01,0.0,0.0,94047.83,0.0,0.0,82064.34,1600.132,18570.24,48915.68,0.0,0.0,0.0
2004-05-01,0.0,0.0,105559.53,0.0,0.0,105976.76,4169.108,48384.33,127448.66,0.0,0.0,0.0
2004-06-01,0.0,0.0,119511.55,0.0,0.0,136975.07,6272.3,72792.81,191742.76,0.0,0.0,0.0
2004-07-01,0.0,0.0,124972.96,0.0,0.0,151180.46,5999.581,69627.79,183405.81,0.0,0.0,0.0
2004-08-01,0.0,0.0,121782.68,0.0,0.0,139725.86,4960.72,57571.35,151648.08,0.0,0.0,0.0
2004-09-01,0.0,0.0,119443.71,0.0,0.0,135637.95,5375.561000000001,62385.76,164329.65,0.0,0.0,0.0
2004-10-01,0.0,0.0,117320.54,0.0,0.0,142294.68,3590.125,41664.98,109749.29,0.0,0.0,0.0
2004-11-01,0.0,0.0,92444.36,0.0,0.0,92687.39,1994.162,23143.13,60961.09,0.0,0.0,0.0
2004-12-01,0.0,0.0,87329.37,0.0,0.0,68422.91,2496.216,28969.69,76308.76,0.0,0.0,0.0
2005-01-01,2292.829,36469.87,92304.16,0.0,0.0,0.0,,,,,,
2005-02-01,2069.5170000000003,32917.87,83314.14,0.0,0.0,0.0,,,,,,
2005-03-01,2233.428,35525.04,89912.83,0.0,0.0,0.0,,,,,,
2005-04-01,2244.155,35695.67,90344.65,0.0,0.0,0.0,,,,,,
2005-05-01,2464.768,39204.75,99226.06,0.0,0.0,0.0,,,,,,
2005-06-01,3165.8520000000003,50356.23,127450.1,0.0,0.0,0.0,,,,,,
2005-07-01,4053.9320000000002,64482.08,163202.23,0.0,0.0,0.0,,,,,,
2005-08-01,4201.164,66823.97,169129.46,0.0,0.0,0.0,,,,,,
2005-09-01,3168.574,50399.53,127559.72,0.0,0.0,0.0,,,,,,
2005-10-01,2459.426,39119.78,99010.99,0.0,0.0,0.0,,,,,,
2005-11-01,2194.395,34904.18,88341.44,0.0,0.0,0.0,,,,,,
2005-12-01,2503.74,39824.64,100794.98,0.0,0.0,0.0,,,,,,
2006-01-01,1806.651,28736.7,49750.08,0.0,0.0,0.0,,,,,,
2006-02-01,1592.8790000000001,25336.43,43863.38,0.0,0.0,0.0,,,,,,
2006-03-01,1764.328,28063.51,48584.64,0.0,0.0,0.0,,,,,,
2006-04-01,1681.055,26738.97,46291.54,0.0,0.0,0.0,,,,,,
2006-05-01,1959.409,31166.47,53956.59,0.0,0.0,0.0,,,,,,
2006-06-01,2076.879,33034.96,57191.4,0.0,0.0,0.0,,,,,,
2006-07-01,2338.474,37195.91,64394.98,0.0,0.0,0.0,,,,,,
2006-08-01,2415.786,38425.64,66523.94,0.0,0.0,0.0,,,,,,
2006-09-01,1967.0210000000002,31287.56,54166.22,0.0,0.0,0.0,,,,,,
2006-10-01,2062.003,32798.36,56781.76,0.0,0.0,0.0,,,,,,
2006-11-01,1741.808,27705.3,47964.48,0.0,0.0,0.0,,,,,,
2006-12-01,1953.247,31068.47,53786.91,0.0,0.0,0.0,,,,,,
2007-01-01,1373.112,21186.0,71082.0,,,,,,,,,
2007-02-01,1383.929,21352.0,71642.0,,,,,,,,,
2007-03-01,1378.893,21275.0,71381.0,,,,,,,,,
2007-04-01,1828.33,28209.0,94648.0,,,,,,,,,
2007-05-01,1960.455,30248.0,101487.0,,,,,,,,,
2007-06-01,2008.6770000000001,30992.0,103983.0,,,,,,,,,
2007-07-01,2223.998,34314.0,115130.0,,,,,,,,,
2007-08-01,2388.841,36857.0,123664.0,,,,,,,,,
2007-09-01,2217.6240000000003,34216.0,114800.0,,,,,,,,,
2007-10-01,2186.789,33740.0,113204.0,,,,,,,,,
2007-11-01,1756.788,27105.0,90944.0,,,,,,,,,
2007-12-01,1702.564,26269.0,88137.0,,,,,,,,,
2008-01-01,0.0,0.0,0.0,,,,1934.2340000000002,21999.0,95172.0,,,
2008-02-01,0.0,0.0,0.0,,,,1798.998,20461.0,88519.0,,,
2008-03-01,0.0,0.0,0.0,,,,2135.303,24286.0,105067.0,,,
2008-04-01,0.0,0.0,0.0,,,,2320.7290000000003,26394.0,114190.0,,,
2008-05-01,0.0,0.0,0.0,,,,2640.291,30029.0,129914.0,,,
2008-06-01,0.0,0.0,0.0,,,,2873.574,32682.0,141392.0,,,
2008-07-01,0.0,0.0,0.0,,,,2820.875,32083.0,138800.0,,,
2008-08-01,0.0,0.0,0.0,,,,3167.7400000000002,36028.0,155867.0,,,
2008-09-01,0.0,0.0,0.0,,,,2866.253,32599.0,141032.0,,,
2008-10-01,0.0,0.0,0.0,,,,2483.7850000000003,28249.0,122214.0,,,
2008-11-01,0.0,0.0,0.0,,,,1984.134,22566.0,97628.0,,,
2008-12-01,0.0,0.0,0.0,,,,1806.084,20541.0,88868.0,,,
2009-01-01,0.0,0.0,0.0,,,,1845.7160000000001,20992.0,91383.0,,,
2009-02-01,0.0,0.0,0.0,,,,1773.692,20173.0,87817.0,,,
2009-03-01,0.0,0.0,0.0,,,,2055.42,23377.0,101766.0,,,
2009-04-01,0.0,0.0,0.0,,,,2225.243,25308.0,110173.0,,,
2009-05-01,0.0,0.0,0.0,,,,2622.606,29828.0,129847.0,,,
2009-06-01,0.0,0.0,0.0,,,,2915.321,33157.0,144340.0,,,
2009-07-01,0.0,0.0,0.0,,,,2986.179,33963.0,147847.0,,,
2009-08-01,0.0,0.0,0.0,,,,3060.922,34813.0,151548.0,,,
2009-09-01,0.0,0.0,0.0,,,,3075.895,34983.0,152289.0,,,
2009-10-01,0.0,0.0,0.0,,,,2770.206,31506.0,137155.0,,,
