measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Nuclear Generation,Nuclear Quantity Consumed For Electricity,Nuclear Total Fuel Consumed
2001-01-01,50.0,934.0,934.0,5612.0,57988.8,57988.8,,,,1224090.0,12781948.0,12781948.0
2001-02-01,10.0,496.0,496.0,4279.0,44214.91,44214.91,,,,1013268.0,10580544.0,10580544.0
2001-03-01,25.0,327.0,327.0,7103.0,73395.3,73395.3,,,,679965.0,7100195.0,7100195.0
2001-04-01,10.0,613.0,613.0,10247.0,105882.25,105882.25,,,,1207360.0,12607253.0,12607253.0
2001-05-01,-13.0,0.0,0.0,10083.0,104187.64,104187.64,,,,1221814.0,12758182.0,12758182.0
2001-06-01,42.0,537.0,537.0,7375.0,76205.88,76205.88,,,,1179324.0,12314501.0,12314501.0
2001-07-01,49.0,438.0,438.0,4632.0,47862.46,47862.46,,,,1230269.0,12846469.0,12846469.0
2001-08-01,39.0,858.0,858.0,3238.0,33458.25,33458.25,,,,1221874.0,12758808.0,12758808.0
2001-09-01,-12.0,0.0,0.0,2887.0,29831.37,29831.37,,,,1180537.0,12327167.0,12327167.0
2001-10-01,-17.0,0.0,0.0,3062.0,31639.65,31639.65,,,,1245951.0,13010220.0,13010220.0
2001-11-01,-212.0,572.0,572.0,3649.0,37705.12,37705.12,,,,1202033.0,12551629.0,12551629.0
2001-12-01,-36.0,82.0,82.0,4185.0,43243.61,43243.61,,,,1237062.0,12917401.0,12917401.0
2002-01-01,-10.0,126.0,126.0,3507.0,35676.71,35676.71,,,,1233726.0,12882567.0,12882567.0
2002-02-01,-25.0,0.0,0.0,4441.0,45178.29,45178.29,,,,1086938.0,11349807.0,11349807.0
2002-03-01,16.0,150.0,150.0,10462.0,106429.93,106429.93,,,,636064.0,6641780.0,6641780.0
2002-04-01,-17.0,72.0,72.0,12163.0,123734.2,123734.2,,,,1009624.0,10542494.0,10542494.0
2002-05-01,-23.0,64.0,64.0,12609.0,128271.36,128271.36,,,,1227994.0,12822713.0,12822713.0
2002-06-01,-2.0,138.0,138.0,11193.0,113866.39,113866.39,,,,1212571.0,12661666.0,12661666.0
2002-07-01,2.0,44.0,44.0,5687.0,57853.85,57853.85,,,,1268407.0,13244706.0,13244706.0
2002-08-01,-8.0,18.0,18.0,3491.0,35513.94,35513.94,,,,1265737.0,13216826.0,13216826.0
2002-09-01,-26.0,35.0,35.0,2794.0,28423.36,28423.36,,,,1032812.0,10784623.0,10784623.0
2002-10-01,-26.0,99.0,99.0,3883.0,39501.76,39501.76,,,,1272031.0,13282548.0,13282548.0
2002-11-01,-27.0,46.0,46.0,5267.0,53581.19,53581.19,,,,1246292.0,13013781.0,13013781.0
2002-12-01,-45.0,143.0,143.0,4627.0,47070.47,47070.47,,,,1285249.0,13420570.0,13420570.0
2003-01-01,-32.0,0.0,0.0,3828.0,39202.55,39202.55,,,,623466.5,6497144.395,6497144.395
2003-02-01,-34.0,0.0,0.0,3363.0,34440.48,34440.48,,,,574780.5,5989787.595000001,5989787.595000001
2003-03-01,-32.0,0.0,0.0,6810.0,69741.21,69741.21,,,,397628.0,4143681.39,4143681.39
2003-04-01,-32.0,0.0,0.0,12369.0,126670.93,126670.93,,,,573856.5,5980158.585,5980158.585
2003-05-01,-17.0,0.0,0.0,10506.0,107591.95,107591.95,,,,670859.0,6991021.640000001,6991021.640000001
2003-06-01,,,,6499.0,66556.26,66556.26,,,,638441.5,6653198.87,6653198.87
2003-07-01,16.0,456.0,456.0,3502.0,35863.98,35863.98,,,,631922.0,6585259.164999999,6585259.164999999
2003-08-01,30.0,342.0,342.0,5633.0,57687.55,57687.55,,,,665318.0,6933278.875,6933278.875
2003-09-01,-15.0,0.0,0.0,4817.0,49330.9,49330.9,,,,643912.5,6710212.165,6710212.165
2003-10-01,-22.0,0.0,0.0,8051.0,82450.29,82450.29,,,,680404.5,7090495.295,7090495.295
2003-11-01,-32.0,0.0,0.0,11380.0,116542.58,116542.58,,,,595657.0,6207341.595000001,6207341.595000001
2003-12-01,-30.0,0.0,0.0,10477.0,107294.96,107294.96,,,,668514.0,6966584.395,6966584.395
2004-01-01,-16.083000000000002,113.0,113.0,11278.135,113029.47,113029.47,,,,658449.5,6865652.9399999995,6865652.9399999995
2004-02-01,-16.083000000000002,113.0,113.0,10587.974,106112.68,106112.68,,,,585977.5,6109987.390000001,6109987.390000001
2004-03-01,-16.083000000000002,113.0,113.0,9453.049,94738.46,94738.46,,,,340862.5,3554173.2849999997,3554173.2849999997
2004-04-01,-16.083000000000002,113.0,113.0,8527.568000000001,85463.29,85463.29,,,,601253.5,6269270.245,6269270.245
2004-05-01,-16.083000000000002,113.0,113.0,7324.145,73402.58,73402.58,,,,661440.5,6896840.09,6896840.09
2004-06-01,-16.083000000000002,113.0,113.0,5826.921,58397.4,58397.4,,,,646389.5,6739903.32,6739903.32
2004-07-01,-16.083000000000002,113.0,113.0,6123.311000000001,61367.82,61367.82,,,,648580.0,6762743.66,6762743.66
2004-08-01,-16.083000000000002,113.0,113.0,7414.496,74308.08,74308.08,,,,588825.0,6139678.275,6139678.275
2004-09-01,-16.083000000000002,113.0,113.0,8352.031,83704.05,83704.05,,,,665416.5,6938297.85,6938297.85
2004-10-01,-16.083000000000002,113.0,113.0,6859.294000000001,68743.84,68743.84,,,,682728.0,7118804.855,7118804.855
