measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2011-11-01,22632.194,141258.0,903324.0,0.0,0.0,0.0,5930.252,37013.0,236696.0,1399.536,8735.0,55860.0,126.132,787.0,5034.0,15454.114,96456.0,616824.0
2011-12-01,23336.239,145652.0,901548.0,0.0,0.0,0.0,10050.26,62728.0,388271.0,739.265,4614.0,28560.0,134.727,841.0,5205.0,15538.747,96984.0,600308.0
2013-01-01,20389.654,127261.0,834192.0,0.0,0.0,0.0,12156.199,75872.0,497341.0,1125.572,7025.0,46050.0,101.803,635.0,4165.0,17308.971,108033.0,708154.0
2013-02-01,20948.589,130750.0,832068.0,0.0,0.0,0.0,8490.523,52993.0,337240.0,916.929,5723.0,36420.0,130.071,812.0,5166.0,16699.189,104227.0,663284.0
2013-03-01,21361.531,133327.0,946308.0,0.0,0.0,0.0,8123.958,50705.0,359888.0,558.018,3483.0,24720.0,111.035,693.0,4919.0,13062.799,81531.0,578677.0
2013-04-01,21265.14,132725.0,915984.0,0.0,0.0,0.0,6958.748,43433.0,299744.0,947.894,5916.0,40830.0,0.0,0.0,0.0,14321.165,89385.0,616876.0
2013-05-01,17242.32,107617.0,687456.0,0.0,0.0,0.0,6834.177,42655.0,272481.0,200.902,1254.0,8010.0,144.345,901.0,5755.0,12467.22,77814.0,497072.0
2013-06-01,24943.154,155682.0,939012.0,0.0,0.0,0.0,4436.295,27689.0,167009.0,871.804,5441.0,32820.0,69.275,432.0,2608.0,14249.877,88940.0,536452.0
2013-07-01,23448.174,146351.0,903566.0,0.0,0.0,0.0,4874.186,30422.0,187825.0,159.597,996.0,6150.0,71.235,445.0,2745.0,15029.063,93803.0,579139.0
2013-08-01,23591.13,147243.0,934640.0,0.0,0.0,0.0,5993.304,37407.0,237444.0,0.0,0.0,0.0,39.024,244.0,1546.0,14920.059,93123.0,591107.0
2013-09-01,22273.599,139020.0,817623.0,0.0,0.0,0.0,5294.006,33042.0,194333.0,0.0,0.0,0.0,0.0,0.0,0.0,13724.335,85660.0,503795.0
2013-10-01,20691.059,129142.0,802408.0,0.0,0.0,0.0,6537.564,40804.0,253529.0,0.0,0.0,0.0,322.058,2010.0,12490.0,18546.6,115758.0,719245.0
2013-11-01,20457.365,127684.0,759262.0,0.0,0.0,0.0,7004.209,43716.0,259957.0,0.0,0.0,0.0,203.095,1268.0,7538.0,16363.166,102130.0,607308.0
2013-12-01,20472.173,127776.0,763936.0,0.0,0.0,0.0,12664.785,79047.0,472597.0,0.0,0.0,0.0,21.383,133.0,798.0,15767.983,98415.0,588396.0
2014-01-01,21042.588,131336.0,801696.0,0.0,0.0,0.0,11823.871,73798.0,450475.0,0.0,0.0,0.0,702.575,4385.0,26767.0,16684.425,104135.0,635656.0
2014-02-01,18013.236,112429.0,727536.0,0.0,0.0,0.0,9840.601,61420.0,397452.0,0.0,0.0,0.0,779.209,4863.0,31471.0,15912.39,99316.0,642685.0
2014-03-01,21632.658,135019.0,873288.0,0.0,0.0,0.0,9037.182,56405.0,364822.0,0.0,0.0,0.0,210.3,1313.0,8490.0,16646.067,103896.0,671985.0
2014-04-01,20039.747,125077.0,828179.0,0.0,0.0,0.0,5881.543,36709.0,243066.0,0.0,0.0,0.0,1.476,9.0,61.0,18176.131,113445.0,751162.0
2014-05-01,11087.646,69203.0,545329.0,0.0,0.0,0.0,4523.879,28236.0,222500.0,0.0,0.0,0.0,137.484,858.0,6762.0,12661.466,79026.0,622736.0
2014-06-01,16408.451,102413.0,793138.0,0.0,0.0,0.0,3347.983,20896.0,161832.0,0.0,0.0,0.0,61.01,381.0,2949.0,12140.38,75774.0,586832.0
2014-07-01,17789.724,111034.0,776149.0,0.0,0.0,0.0,3656.39,22821.0,159525.0,0.0,0.0,0.0,103.409,645.0,4512.0,13738.621,85749.0,599403.0
2014-08-01,17147.593,107026.0,756034.0,0.0,0.0,0.0,4147.288,25885.0,182853.0,70.765,442.0,3120.0,460.728,2876.0,20313.0,13647.108,85178.0,601698.0
2014-09-01,20168.011,125878.0,825495.0,0.0,0.0,0.0,7566.227,47224.0,309692.0,74.027,462.0,3030.0,39.527,247.0,1618.0,10719.777,66907.0,438770.0
2014-10-01,20027.671,125002.0,811398.0,0.0,0.0,0.0,8208.448,51233.0,332556.0,54.796,342.0,2220.0,115.57,721.0,4682.0,14101.194,88012.0,571294.0
2014-11-01,21163.188,132089.0,809680.0,0.0,0.0,0.0,8966.601,55965.0,343052.0,243.865,1522.0,9330.0,242.319,1512.0,9271.0,16276.436,101589.0,622719.0
2014-12-01,21967.131,137107.0,875570.0,0.0,0.0,0.0,8609.542,53736.0,343161.0,683.423,4266.0,27240.0,305.481,1907.0,12176.0,17198.457,107343.0,685500.0
