measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,3.0,41.0,41.0,0.0,0.0,0.0,390.0,5323.0,5323.0,112.0,0.0,0.0,593.0,14307.0,14307.0,,,
2003-02-01,0.0,0.0,0.0,,,,7.0,70.0,70.0,0.0,0.0,0.0,64.0,1117.0,1117.0,4.0,0.0,0.0,-184.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,,,,5.0,46.0,46.0,0.0,0.0,0.0,256.0,4151.0,4151.0,91.0,0.0,0.0,,,,,,
2003-04-01,0.0,0.0,0.0,,,,5.0,41.0,41.0,0.0,0.0,0.0,1387.0,21149.0,21149.0,440.0,0.0,0.0,,,,,,
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3374.0,50086.0,50086.0,1113.0,0.0,0.0,975.0,21709.0,21709.0,,,
2003-06-01,0.0,0.0,0.0,,,,6.0,52.0,52.0,0.0,0.0,0.0,173.0,1985.0,1985.0,67.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,,,,21.0,198.0,198.0,0.0,0.0,0.0,1548.0,23336.0,23336.0,469.0,0.0,0.0,2509.0,43088.0,43088.0,,,
2003-08-01,0.0,0.0,0.0,,,,7.0,128.0,128.0,0.0,0.0,0.0,1110.0,17686.0,17686.0,294.0,0.0,0.0,2982.0,41043.0,41043.0,,,
2003-09-01,0.0,0.0,0.0,,,,43.0,442.0,442.0,0.0,0.0,0.0,3559.0,55186.0,55186.0,1130.0,0.0,0.0,3130.0,59801.0,59801.0,,,
2003-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,160.0,3327.0,3327.0,62.0,0.0,0.0,4.0,93.0,93.0,,,
2003-11-01,0.0,0.0,0.0,,,,6.0,52.0,52.0,0.0,0.0,0.0,289.0,5009.0,5009.0,99.0,0.0,0.0,306.0,7803.0,7803.0,,,
