measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,26030.0,361204.0,361204.0,,,,78.0,1038.0,1038.0,,,,2139.0,29130.0,29130.0,,,
2003-02-01,21727.0,302491.0,302491.0,,,,64.0,850.0,850.0,,,,3780.0,51450.0,51450.0,,,
2003-03-01,27033.0,375939.0,375939.0,,,,35.0,472.0,472.0,,,,3890.0,53910.0,53910.0,,,
2003-04-01,22829.0,317937.0,317937.0,,,,91.0,1221.0,1221.0,,,,3217.0,44130.0,44130.0,,,
2003-05-01,24113.0,341400.0,341400.0,,,,29.0,384.0,384.0,,,,3002.0,41400.0,41400.0,,,
2003-06-01,24394.0,347874.0,347874.0,,,,44.0,596.0,596.0,,,,2170.0,29910.0,29910.0,,,
2003-07-01,27845.0,394292.0,394292.0,,,,58.0,773.0,773.0,,,,963.0,13230.0,13230.0,,,
2003-08-01,27070.0,386179.0,386179.0,,,,46.0,625.0,625.0,,,,3249.0,44970.0,44970.0,,,
2003-09-01,27021.0,387524.0,387524.0,,,,13.0,171.0,171.0,,,,364.0,5040.0,5040.0,,,
2003-10-01,5913.0,81604.0,81604.0,,,,112.0,1475.0,1475.0,,,,0.0,0.0,0.0,,,
2003-11-01,17349.0,250847.0,250847.0,,,,102.0,1392.0,1392.0,,,,2915.0,40740.0,40740.0,,,
2003-12-01,27050.0,374196.0,374196.0,,,,62.0,826.0,826.0,,,,617.0,8370.0,8370.0,,,
2004-01-01,25233.0,359962.0,359962.0,,,,73.0,1003.0,1003.0,,,,376.0,5280.0,5280.0,,,
2004-02-01,28525.0,397297.0,397297.0,,,,49.0,655.0,655.0,,,,0.0,0.0,0.0,,,
2004-03-01,29378.0,406893.0,406893.0,,,,23.0,302.0,302.0,,,,0.0,0.0,0.0,,,
2004-04-01,26169.0,369293.0,369293.0,,,,24.0,320.0,320.0,,,,0.0,0.0,0.0,,,
2004-05-01,21668.0,312775.0,312775.0,,,,91.0,1255.0,1255.0,,,,0.0,0.0,0.0,,,
2004-06-01,28499.0,401818.0,401818.0,,,,47.0,645.0,645.0,,,,0.0,0.0,0.0,,,
2004-07-01,31190.0,437765.0,437765.0,,,,35.0,486.0,486.0,,,,0.0,0.0,0.0,,,
2004-08-01,28732.0,415892.0,415892.0,,,,64.0,900.0,900.0,,,,0.0,0.0,0.0,,,
2004-09-01,27389.0,403850.0,403850.0,,,,29.0,409.0,409.0,,,,0.0,0.0,0.0,,,
2004-10-01,22792.0,318216.0,318216.0,,,,83.0,1137.0,1137.0,,,,0.0,0.0,0.0,,,
2004-11-01,14147.0,198734.0,198734.0,,,,47.0,651.0,651.0,,,,0.0,0.0,0.0,,,
