measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,135556.0,1582414.0,1582414.0,2.0,23.0,23.0,60.0,696.0,696.0,,,,,,
2003-02-01,114481.204,1333405.0,1333405.0,16.66,129.0,129.0,39.372,456.0,456.0,,,,,,
2003-03-01,107846.0,1116006.0,1116006.0,17.0,123.0,123.0,24.0,246.0,246.0,,,,,,
2003-04-01,114092.0,1245989.0,1245989.0,10.0,105.0,105.0,13.0,140.0,140.0,,,,,,
2003-05-01,38812.0,426854.0,426854.0,7.0,76.0,76.0,61.0,667.0,667.0,,,,,,
2003-06-01,80684.0,896349.0,896349.0,5.0,59.0,59.0,384.0,4265.0,4265.0,,,,,,
2003-07-01,129867.0,1472844.0,1472844.0,7.0,76.0,76.0,160.0,1814.0,1814.0,,,,,,
2003-08-01,146285.0,1610570.0,1610570.0,26.0,287.0,287.0,44.0,480.0,480.0,,,,,,
2003-09-01,84988.0,981507.0,981507.0,10.0,105.0,105.0,124.0,1433.0,1433.0,,,,,,
2003-10-01,146518.0,1566738.0,1566738.0,15.0,105.0,105.0,168.0,1796.0,1796.0,,,,,,
2003-11-01,143836.0,1552168.0,1552168.0,5.0,59.0,59.0,123.0,1322.0,1322.0,,,,,,
2003-12-01,152828.0,1685774.0,1685774.0,8.0,76.0,76.0,41.0,450.0,450.0,,,,,,
2004-01-01,179158.0,1989323.0,1989323.0,15.0,158.0,158.0,126.0,1398.0,1398.0,,,,,,
2004-02-01,169320.0,1886692.0,1886692.0,10.0,111.0,111.0,39.0,439.0,439.0,,,,,,
2004-03-01,177691.0,1942786.0,1942786.0,17.0,135.0,135.0,19.0,211.0,211.0,,,,,,
2004-04-01,148776.0,1662667.0,1662667.0,3.0,64.0,64.0,49.0,515.0,515.0,,,,,,
2004-05-01,125813.0,1452466.0,1452466.0,0.0,0.0,0.0,135.0,1568.0,1568.0,,,,,,
2004-06-01,138572.0,1579073.0,1579073.0,11.0,105.0,105.0,87.0,995.0,995.0,,,,,,
2004-07-01,134177.0,1298657.0,1298657.0,0.0,0.0,0.0,76.0,737.0,737.0,,,,,,
2004-08-01,99899.0,1233504.0,1233504.0,0.0,0.0,0.0,122.0,1509.0,1509.0,,,,,,
2004-09-01,119683.0,1424693.0,1424693.0,9.0,76.0,76.0,108.0,1281.0,1281.0,,,,,,
2004-10-01,64544.0,772349.0,772349.0,0.0,0.0,0.0,99.0,1188.0,1188.0,,,,,,
2004-11-01,54387.0,661155.0,661155.0,3.0,35.0,35.0,173.0,2106.0,2106.0,,,,,,
2004-12-01,83693.0,1018265.0,1018265.0,0.0,0.0,0.0,119.0,1451.0,1451.0,,,,,,
2005-01-01,125512.0,1431716.88,1431716.88,0.0,0.0,0.0,192.0,2193.75,2193.75,,,,,,
2005-02-01,76279.0,896051.64,896051.64,0.0,0.0,0.0,191.0,2246.4,2246.4,,,,,,
2005-03-01,130961.0,1558671.18,1558671.18,0.0,0.0,0.0,190.0,2263.95,2263.95,,,,,,
2005-04-01,125575.0,1367631.64,1367631.64,14.0,152.1,152.1,187.0,2041.65,2041.65,,,,,,
2005-05-01,21445.0,276395.52,276395.52,22.0,239.85,239.85,179.0,2322.45,2322.45,,,,,,
2005-06-01,132637.0,1538566.98,1538566.98,0.0,0.0,0.0,84.0,976.95,976.95,,,,,,
2005-07-01,139909.0,1598333.54,1598333.54,0.0,0.0,0.0,153.0,1760.85,1760.85,,,,,,
2005-08-01,142613.0,1606275.94,1606275.94,4.0,40.95,40.95,95.0,1064.7,1064.7,,,,,,
2005-09-01,124068.0,1429061.14,1429061.14,0.0,0.0,0.0,120.0,1386.45,1386.45,,,,,,
2005-10-01,105474.0,1168997.18,1168997.18,0.0,0.0,0.0,278.0,3082.95,3082.95,,,,,,
2005-11-01,66979.0,820995.96,820995.96,6.0,93.6,93.6,350.0,4293.9,4293.9,,,,,,
2005-12-01,121369.0,1376666.12,1376666.12,0.0,0.0,0.0,67.0,760.5,760.5,,,,,,
2006-01-01,33352.0,343587.0,343587.0,5.0,52.0,52.0,437.0,4501.0,4501.0,,,,,,
2006-02-01,61961.0,760980.0,760980.0,4.0,40.0,40.0,311.0,3819.0,3819.0,,,,,,
2006-03-01,125271.0,1376287.0,1376287.0,4.0,46.0,46.0,0.0,1668.0,1668.0,,,,,,
2006-04-01,92160.0,1032210.0,1032210.0,5.0,52.0,52.0,193.0,2160.0,2160.0,,,,,,
2006-05-01,82374.0,947977.0,947977.0,3.0,35.0,35.0,125.0,1444.0,1444.0,,,,,,
2006-06-01,103572.0,1192182.0,1192182.0,5.0,52.0,52.0,421.0,4842.0,4842.0,,,,,,
2006-07-01,140836.0,1546980.0,1546980.0,58.0,574.0,574.0,169.0,1862.0,1862.0,,,,,,
2006-08-01,103449.0,1203772.0,1203772.0,107.0,1174.0,1174.0,166.0,1929.0,1929.0,,,,,,
2006-09-01,7666.0,110822.0,110822.0,5.0,232.0,232.0,30.0,428.0,428.0,,,,,,
2006-10-01,125885.0,1419568.0,1419568.0,12.0,127.0,127.0,311.0,3503.0,3503.0,,,,,,
2006-11-01,157853.0,1749205.0,1749205.0,5.0,52.0,52.0,77.0,858.0,858.0,,,,,,
2006-12-01,101878.0,1132899.0,1132899.0,0.0,0.0,0.0,58.0,646.0,646.0,,,,,,
2007-01-01,110447.833,1326723.0,1326723.0,7.0,75.0,75.0,347.16700000000003,4170.0,4170.0,,,,0.0,0.0,0.0
2007-02-01,126557.034,1559752.0,1559752.0,0.0,0.0,0.0,200.966,2477.0,2477.0,,,,0.0,0.0,0.0
2007-03-01,157012.509,1883006.0,1883006.0,5.0,52.0,52.0,218.49200000000002,2620.0,2620.0,,,,,,
2007-04-01,62858.381,751242.0,751242.0,5.0,52.0,52.0,51.619,617.0,617.0,,,,,,
2007-05-01,86997.535,1011784.0,1011784.0,0.0,0.0,0.0,239.465,2785.0,2785.0,,,,,,
2007-06-01,114324.446,1325110.0,1325110.0,6.0,64.0,64.0,220.554,2556.0,2556.0,,,,,,
2007-07-01,155468.922,1747187.0,1747187.0,7.0,75.0,75.0,155.078,1743.0,1743.0,,,,,,
2007-08-01,148487.174,1665656.0,1665656.0,5.0,52.0,52.0,180.82600000000002,2028.0,2028.0,,,,,,
2007-09-01,102299.61,1136051.0,1136051.0,5.0,52.0,52.0,302.39,3358.0,3358.0,,,,,,
2007-10-01,153119.322,1652954.0,1652954.0,25.0,272.0,272.0,179.67700000000002,1940.0,1940.0,,,,,,
2007-11-01,91949.019,964778.0,964778.0,5.0,53.0,53.0,289.982,3043.0,3043.0,,,,,,
2007-12-01,125461.497,1483752.0,1483752.0,3.0,35.0,35.0,119.503,1413.0,1413.0,,,,0.0,0.0,0.0
2008-01-01,155538.681,1692696.0,1692696.0,5.0,52.0,52.0,237.31900000000002,2583.0,2583.0,,,,0.0,0.0,0.0
2008-02-01,153438.384,1653491.0,1653491.0,3.0,35.0,35.0,257.616,2776.0,2776.0,,,,0.0,0.0,0.0
2008-03-01,133877.72,1497107.0,1497107.0,6.0,64.0,64.0,233.28,2609.0,2609.0,,,,0.0,0.0,0.0
2008-04-01,122381.234,1302957.0,1302957.0,5.0,51.0,51.0,151.76600000000002,1616.0,1616.0,,,,0.0,0.0,0.0
2008-05-01,32479.918,368025.0,368025.0,0.0,0.0,0.0,501.08200000000005,5678.0,5678.0,,,,0.0,0.0,0.0
2008-06-01,94236.544,1062132.0,1062132.0,0.0,0.0,0.0,421.456,4750.0,4750.0,,,,0.0,0.0,0.0
2008-07-01,126334.528,1407904.0,1407904.0,0.0,0.0,0.0,249.472,2780.0,2780.0,,,,0.0,0.0,0.0
2008-08-01,77732.314,873312.0,873312.0,0.0,0.0,0.0,331.68600000000004,3726.0,3726.0,,,,0.0,0.0,0.0
2008-09-01,45657.019,515878.0,515878.0,0.0,0.0,0.0,306.981,3469.0,3469.0,,,,0.0,0.0,0.0
2008-10-01,70779.943,742825.0,742825.0,3.0,35.0,35.0,362.057,3800.0,3800.0,,,,0.0,0.0,0.0
2008-11-01,101566.61,1119201.0,1119201.0,0.0,0.0,0.0,278.39,3068.0,3068.0,,,,0.0,0.0,0.0
2008-12-01,143133.607,1544344.0,1544344.0,0.0,0.0,0.0,179.393,1936.0,1936.0,,,,0.0,0.0,0.0
2009-01-01,55664.693,640990.0,640990.0,5.0,52.0,52.0,200.30700000000002,2307.0,2307.0,,,,0.0,0.0,0.0
2009-02-01,33916.489,410187.0,410187.0,0.0,0.0,0.0,171.511,2074.0,2074.0,,,,0.0,0.0,0.0
2009-03-01,37038.436,447449.0,447449.0,0.0,0.0,0.0,187.56400000000002,2266.0,2266.0,,,,0.0,0.0,0.0
2009-04-01,59822.838,638777.0,638777.0,5.0,52.0,52.0,323.16200000000003,3451.0,3451.0,,,,,,
2009-05-01,42941.879,471182.0,471182.0,0.0,0.0,0.0,116.12100000000001,1274.0,1274.0,,,,,,
2009-06-01,71542.859,798206.0,798206.0,0.0,0.0,0.0,154.14100000000002,1720.0,1720.0,,,,,,
2009-07-01,43808.1,505798.0,505798.0,0.0,0.0,0.0,199.9,2308.0,2308.0,,,,,,
2009-08-01,68036.711,783571.0,783571.0,4.0,46.0,46.0,144.28900000000002,1662.0,1662.0,,,,,,
2009-09-01,33784.315,352341.0,352341.0,0.0,0.0,0.0,167.685,1749.0,1749.0,,,,,,
2009-10-01,80999.934,893190.0,893190.0,0.0,0.0,0.0,158.066,1743.0,1743.0,,,,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-12-01,88219.803,1018362.0,1018362.0,0.0,0.0,0.0,348.197,4019.0,4019.0,,,,,,
2010-01-01,139330.41700000002,1486171.0,1486171.0,0.0,0.0,0.0,230.583,2460.0,2460.0,,,,,,
2010-02-01,113272.765,1161712.0,1161712.0,0.0,0.0,0.0,270.235,2772.0,2772.0,,,,,,
2010-03-01,9990.108,95798.0,95798.0,0.0,0.0,0.0,63.892,613.0,613.0,,,,,,
2010-04-01,-824.09,0.0,0.0,0.0,0.0,0.0,-2.91,0.0,0.0,,,,,,
2010-05-01,14342.0,181940.0,181940.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2010-06-01,130868.514,1454366.0,1454366.0,0.0,0.0,0.0,256.486,2850.0,2850.0,,,,,,
2010-07-01,116580.954,1302636.0,1302636.0,0.0,0.0,0.0,329.046,3677.0,3677.0,,,,,,
2010-08-01,109675.889,1209918.0,1209918.0,0.0,0.0,0.0,251.11100000000002,2770.0,2770.0,,,,,,
2010-09-01,18043.987,177385.0,177385.0,0.0,0.0,0.0,78.013,767.0,767.0,,,,,,
2010-10-01,6993.433,84101.0,84101.0,-422.0,0.0,0.0,35.567,428.0,428.0,,,,,,
2010-11-01,-365.75800000000004,14980.0,14980.0,0.0,0.0,0.0,-15.242,624.0,624.0,,,,,,
2010-12-01,70212.957,775570.0,775570.0,0.0,0.0,0.0,267.043,2950.0,2950.0,,,,,,
2011-01-01,76842.397,849570.0,849570.0,0.0,0.0,0.0,277.603,3069.0,3069.0,,,,,,
2011-02-01,14496.319,172857.0,172857.0,0.0,0.0,0.0,107.681,1284.0,1284.0,,,,,,
2011-03-01,39731.926,474348.0,474348.0,0.0,0.0,0.0,206.074,2460.0,2460.0,,,,,,
2011-04-01,52929.765,563155.0,563155.0,0.0,0.0,0.0,271.235,2886.0,2886.0,,,,,,
2011-05-01,45805.786,539791.0,539791.0,0.0,0.0,0.0,186.214,2194.0,2194.0,,,,,,
2011-06-01,104249.94,1154481.0,1154481.0,0.0,35.0,35.0,212.06,2348.0,2348.0,,,,,,
2011-07-01,147499.32,1634156.0,1634156.0,4.0,40.0,40.0,129.68,1437.0,1437.0,,,,,,
2011-08-01,58824.368,707009.0,707009.0,0.0,0.0,0.0,148.632,1786.0,1786.0,,,,,,
2011-09-01,22707.076,267507.0,267507.0,0.0,0.0,0.0,90.924,1071.0,1071.0,,,,,,
