measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,5572.0,62534.0,62534.0
2003-02-01,9050.0,94981.0,94981.0
2003-03-01,33378.0,339747.0,339747.0
2003-04-01,10061.0,110820.0,110820.0
2003-05-01,7099.0,76090.0,76090.0
2003-06-01,4441.0,46970.0,46970.0
2003-07-01,5064.0,54451.0,54451.0
2003-08-01,12881.0,137592.0,137592.0
2003-09-01,2094.0,23450.0,23450.0
2003-10-01,2477.0,26381.0,26381.0
2003-11-01,2829.0,30319.0,30319.0
2003-12-01,2123.0,22739.0,22739.0
2004-01-01,6530.0,68117.0,68117.0
2004-02-01,3680.0,39064.0,39064.0
2004-03-01,4719.0,51262.0,51262.0
2004-04-01,4722.0,50665.0,50665.0
2004-05-01,5315.0,56822.0,56822.0
2004-06-01,1915.0,21092.0,21092.0
2004-07-01,6454.0,68408.0,68408.0
2004-08-01,10156.0,109256.0,109256.0
2004-09-01,3022.0,32695.0,32695.0
2004-10-01,3000.0,32378.0,32378.0
2004-11-01,4189.0,44888.0,44888.0
2004-12-01,6208.0,65641.0,65641.0
2005-01-01,5771.0,62269.68,62269.68
2005-02-01,2081.0,21225.21,21225.21
2005-03-01,11651.0,118877.0,118877.0
2005-04-01,5198.0,56092.77,56092.77
2005-05-01,5992.0,61722.0,61722.0
2005-06-01,10430.0,107990.0,107990.0
2005-07-01,19990.0,214938.34,214938.34
2005-08-01,20100.0,217852.21,217852.21
2005-09-01,11334.0,123229.2,123229.2
2005-10-01,8841.0,93508.55,93508.55
2005-11-01,3849.0,42114.64,42114.64
2005-12-01,5544.0,60685.54,60685.54
2006-01-01,5748.0,61742.0,61742.0
2006-02-01,3789.0,41171.0,41171.0
2006-03-01,7571.0,81225.0,81225.0
2006-04-01,6726.0,72739.0,72739.0
2006-05-01,7736.0,77137.0,77137.0
2006-06-01,20830.0,215332.0,215332.0
2006-07-01,36305.0,393825.0,393825.0
2006-08-01,26231.0,283247.0,283247.0
2006-09-01,28296.0,294761.0,294761.0
2006-10-01,44240.0,469503.0,469503.0
2006-11-01,18665.0,190273.0,190273.0
2006-12-01,20533.0,218937.0,218937.0
2007-01-01,29667.0,305541.0,305541.0
2007-02-01,13912.0,151167.0,151167.0
2007-03-01,31163.0,324388.0,324388.0
2007-04-01,20476.0,216577.0,216577.0
2007-05-01,41886.0,437113.0,437113.0
2007-06-01,12326.0,131976.0,131976.0
2007-07-01,17450.0,188608.0,188608.0
2007-08-01,27926.0,298413.0,298413.0
2007-09-01,27041.0,290119.0,290119.0
2007-10-01,26338.0,280573.0,280573.0
2007-11-01,13839.0,149852.0,149852.0
2007-12-01,16160.0,175680.0,175680.0
2008-01-01,23462.0,239810.0,239810.0
2008-02-01,13001.0,139879.0,139879.0
2008-03-01,17827.0,181212.0,181212.0
2008-04-01,20987.0,223001.0,223001.0
2008-05-01,16127.0,165552.0,165552.0
2008-06-01,11789.0,123678.0,123678.0
2008-07-01,9039.0,97148.0,97148.0
2008-08-01,5517.0,59195.0,59195.0
2008-09-01,2803.0,30783.0,30783.0
2008-10-01,2307.0,25631.0,25631.0
2008-11-01,5608.0,59815.0,59815.0
2008-12-01,3705.0,39863.0,39863.0
2009-01-01,5940.0,62784.0,62784.0
2009-02-01,5592.0,59058.0,59058.0
2009-03-01,2477.0,27191.0,27191.0
2009-04-01,1679.0,18907.0,18907.0
2009-05-01,2293.0,24987.0,24987.0
2009-06-01,3670.0,39690.0,39690.0
2009-07-01,6593.0,70860.0,70860.0
2009-08-01,18053.0,193826.0,193826.0
2009-09-01,11096.0,118779.0,118779.0
2009-10-01,15647.0,165797.0,165797.0
2009-11-01,13579.0,144650.0,144650.0
2009-12-01,21715.0,232060.0,232060.0
2010-01-01,15097.0,154773.0,154773.0
2010-02-01,8742.0,116372.0,116372.0
2010-03-01,11224.0,127133.0,127133.0
2010-04-01,3499.0,31097.0,31097.0
2010-05-01,39843.0,421129.0,421129.0
2010-06-01,21019.0,221137.0,221137.0
2010-07-01,30182.0,318423.0,318423.0
2010-08-01,26284.0,279533.0,279533.0
2010-09-01,18178.0,193756.0,193756.0
2010-10-01,6974.0,79255.0,79255.0
2010-11-01,17526.0,179843.0,179843.0
2010-12-01,19231.0,199020.0,199020.0
2011-01-01,25829.0,275049.0,275049.0
2011-02-01,22565.0,232538.0,232538.0
2011-03-01,15883.0,171139.0,171139.0
2011-04-01,13926.0,148260.0,148260.0
2011-05-01,15477.0,160863.0,160863.0
2011-06-01,14733.0,158173.0,158173.0
2011-07-01,23128.0,243824.0,243824.0
2011-08-01,10812.0,116068.0,116068.0
2011-09-01,21416.0,227379.0,227379.0
2011-10-01,6769.0,72138.0,72138.0
2011-11-01,8333.0,87758.0,87758.0
2011-12-01,4593.0,51004.0,51004.0
2012-01-01,287.0,7488.0,7488.0
2012-02-01,1002.0,14660.0,14660.0
2012-03-01,1857.0,20819.0,20819.0
2012-04-01,6534.0,69714.0,69714.0
2012-05-01,6370.0,69444.0,69444.0
2012-06-01,10810.0,115710.0,115710.0
2012-07-01,22632.0,239074.0,239074.0
2012-08-01,29878.0,315236.0,315236.0
2012-09-01,10796.0,115842.0,115842.0
2012-10-01,4939.0,55569.0,55569.0
2012-11-01,9594.0,102617.0,102617.0
2012-12-01,4222.0,51058.0,51058.0
2013-01-01,7491.0,85278.0,85278.0
2013-02-01,469.0,9812.0,9812.0
2013-03-01,3074.0,39448.0,39448.0
