measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed
2001-01-01,2081.433,21507.45,21507.45
2001-02-01,1812.449,18728.04,18728.04
2001-03-01,1951.469,20164.53,20164.53
2001-04-01,1919.7160000000001,19836.43,19836.43
2001-05-01,2012.306,20793.16,20793.16
2001-06-01,1981.2990000000002,20472.76,20472.76
2001-07-01,2273.417,23491.22,23491.22
2001-08-01,2352.1730000000002,24305.0,24305.0
2001-09-01,1957.5430000000001,20227.29,20227.29
2001-10-01,1849.576,19111.67,19111.67
2001-11-01,1522.5430000000001,15732.44,15732.44
2001-12-01,1641.077,16957.25,16957.25
2002-01-01,2017.4740000000002,20523.76,20523.76
2002-02-01,1748.54,17787.9,17787.9
2002-03-01,1959.97,19938.77,19938.77
2002-04-01,1742.9070000000002,17730.59,17730.59
2002-05-01,1898.823,19316.73,19316.73
2002-06-01,1771.8390000000002,18024.92,18024.92
2002-07-01,1957.9180000000001,19917.9,19917.9
2002-08-01,1904.0790000000002,19370.2,19370.2
2002-09-01,1843.0210000000002,18749.05,18749.05
2002-10-01,1905.49,19384.55,19384.55
2002-11-01,1859.808,18919.83,18919.83
2002-12-01,1909.121,19421.49,19421.49
2003-01-01,0.14800000000000002,1.52,1.52
2003-02-01,0.136,1.39,1.39
2003-03-01,0.15,1.54,1.54
2003-04-01,0.14200000000000002,1.45,1.45
2003-05-01,0.163,1.67,1.67
2003-06-01,0.169,1.73,1.73
2003-07-01,0.218,2.23,2.23
2003-08-01,0.20400000000000001,2.09,2.09
2003-09-01,0.187,1.92,1.92
2003-10-01,0.17600000000000002,1.8,1.8
2003-11-01,0.149,1.53,1.53
2003-12-01,0.158,1.62,1.62
2006-01-01,431.617,4281.21,4281.21
2006-02-01,391.21200000000005,3880.43,3880.43
2006-03-01,442.204,4386.22,4386.22
2006-04-01,395.637,3924.32,3924.32
2006-05-01,384.841,3817.24,3817.24
2006-06-01,417.72200000000004,4143.38,4143.38
2006-07-01,438.855,4353.0,4353.0
2006-08-01,448.115,4444.85,4444.85
2006-09-01,424.084,4206.49,4206.49
2006-10-01,441.98600000000005,4384.06,4384.06
2006-11-01,428.083,4246.16,4246.16
2006-12-01,446.644,4430.26,4430.26
2007-01-01,426.87,4219.18,4219.18
2007-02-01,372.21700000000004,3678.99,3678.99
2007-03-01,397.011,3924.06,3924.06
