measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,123736.0,1350597.8,1350597.8,67671.0,0.0,0.0
2005-08-01,207121.0,2173435.28,2173435.28,111994.0,0.0,0.0
2005-09-01,179155.0,1974100.49,1974100.49,95021.0,0.0,0.0
2005-10-01,79148.0,886914.2,886914.2,42856.0,0.0,0.0
2005-11-01,2736.0,9723.74,9723.74,645.0,0.0,0.0
2005-12-01,53217.0,344900.4,344900.4,24742.0,0.0,0.0
