measured_on,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,2.492,117.0,117.0
2003-02-01,2.101,98.0,98.0
2003-03-01,2.164,101.0,101.0
2003-04-01,1.856,87.0,87.0
2003-05-01,1.7630000000000001,83.0,83.0
2003-06-01,2.152,101.0,101.0
2003-07-01,2.544,119.0,119.0
2003-08-01,2.533,119.0,119.0
2003-09-01,1.8860000000000001,88.0,88.0
2003-10-01,1.806,85.0,85.0
2003-11-01,1.7160000000000002,80.0,80.0
2003-12-01,1.987,93.0,93.0
2004-01-01,5.159,711.0,711.0
2004-02-01,0.309,43.0,43.0
2004-03-01,0.027,4.0,4.0
2004-04-01,0.045,6.0,6.0
2004-05-01,0.152,21.0,21.0
2004-06-01,0.08700000000000001,12.0,12.0
2004-07-01,0.036000000000000004,5.0,5.0
2004-08-01,0.20600000000000002,28.0,28.0
2004-09-01,0.033,5.0,5.0
2004-10-01,0.008,1.0,1.0
2004-11-01,0.006,1.0,1.0
2004-12-01,0.93,128.0,128.0
2005-01-01,7.5040000000000004,101.11,101.11
2005-02-01,1.727,23.27,23.27
2005-03-01,1.482,19.97,19.97
2005-04-01,1.483,19.98,19.98
2005-05-01,1.495,20.15,20.15
2005-06-01,1.8110000000000002,24.41,24.41
2005-07-01,3.43,46.22,46.22
2005-08-01,3.0380000000000003,40.94,40.94
2005-09-01,1.691,22.78,22.78
2005-10-01,2.37,31.94,31.94
2005-11-01,1.596,21.5,21.5
2005-12-01,4.372,58.91,58.91
2006-01-01,24.21,421.0,421.0
2006-02-01,12.668000000000001,220.0,220.0
2006-03-01,10.642000000000001,185.0,185.0
2006-04-01,20.384,355.0,355.0
2006-05-01,19.054000000000002,332.0,332.0
2006-06-01,17.319,301.0,301.0
2006-07-01,25.087,436.0,436.0
2006-08-01,24.334,423.0,423.0
2006-09-01,11.179,195.0,195.0
2006-10-01,11.809000000000001,205.0,205.0
2006-11-01,13.906,242.0,242.0
2006-12-01,15.408000000000001,268.0,268.0
2007-01-01,7.345,123.0,123.0
2007-02-01,58.272000000000006,974.0,974.0
2007-03-01,14.283000000000001,241.0,241.0
2007-04-01,4.198,73.0,73.0
2007-05-01,0.94,17.0,17.0
2007-06-01,6.043,101.0,101.0
2007-07-01,9.804,162.0,162.0
2007-08-01,14.018,235.0,235.0
2007-09-01,5.295,90.0,90.0
2007-10-01,3.41,56.0,56.0
2007-11-01,2.829,45.0,45.0
2007-12-01,2.563,45.0,45.0
2008-01-01,27.938000000000002,414.0,414.0
2008-02-01,17.593,258.0,258.0
2008-03-01,14.015,207.0,207.0
2008-04-01,7.027,101.0,101.0
2008-05-01,10.508000000000001,157.0,157.0
2008-06-01,15.008000000000001,218.0,218.0
2008-07-01,1.852,28.0,28.0
2008-08-01,2.088,28.0,28.0
2008-09-01,4.619000000000001,67.0,67.0
2008-10-01,4.218,62.0,62.0
2008-11-01,5.215,78.0,78.0
2008-12-01,12.919,190.0,190.0
2009-01-01,11.879000000000001,364.0,364.0
2009-02-01,4.593,146.0,146.0
2009-03-01,3.527,112.0,112.0
2009-04-01,1.187,39.0,39.0
2009-05-01,2.898,90.0,90.0
2009-06-01,0.251,6.0,6.0
2009-07-01,0.23900000000000002,6.0,6.0
2009-08-01,1.4280000000000002,45.0,45.0
2009-09-01,0.331,11.0,11.0
2009-10-01,0.138,6.0,6.0
2009-11-01,0.192,6.0,6.0
2009-12-01,0.337,11.0,11.0
2010-01-01,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0
2011-01-01,18.813,638.0,638.0
2011-02-01,1.376,45.0,45.0
2011-03-01,0.645,22.0,22.0
2011-04-01,1.207,39.0,39.0
2011-05-01,3.081,106.0,106.0
2011-06-01,5.681,190.0,190.0
2011-07-01,11.128,381.0,381.0
2011-08-01,10.337,353.0,353.0
2011-09-01,2.256,78.0,78.0
2011-10-01,0.406,11.0,11.0
2011-11-01,1.318,45.0,45.0
2011-12-01,0.752,28.0,28.0
2012-01-01,0.665,17.0,17.0
2012-02-01,1.04,17.0,17.0
2012-03-01,1.445,22.0,22.0
2012-04-01,0.286,6.0,6.0
2012-05-01,1.132,17.0,17.0
2012-06-01,1.633,28.0,28.0
2012-07-01,6.636,106.0,106.0
2012-08-01,11.131,179.0,179.0
2012-09-01,3.214,50.0,50.0
2012-10-01,3.019,50.0,50.0
2012-11-01,1.102,17.0,17.0
2012-12-01,0.697,11.0,11.0
2013-01-01,20.628,627.0,627.0
2013-02-01,3.355,101.0,101.0
2013-03-01,1.113,34.0,34.0
2013-04-01,0.617,17.0,17.0
2013-05-01,0.427,11.0,11.0
2013-06-01,0.71,22.0,22.0
2013-07-01,6.41,196.0,196.0
2013-08-01,1.37,39.0,39.0
2013-09-01,1.578,50.0,50.0
2013-10-01,0.483,17.0,17.0
2013-11-01,0.622,17.0,17.0
2013-12-01,1.687,50.0,50.0
2014-01-01,37.352,616.0,616.0
2014-02-01,1.68,28.0,28.0
2014-03-01,4.791,78.0,78.0
2014-04-01,0.096,0.0,0.0
2014-05-01,0.115,0.0,0.0
2014-06-01,0.135,0.0,0.0
2014-07-01,0.155,0.0,0.0
2014-08-01,1.172,17.0,17.0
2014-09-01,0.136,0.0,0.0
2014-10-01,0.086,0.0,0.0
2014-11-01,0.204,6.0,6.0
2014-12-01,1.078,17.0,17.0
2015-01-01,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0
