measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,1278.46,6109.72,42144.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-02-01,1333.75,6373.95,51336.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-03-01,1470.52,7027.57,43200.0,12.74,56.32,139.2,,,,0.0,0.0,0.0
2004-04-01,1979.77,9461.26,55578.0,0.98,4.33,5.8,,,,0.0,0.0,0.0
2004-05-01,2211.6,10569.17,55129.6,4.9,21.66,63.8,,,,0.0,0.0,0.0
2004-06-01,1877.92,8974.52,52746.0,1.96,8.66,23.2,,,,0.0,0.0,0.0
2004-07-01,1925.45,9201.67,50787.2,29.4,129.97,342.2,,,,0.0,0.0,0.0
2004-08-01,1369.64,6545.47,33984.0,154.84,684.52,1363.0,,,,0.0,0.0,0.0
2004-09-01,2259.13,10796.31,59118.0,4.9,21.66,81.2,,,,0.0,0.0,0.0
2004-10-01,2218.39,10601.62,58386.4,6.86,30.33,87.0,,,,0.0,0.0,0.0
2004-11-01,1140.72,5451.47,52392.0,22.54,99.64,255.2,,,,0.0,0.0,0.0
2004-12-01,1178.55,5632.25,38326.4,0.98,4.33,11.6,,,,0.0,0.0,0.0
