measured_on,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,24686.0,240935.0,240935.0
2010-01-01,37573.0,366562.0,366562.0
2010-02-01,29604.0,288817.0,288817.0
2010-03-01,41754.0,407352.0,407352.0
2010-04-01,37068.0,361635.0,361635.0
2010-05-01,43405.0,423459.0,423459.0
2010-06-01,42946.0,418981.0,418981.0
2010-07-01,39908.0,389342.0,389342.0
2010-08-01,33107.0,322992.0,322992.0
2010-09-01,22866.0,223081.0,223081.0
2010-10-01,34981.0,341275.0,341275.0
2010-11-01,37639.0,367206.0,367206.0
2010-12-01,52814.0,515253.0,515253.0
2011-01-01,35123.0,341255.0,341255.0
2011-02-01,26249.0,255035.0,255035.0
2011-03-01,30175.0,293180.0,293180.0
2011-04-01,32702.0,317733.0,317733.0
2011-05-01,43797.0,425532.0,425532.0
2011-06-01,56548.0,549420.0,549420.0
2011-07-01,39059.0,379497.0,379497.0
2011-08-01,37241.0,361834.0,361834.0
2011-09-01,28543.0,277324.0,277324.0
2011-10-01,46948.0,456147.0,456147.0
2011-11-01,37679.0,366089.0,366089.0
2011-12-01,38391.0,373007.0,373007.0
2012-01-01,49663.0,472593.0,472593.0
2012-02-01,36387.0,346259.0,346259.0
2012-03-01,48652.0,462972.0,462972.0
2012-04-01,48744.0,463848.0,463848.0
2012-05-01,46793.0,445282.0,445282.0
2012-06-01,37369.0,355603.0,355603.0
2012-07-01,36245.0,344907.0,344907.0
2012-08-01,28906.0,275069.0,275069.0
2012-09-01,36060.0,343147.0,343147.0
2012-10-01,46675.0,444159.0,444159.0
2012-11-01,43615.0,415040.0,415040.0
2012-12-01,52990.0,504253.0,504253.0
2013-01-01,41174.0,392841.0,392841.0
2013-02-01,45072.0,430032.0,430032.0
2013-03-01,59483.0,567527.0,567527.0
2013-04-01,53877.0,514040.0,514040.0
2013-05-01,55995.0,534248.0,534248.0
2013-06-01,48873.0,466297.0,466297.0
2013-07-01,32030.0,305598.0,305598.0
2013-08-01,31391.0,299502.0,299502.0
2013-09-01,28460.0,271537.0,271537.0
2013-10-01,48042.0,458369.0,458369.0
2013-11-01,45867.0,437617.0,437617.0
2013-12-01,43527.0,415291.0,415291.0
2014-01-01,60599.0,576296.0,576296.0
2014-02-01,42811.0,407133.0,407133.0
2014-03-01,50462.0,479894.0,479894.0
2014-04-01,53276.0,506655.0,506655.0
2014-05-01,50960.0,484630.0,484630.0
2014-06-01,59009.0,561176.0,561176.0
2014-07-01,33691.0,320401.0,320401.0
2014-08-01,35688.0,339393.0,339393.0
2014-09-01,25281.0,240422.0,240422.0
2014-10-01,48411.0,460389.0,460389.0
2014-11-01,53565.0,509403.0,509403.0
2014-12-01,40957.0,389501.0,389501.0
2015-01-01,37537.0,349807.0,349807.0
2015-02-01,42799.0,398844.0,398844.0
2015-03-01,31046.0,289318.0,289318.0
2015-04-01,42589.0,396887.0,396887.0
2015-05-01,45200.0,421219.0,421219.0
2015-06-01,36266.0,337963.0,337963.0
2015-07-01,46702.0,435216.0,435216.0
2015-08-01,33499.0,312177.0,312177.0
2015-09-01,33796.0,314945.0,314945.0
2015-10-01,38254.0,356489.0,356489.0
2015-11-01,48795.0,454721.0,454721.0
2015-12-01,53886.0,502164.0,502164.0
2016-01-01,45930.0,424026.0,424026.0
2016-02-01,48927.0,451694.0,451694.0
2016-03-01,59494.0,549249.0,549249.0
2016-04-01,40967.0,378207.0,378207.0
2016-05-01,44952.0,414997.0,414997.0
2016-06-01,35614.0,328788.0,328788.0
2016-07-01,50131.0,462809.0,462809.0
2016-08-01,33748.0,311562.0,311562.0
2016-09-01,34680.0,320166.0,320166.0
2016-10-01,52036.0,480396.0,480396.0
2016-11-01,38984.0,359900.0,359900.0
2016-12-01,42328.0,390772.0,390772.0
2017-01-01,46516.653,428558.0,428558.0
2017-02-01,46045.613,424218.0,424218.0
2017-03-01,55795.118,514040.0,514040.0
2017-04-01,54523.689,502327.0,502327.0
2017-05-01,48702.063,448692.0,448692.0
2017-06-01,37225.189,342956.0,342956.0
2017-07-01,34486.156,317721.0,317721.0
2017-08-01,28298.465,260714.0,260714.0
2017-09-01,35928.669,331011.0,331011.0
2017-10-01,44676.064,411601.0,411601.0
2017-11-01,43163.723,397667.0,397667.0
2017-12-01,38420.598,353969.0,353969.0
2018-01-01,44154.497,401983.0,401983.0
2018-02-01,40380.308,367622.0,367622.0
2018-03-01,48185.809,438684.0,438684.0
2018-04-01,49914.141,454418.0,454418.0
2018-05-01,50897.548,463371.0,463371.0
2018-06-01,51008.245,464379.0,464379.0
2018-07-01,30816.46,280553.0,280553.0
2018-08-01,39342.805,358177.0,358177.0
2018-09-01,27548.065,250798.0,250798.0
2018-10-01,36704.14,334154.0,334154.0
2018-11-01,39643.035,360910.0,360910.0
2018-12-01,41773.947,380310.0,380310.0
2019-01-01,35401.33,315249.0,315249.0
2019-02-01,33944.199,302273.0,302273.0
2019-03-01,33573.276,298970.0,298970.0
2019-04-01,39085.981,348061.0,348061.0
2019-05-01,38165.884,339867.0,339867.0
2019-06-01,30248.219,269360.0,269360.0
2019-07-01,31313.948,278851.0,278851.0
2019-08-01,30095.944,268004.0,268004.0
2019-09-01,29362.807,261476.0,261476.0
2019-10-01,33584.819,299073.0,299073.0
2019-11-01,31156.593,277449.0,277449.0
2019-12-01,32071.0,285592.0,285592.0
2020-01-01,31939.114,280010.0,280010.0
2020-02-01,30920.019,271076.0,271076.0
2020-03-01,30780.967,269857.0,269857.0
2020-04-01,30991.004,271698.0,271698.0
2020-05-01,32306.052,283227.0,283227.0
2020-06-01,33997.838,298059.0,298059.0
2020-07-01,27984.146,245337.0,245337.0
2020-08-01,25691.646,225239.0,225239.0
2020-09-01,20899.85,183229.0,183229.0
2020-10-01,29461.413,258288.0,258288.0
2020-11-01,29888.55,262033.0,262033.0
2020-12-01,31833.401,279083.0,279083.0
2021-01-01,32699.1,289191.0,289191.0
