measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,2.847,26.0,26.0,0.518,4.0,4.0
2003-02-01,,,,0.0,0.0,0.0,2.52,23.0,23.0,0.458,4.0,4.0
2003-03-01,,,,0.0,0.0,0.0,2.584,24.0,24.0,0.47,4.0,4.0
2003-04-01,,,,0.0,0.0,0.0,2.423,22.0,22.0,0.441,4.0,4.0
2003-05-01,,,,0.0,0.0,0.0,2.6220000000000003,24.0,24.0,0.47700000000000004,4.0,4.0
2003-06-01,,,,0.0,0.0,0.0,2.6060000000000003,24.0,24.0,0.47400000000000003,4.0,4.0
2003-07-01,,,,0.0,0.0,0.0,3.23,30.0,30.0,0.5870000000000001,5.0,5.0
2003-08-01,,,,0.0,0.0,0.0,3.2680000000000002,30.0,30.0,0.5940000000000001,5.0,5.0
2003-09-01,,,,0.0,0.0,0.0,2.636,24.0,24.0,0.47900000000000004,4.0,4.0
2003-10-01,,,,0.0,0.0,0.0,2.587,24.0,24.0,0.47,4.0,4.0
2003-11-01,,,,0.0,0.0,0.0,2.718,25.0,25.0,0.49400000000000005,4.0,4.0
2003-12-01,,,,0.0,0.0,0.0,2.9610000000000003,27.0,27.0,0.538,5.0,5.0
2004-01-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-02-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-03-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-04-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-05-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-06-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
2004-07-01,,,,,,,-5.5,32.0,32.0,-0.8330000000000001,2.0,2.0
