measured_on,"Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2006-01-01,2862.7670000000003,28396.0,28396.0
2006-02-01,2327.202,23084.0,23084.0
2006-03-01,2376.664,23574.0,23574.0
2006-04-01,2388.556,23692.0,23692.0
2006-05-01,2248.0080000000003,22298.0,22298.0
2006-06-01,1508.2830000000001,14961.0,14961.0
2006-07-01,1538.289,15258.0,15258.0
2006-08-01,1331.332,13205.0,13205.0
2006-09-01,1625.566,16124.0,16124.0
2006-10-01,2307.333,22886.0,22886.0
2006-11-01,2605.638,25845.0,25845.0
2006-12-01,2801.3610000000003,27787.0,27787.0
2007-01-01,1351.205,13355.0,13355.0
2007-02-01,2216.243,21905.0,21905.0
2007-03-01,2313.81,22870.0,22870.0
2007-04-01,1825.2130000000002,18040.0,18040.0
2007-05-01,2129.9210000000003,21052.0,21052.0
2007-06-01,1977.3390000000002,19544.0,19544.0
2007-07-01,1215.491,12014.0,12014.0
2007-08-01,2348.157,23209.0,23209.0
2007-09-01,1959.558,19368.0,19368.0
2007-10-01,1744.058,17238.0,17238.0
2007-11-01,2331.743,23047.0,23047.0
2007-12-01,1921.2610000000002,18990.0,18990.0
2008-01-01,2880.909,28388.0,28388.0
2008-02-01,2677.949,26389.0,26389.0
2008-03-01,2699.03,26596.0,26596.0
2008-04-01,2586.924,25492.0,25492.0
2008-05-01,2418.9390000000003,23836.0,23836.0
2008-06-01,2155.355,21239.0,21239.0
2008-07-01,1489.8970000000002,14681.0,14681.0
2008-08-01,1555.133,15324.0,15324.0
2008-09-01,1512.7430000000002,14907.0,14907.0
2008-10-01,2306.036,22724.0,22724.0
2008-11-01,2837.085,27957.0,27957.0
2008-12-01,3228.0,31809.0,31809.0
2009-01-01,2967.1310000000003,28959.0,28959.0
2009-02-01,2284.279,22295.0,22295.0
2009-03-01,2571.922,25102.0,25102.0
2009-04-01,2310.847,22554.0,22554.0
2009-05-01,1858.461,18139.0,18139.0
2009-06-01,1439.3970000000002,14049.0,14049.0
2009-07-01,1314.4830000000002,12829.0,12829.0
2009-08-01,1428.933,13946.0,13946.0
