measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Other - Combined Cycle Combustion Turbine Part - Other - Generation,Other - Combined Cycle Combustion Turbine Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Combustion Turbine Part - Other - Total Fuel Consumed,Other - Combined Cycle Steam Part - Other - Generation,Other - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Steam Part - Other - Total Fuel Consumed,Other Biomass Liquids - Combined Cycle Combustion Turbine Part - Other Renewables - Generation,Other Biomass Liquids - Combined Cycle Combustion Turbine Part - Other Renewables - Quantity Consumed For Electricity,Other Biomass Liquids - Combined Cycle Combustion Turbine Part - Other Renewables - Total Fuel Consumed,Other Biomass Liquids - Combined Cycle Steam Part - Other Renewables - Generation,Other Biomass Liquids - Combined Cycle Steam Part - Other Renewables - Quantity Consumed For Electricity,Other Biomass Liquids - Combined Cycle Steam Part - Other Renewables - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2003-04-01,0.0,0.0,0.0,,,,,,,66.0,1150.0,1150.0,20.0,51.0,51.0,,,,,,,,,,,,
2003-05-01,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-06-01,0.0,0.0,0.0,,,,,,,1346.0,16708.0,16708.0,920.0,2841.0,2841.0,,,,,,,,,,,,
2003-07-01,0.0,0.0,0.0,,,,,,,58.2,963.0,963.0,23.28,76.0,76.0,,,,,,,,,,,,
2003-08-01,0.0,0.0,0.0,,,,,,,6614.43,80706.0,80706.0,4413.5,15970.0,15970.0,,,,,,,,,,,,
2003-09-01,0.0,0.0,0.0,,,,,,,66.93,1056.0,1056.0,21.34,92.0,92.0,,,,,,,,,,,,
2003-10-01,0.0,0.0,0.0,,,,,,,64.02,1328.0,1328.0,20.37,81.0,81.0,,,,,,,,,,,,
2003-11-01,0.0,0.0,0.0,,,,,,,75.66,1329.0,1329.0,21.34,111.0,111.0,,,,,,,,,,,,
2003-12-01,0.0,0.0,0.0,,,,,,,78.57,1335.0,1335.0,25.22,85.0,85.0,,,,,,,,,,,,
2004-01-01,0.0,0.0,0.0,,,,,,,171.007,2422.0,2422.0,85.126,268.0,268.0,,,,,,,,,,,,
2004-02-01,0.0,0.0,0.0,,,,,,,177.524,2514.0,2514.0,80.94200000000001,255.0,255.0,,,,,,,,,,,,
2004-03-01,0.0,0.0,0.0,,,,,,,169.133,2395.0,2395.0,83.405,263.0,263.0,,,,,,,,,,,,
2004-04-01,0.0,0.0,0.0,,,,,,,160.05,2267.0,2267.0,76.292,240.0,240.0,,,,,,,,,,,,
2004-05-01,0.0,0.0,0.0,,,,,,,221.37400000000002,3135.0,3135.0,121.785,384.0,384.0,,,,,,,,,,,,
2004-06-01,0.0,0.0,0.0,,,,,,,183.06900000000002,2593.0,2593.0,99.86800000000001,315.0,315.0,,,,,,,,,,,,
