measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2020-01-01,-8.205,0.0,0.0
2020-02-01,-6.339,0.0,0.0
2020-03-01,-9.728,0.0,0.0
2020-04-01,-8.626,0.0,0.0
2020-05-01,-8.357,0.0,0.0
2020-06-01,-7.422,0.0,0.0
2020-07-01,-8.775,0.0,0.0
2020-08-01,-8.745,0.0,0.0
2020-09-01,-9.455,0.0,0.0
2020-10-01,-10.097,0.0,0.0
2020-11-01,-9.953,0.0,0.0
2020-12-01,-9.298,0.0,0.0
2024-01-01,-6.0,0.0,0.0
2024-02-01,-8.0,0.0,0.0
2024-03-01,-9.0,0.0,0.0
2024-04-01,-18.0,0.0,0.0
2024-05-01,-18.0,0.0,0.0
2024-06-01,-18.0,0.0,0.0
2024-07-01,-18.0,0.0,0.0
2024-08-01,-18.0,0.0,0.0
2024-09-01,-18.0,0.0,0.0
2024-10-01,-27.0,0.0,0.0
2024-11-01,-12.0,0.0,0.0
2024-12-01,-11.0,0.0,0.0
