measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2017-01-01,-93.0,0.0,0.0
2017-02-01,-213.0,0.0,0.0
2017-03-01,-4.0,0.0,0.0
2017-04-01,-166.0,0.0,0.0
2017-05-01,-149.0,0.0,0.0
2017-06-01,-128.0,0.0,0.0
2017-07-01,-121.0,0.0,0.0
2017-08-01,-144.0,0.0,0.0
2017-09-01,-136.0,0.0,0.0
2017-10-01,-138.0,0.0,0.0
2017-11-01,-122.0,0.0,0.0
2017-12-01,-143.0,0.0,0.0
2018-01-01,-105.0,0.0,0.0
2018-02-01,-97.0,0.0,0.0
2018-03-01,-152.0,0.0,0.0
2018-04-01,-134.0,0.0,0.0
2018-05-01,-124.0,0.0,0.0
2018-06-01,-125.0,0.0,0.0
2018-07-01,-140.0,0.0,0.0
2018-08-01,-146.0,0.0,0.0
2018-09-01,-211.0,0.0,0.0
2018-10-01,-41.0,0.0,0.0
2018-11-01,-45.0,0.0,0.0
2018-12-01,-32.0,0.0,0.0
2019-01-01,-5.0,0.0,0.0
2019-02-01,-6.0,0.0,0.0
2019-03-01,-2.0,0.0,0.0
2019-04-01,-3.0,0.0,0.0
2019-05-01,-2.0,0.0,0.0
2019-06-01,-1.0,0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-08-01,-3.0,0.0,0.0
2019-09-01,-4.0,0.0,0.0
2019-10-01,-6.0,0.0,0.0
2019-11-01,-7.0,0.0,0.0
2019-12-01,-3.0,0.0,0.0
2020-01-01,-5.0,0.0,0.0
2020-02-01,-7.0,0.0,0.0
2020-03-01,-5.0,0.0,0.0
2020-04-01,-1.0,0.0,0.0
2020-05-01,-4.0,0.0,0.0
2020-06-01,-4.0,0.0,0.0
2020-07-01,-2.0,0.0,0.0
2020-08-01,-5.0,0.0,0.0
2020-09-01,0.0,0.0,0.0
2020-10-01,-1.0,0.0,0.0
2020-11-01,-5.0,0.0,0.0
2020-12-01,-3.0,0.0,0.0
2021-01-01,-5.0,0.0,0.0
2021-02-01,-6.0,0.0,0.0
2021-03-01,-5.0,0.0,0.0
2021-04-01,-4.0,0.0,0.0
2021-05-01,-3.0,0.0,0.0
2021-06-01,-3.0,0.0,0.0
2021-07-01,-6.0,0.0,0.0
2021-08-01,-6.0,0.0,0.0
2021-09-01,-5.0,0.0,0.0
2021-10-01,-4.0,0.0,0.0
2021-11-01,-3.0,0.0,0.0
2021-12-01,-2.0,0.0,0.0
2022-01-01,-2.0,0.0,0.0
2022-02-01,-4.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
2022-04-01,-3.0,0.0,0.0
2022-05-01,-4.0,0.0,0.0
2022-06-01,-4.0,0.0,0.0
2022-07-01,-5.0,0.0,0.0
2022-08-01,-5.0,0.0,0.0
2022-09-01,-2.0,0.0,0.0
2022-10-01,-3.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-12-01,2.0,0.0,0.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
