measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Sludge Waste Generation,Sludge Waste Quantity Consumed For Electricity,Sludge Waste Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,3424.1,22229.0,387883.0,,,,279.0,2882.91,2882.91,,,,1113.56,7299.0,127367.0,,,,,,,555.81,2289.0,39947.0
2001-02-01,3333.89,23616.0,381102.0,,,,201.0,2076.93,2076.93,,,,1036.93,7416.0,119669.0,,,,,,,435.53,1958.0,31591.0
2001-03-01,3338.74,12217.0,429476.0,,,,223.0,2304.26,2304.26,,,,1020.44,3772.0,132596.0,,,,,,,779.88,1812.0,63696.0
2001-04-01,2947.83,10936.0,376263.0,,,,203.0,2097.6,2097.6,,,,1465.67,5492.0,188962.0,,,,,,,784.73,1848.0,63585.0
2001-05-01,3314.49,14331.0,387185.0,,,,256.0,2645.25,2645.25,,,,1082.52,4727.0,127701.0,,,,,,,801.22,2199.0,59412.0
2001-06-01,3257.26,6755.0,390639.0,,,,243.0,2510.92,2510.92,,,,912.77,1912.0,110571.0,,,,,,,1028.2,1354.0,78322.0
2001-07-01,3064.23,10412.0,386525.0,,,,267.0,2758.91,2758.91,,,,1024.32,3516.0,130530.0,,,,,,,794.43,1714.0,63645.0
2001-08-01,2828.52,8524.0,418554.0,,,,205.0,2118.27,2118.27,,,,631.47,1923.0,94424.0,,,,,,,582.97,1116.0,54775.0
2001-09-01,3158.32,14681.0,412064.0,,,,267.0,2758.91,2758.91,,,,670.27,3149.0,88389.0,,,,,,,588.79,1738.0,48767.0
2001-10-01,2219.36,14912.0,298729.0,,,,135.0,1394.96,1394.96,,,,1008.8,6844.0,137113.0,,,,,,,291.97,1244.0,24928.0
