measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,36985.0,508128.0,508128.0
2003-02-01,2139.0,27550.0,27550.0,23763.0,306101.0,306101.0
2003-03-01,41.0,632.0,632.0,19742.0,302059.0,302059.0
2003-04-01,0.0,0.0,0.0,12965.0,168431.0,168431.0
2003-05-01,0.0,0.0,0.0,96278.0,1172023.0,1172023.0
2003-06-01,4126.0,47278.0,47278.0,115371.0,1321956.0,1321956.0
2003-07-01,370.0,4295.0,4295.0,130720.0,1516223.0,1516223.0
2003-08-01,346.0,4224.0,4224.0,76473.0,933898.0,933898.0
2003-09-01,0.0,0.0,0.0,15229.0,179686.0,179686.0
2003-10-01,0.0,0.0,0.0,17401.0,202736.0,202736.0
2003-11-01,0.0,0.0,0.0,15462.0,72786.0,72786.0
2003-12-01,0.0,0.0,0.0,4995.0,124401.0,124401.0
2004-01-01,-1116.0,336.0,336.0,-33.0,10.0,10.0
2004-02-01,-1152.0,226.0,226.0,-10.0,2.0,2.0
2004-03-01,-38.0,226.0,226.0,-694.0,4158.0,4158.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,-663.0,44.0,44.0
2004-06-01,0.0,0.0,0.0,171.0,15800.0,15800.0
2004-07-01,0.0,0.0,0.0,1108.0,27739.0,27739.0
2004-08-01,0.0,0.0,0.0,6363.0,94853.0,94853.0
2004-09-01,0.0,0.0,0.0,-573.0,52.0,52.0
2004-10-01,0.0,0.0,0.0,-496.0,16.0,16.0
2004-11-01,0.0,0.0,0.0,0.0,42.0,42.0
2004-12-01,0.0,330.0,330.0,0.0,0.0,0.0
2005-01-01,,,,487.0,28621.16,28621.16
2005-02-01,,,,0.0,0.0,0.0
2005-03-01,,,,0.0,0.0,0.0
2005-04-01,,,,0.0,0.0,0.0
2005-05-01,,,,0.0,0.0,0.0
2005-06-01,,,,0.0,0.0,0.0
2005-07-01,,,,0.0,0.0,0.0
2005-08-01,,,,0.0,0.0,0.0
2005-09-01,,,,0.0,0.0,0.0
2005-10-01,,,,0.0,0.0,0.0
2005-11-01,,,,0.0,0.0,0.0
2005-12-01,,,,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,9.0,9.0
2006-05-01,0.0,0.0,0.0,13551.0,72813.0,72813.0
2006-06-01,0.0,0.0,0.0,84444.0,1060139.0,1060139.0
2006-07-01,306.0,3393.0,3393.0,83913.0,935647.0,935647.0
2006-08-01,0.0,0.0,0.0,83816.0,1151823.0,1151823.0
2006-09-01,223.0,4414.0,4414.0,7000.0,138912.0,138912.0
2006-10-01,0.0,0.0,0.0,6618.0,103541.0,103541.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,-979.0,21202.0,21202.0
2007-01-01,0.0,0.0,0.0,1021.0,10420.0,10420.0
2007-02-01,0.0,0.0,0.0,1358.0,20655.0,20655.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,7959.0,7959.0
2007-05-01,0.0,0.0,0.0,4287.0,60135.0,60135.0
2007-06-01,0.0,0.0,0.0,7014.0,226072.0,226072.0
2007-07-01,0.0,0.0,0.0,13689.0,266270.0,266270.0
2007-08-01,0.0,0.0,0.0,109798.0,1331061.0,1331061.0
2007-09-01,0.0,0.0,0.0,38419.0,598704.0,598704.0
2007-10-01,0.0,0.0,0.0,25735.0,353481.0,353481.0
2007-11-01,0.0,0.0,0.0,7361.0,138927.0,138927.0
2007-12-01,0.0,0.0,0.0,6580.0,151280.0,151280.0
2008-01-01,0.0,0.0,0.0,7809.0,154475.0,154475.0
2008-02-01,0.0,0.0,0.0,5858.0,72333.0,72333.0
2008-03-01,0.0,0.0,0.0,22555.0,348029.0,348029.0
2008-04-01,0.0,0.0,0.0,3766.0,63320.0,63320.0
2008-05-01,0.0,0.0,0.0,42162.0,564774.0,564774.0
2008-06-01,0.0,0.0,0.0,117844.0,1449396.0,1449396.0
2008-07-01,0.0,0.0,0.0,134561.0,1671385.0,1671385.0
2008-08-01,5.617,70.0,70.0,97833.383,1212204.0,1212204.0
2008-09-01,5.288,70.0,70.0,24231.712,318949.0,318949.0
2008-10-01,0.0,0.0,0.0,916.0,20424.0,20424.0
2008-11-01,0.0,0.0,0.0,11938.0,160918.0,160918.0
2008-12-01,0.0,0.0,0.0,10001.0,156493.0,156493.0
2009-01-01,0.0,0.0,0.0,11709.0,204214.0,204214.0
