measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2020-11-01,548.556,4809.0,4809.0
2020-12-01,343.444,3011.0,3011.0
2021-01-01,71.405,632.0,632.0
2021-02-01,106.986,946.0,946.0
2021-03-01,183.36,1622.0,1622.0
2021-04-01,165.715,1466.0,1466.0
2021-05-01,210.392,1861.0,1861.0
2021-06-01,261.459,2312.0,2312.0
2021-07-01,237.408,2100.0,2100.0
2021-08-01,218.574,1933.0,1933.0
2021-09-01,186.165,1646.0,1646.0
2021-10-01,124.88,1104.0,1104.0
2021-11-01,76.772,679.0,679.0
2021-12-01,48.884,432.0,432.0
2022-01-01,78.965,269.0,269.0
2022-02-01,118.806,405.0,405.0
2022-03-01,156.13,533.0,533.0
2022-04-01,132.237,451.0,451.0
2022-05-01,195.302,666.0,666.0
2022-06-01,244.878,836.0,836.0
2022-07-01,238.065,812.0,812.0
2022-08-01,210.45,718.0,718.0
2022-09-01,197.492,674.0,674.0
2022-10-01,131.69,449.0,449.0
2022-11-01,70.973,242.0,242.0
2022-12-01,34.012,116.0,116.0
2023-01-01,50.0,171.0,171.0
2023-02-01,118.0,403.0,403.0
2023-03-01,172.0,587.0,587.0
2023-04-01,179.0,611.0,611.0
2023-05-01,256.0,873.0,873.0
2023-06-01,264.0,901.0,901.0
2023-07-01,266.0,908.0,908.0
2023-08-01,240.0,819.0,819.0
2023-09-01,161.0,549.0,549.0
2023-10-01,124.0,423.0,423.0
2023-11-01,87.0,297.0,297.0
2023-12-01,48.0,164.0,164.0
2024-01-01,52.0,177.0,177.0
2024-02-01,126.0,430.0,430.0
2024-03-01,106.0,362.0,362.0
2024-04-01,160.0,546.0,546.0
2024-05-01,242.0,826.0,826.0
2024-06-01,156.0,532.0,532.0
2024-07-01,171.0,583.0,583.0
2024-08-01,164.0,560.0,560.0
2024-09-01,228.0,778.0,778.0
2024-10-01,141.0,481.0,481.0
2024-11-01,66.0,225.0,225.0
2024-12-01,35.0,119.0,119.0
