measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,3192.0,26892.0,26892.0,0.0,0.0,0.0
2003-02-01,,,,,,,179.0,1529.0,1529.0,,,,299.0,5203.0,5203.0,,,,,,,3278.0,32036.0,32036.0,173.0,3452.0,3452.0
2003-03-01,,,,,,,91.0,1100.0,1100.0,,,,0.0,0.0,0.0,,,,,,,846.0,11762.0,11762.0,0.0,0.0,0.0
2003-04-01,,,,,,,852.0,9730.0,9730.0,,,,0.0,0.0,0.0,2025.0,26459.0,26459.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,22886.0,312378.0,312378.0,9506.0,0.0,0.0,0.0,0.0,0.0,1704.0,29104.0,29104.0
2003-06-01,,,,,,,276.0,3267.0,3267.0,,,,0.0,0.0,0.0,22610.0,308611.0,308611.0,3454.0,0.0,0.0,0.0,0.0,0.0,562.0,11094.0,11094.0
2003-07-01,,,,,,,,,,,,,0.0,0.0,0.0,11376.0,158112.0,158112.0,3977.0,0.0,0.0,,,,1142.0,22491.0,22491.0
2003-08-01,,,,,,,,,,,,,0.0,0.0,0.0,11328.0,159168.0,159168.0,4005.0,0.0,0.0,,,,,,
2003-09-01,,,,,,,,,,,,,0.0,0.0,0.0,1301.0,18460.0,18460.0,317.0,0.0,0.0,,,,206.0,5828.0,5828.0
2003-10-01,,,,,,,,,,,,,0.0,0.0,0.0,,,,1283.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,,,,,,,,,,,,,0.0,0.0,0.0,747.0,10648.0,10648.0,199.0,0.0,0.0,,,,0.0,0.0,0.0
2003-12-01,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,,,,,,,,,,,,,0.0,0.0,0.0,5794.92,79192.0,79192.0,1428.247,0.0,0.0,557.665,6012.0,6012.0,47.164,994.0,994.0
