measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,40.0,599.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,60095.0,895408.0,895408.0
2003-02-01,0.0,0.0,0.0,91.229,1443.0,1443.0,0.0,0.0,0.0,0.0,0.0,0.0,51235.846,811479.0,811479.0
2003-03-01,0.0,0.0,0.0,53.0,728.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,59925.0,818015.0,818015.0
2003-04-01,,,,42.0,540.0,540.0,,,,,,,56989.0,734169.0,734169.0
2003-05-01,0.0,0.0,0.0,153.0,2084.0,2084.0,0.0,0.0,0.0,0.0,0.0,0.0,55399.0,754831.0,754831.0
2003-06-01,0.0,0.0,0.0,145.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,53430.0,738960.0,738960.0
2003-07-01,0.0,0.0,0.0,221.0,3064.0,3064.0,0.0,0.0,0.0,0.0,0.0,0.0,57089.0,790614.0,790614.0
2003-08-01,0.0,0.0,0.0,147.0,2080.0,2080.0,0.0,0.0,0.0,0.0,0.0,0.0,56737.0,804071.0,804071.0
2003-09-01,0.0,0.0,0.0,343.0,4770.0,4770.0,0.0,0.0,0.0,0.0,0.0,0.0,39099.0,553288.0,553288.0
2003-10-01,0.0,0.0,0.0,44.0,584.0,584.0,0.0,0.0,0.0,0.0,0.0,0.0,59337.0,795315.0,795315.0
2003-11-01,0.0,0.0,0.0,222.0,3157.0,3157.0,0.0,0.0,0.0,0.0,0.0,0.0,53979.0,767377.0,767377.0
2003-12-01,0.0,0.0,0.0,411.0,5856.0,5856.0,0.0,0.0,0.0,0.0,0.0,0.0,51579.0,734944.0,734944.0
