measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,714.0,8966.0,8966.0,0.0,0.0,0.0
2003-02-01,664.0,8772.0,8772.0,0.0,0.0,0.0
2003-03-01,269.0,3363.0,3363.0,0.0,0.0,0.0
2003-04-01,5.0,63.0,63.0,42.0,715.0,715.0
2003-05-01,0.0,0.0,0.0,209.0,3014.0,3014.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,355.0,4657.0,4657.0
2003-08-01,23.0,296.0,296.0,424.0,5913.0,5913.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,30.0,388.0,388.0,0.0,0.0,0.0
2003-11-01,19.0,245.0,245.0,0.0,0.0,0.0
2003-12-01,47.0,599.0,599.0,0.0,0.0,0.0
2004-01-01,664.777,8547.0,8547.0,209.342,2737.0,2737.0
2004-02-01,734.9870000000001,9450.0,9450.0,567.5640000000001,7421.0,7421.0
2004-03-01,139.787,1797.0,1797.0,465.887,6091.0,6091.0
2004-04-01,108.477,1395.0,1395.0,149.442,1954.0,1954.0
2004-05-01,110.375,1419.0,1419.0,1093.11,14292.0,14292.0
2004-06-01,129.666,1667.0,1667.0,568.633,7435.0,7435.0
2004-07-01,0.0,0.0,0.0,663.922,8681.0,8681.0
2004-08-01,84.441,1086.0,1086.0,808.633,10573.0,10573.0
2004-09-01,0.0,0.0,0.0,517.287,6763.0,6763.0
