measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,115.122,1.0,1.0,,,
2003-02-01,,,,98.768,1.0,1.0,,,
2003-03-01,,,,106.533,1.0,1.0,,,
2003-04-01,,,,108.033,1.0,1.0,,,
2003-05-01,,,,119.605,1.0,1.0,,,
2003-06-01,,,,117.486,1.0,1.0,,,
2003-07-01,,,,127.759,1.0,1.0,,,
2003-08-01,,,,132.076,1.0,1.0,,,
2003-09-01,,,,101.10300000000001,1.0,1.0,,,
2003-10-01,,,,101.645,1.0,1.0,,,
2003-11-01,,,,99.19800000000001,1.0,1.0,,,
2003-12-01,,,,118.06400000000001,1.0,1.0,,,
2005-01-01,0.0,0.0,0.0,,,,,,
2005-02-01,0.0,0.0,0.0,,,,,,
2005-03-01,1670.9360000000001,26548.38,41912.05,,,,,,
2005-04-01,1678.961,26675.89,42113.35,,,,,,
2005-05-01,1844.0130000000001,29298.28,46253.34,,,,,,
2005-06-01,2368.527,37631.94,59409.72,,,,,,
2005-07-01,3032.943,48188.39,76075.25,,,,,,
2005-08-01,3143.0950000000003,49938.52,78838.17,,,,,,
2005-09-01,2370.5640000000003,37664.3,59460.81,,,,,,
2005-10-01,1840.016,29234.77,46153.08,,,,,,
2005-11-01,1641.7340000000002,26084.39,41179.56,,,,,,
2005-12-01,1873.17,29761.54,46984.67,,,,,,
2006-01-01,1509.8210000000001,8724.92,8724.92,,,,,,
2006-02-01,1331.171,7692.54,7692.54,,,,,,
2006-03-01,1474.452,8520.53,8520.53,,,,,,
2006-04-01,1404.86,8118.38,8118.38,,,,,,
2006-05-01,1637.481,9462.64,9462.64,,,,,,
2006-06-01,1735.65,10029.94,10029.94,,,,,,
2006-07-01,1954.266,11293.27,11293.27,,,,,,
2006-08-01,2018.8760000000002,11666.64,11666.64,,,,,,
2006-09-01,1643.842,9499.4,9499.4,,,,,,
2006-10-01,1723.219,9958.1,9958.1,,,,,,
2006-11-01,1455.631,8411.77,8411.77,,,,,,
2006-12-01,1632.3310000000001,9432.88,9432.88,,,,,,
2007-01-01,1574.809,9279.0,9279.0,,,,,,
2007-02-01,1432.6680000000001,8441.0,8441.0,,,,,,
2007-03-01,1448.586,8535.0,8535.0,,,,,,
2007-04-01,1345.285,7927.0,7927.0,,,,,,
2007-05-01,1588.5030000000002,9360.0,9360.0,,,,,,
2007-06-01,1990.477,11728.0,11728.0,,,,,,
2007-07-01,2553.4660000000003,15045.0,15045.0,,,,,,
2007-08-01,2686.195,15827.0,15827.0,,,,,,
2007-09-01,2241.219,13206.0,13206.0,,,,,,
2007-10-01,2049.9030000000002,12078.0,12078.0,,,,,,
2007-11-01,1626.7540000000001,9585.0,9585.0,,,,,,
2007-12-01,1811.135,10671.0,10671.0,,,,,,
2008-01-01,1400.361,8055.0,8055.0,,,,,,
2008-02-01,1184.124,6812.0,6812.0,,,,,,
2008-03-01,1342.508,7723.0,7723.0,,,,,,
2008-04-01,1416.827,8150.0,8150.0,,,,,,
2008-05-01,1596.2230000000002,9182.0,9182.0,,,,,,
2008-06-01,1695.913,9756.0,9756.0,,,,,,
2008-07-01,1686.265,9700.0,9700.0,,,,,,
2008-08-01,1682.345,9678.0,9678.0,,,,,,
2008-09-01,1523.498,8764.0,8764.0,,,,,,
2008-10-01,1875.231,10787.0,10787.0,,,,,,
2008-11-01,1378.8210000000001,7932.0,7932.0,,,,,,
2008-12-01,1798.884,10348.0,10348.0,,,,,,
2009-01-01,2863.994,15655.0,15655.0,,,,,,
2009-02-01,2630.3540000000003,14379.0,14379.0,,,,,,
2009-03-01,2978.0910000000003,16280.0,16280.0,,,,,,
2009-04-01,2407.981,13163.0,13163.0,,,,,,
2009-05-01,2498.014,13655.0,13655.0,,,,,,
2009-06-01,3069.6510000000003,16780.0,16780.0,,,,,,
2009-07-01,3829.9550000000004,20936.0,20936.0,,,,,,
2009-08-01,3667.789,20050.0,20050.0,,,,,,
2009-09-01,2903.545,15872.0,15872.0,,,,,,
2009-10-01,2365.665,12932.0,12932.0,,,,,,
2009-11-01,2376.699,12992.0,12992.0,,,,,,
2009-12-01,2688.262,14695.0,14695.0,,,,,,
2010-01-01,3039.281,34139.0,34139.0,,,,,,
2010-02-01,2807.156,31533.0,31533.0,,,,,,
2010-03-01,2838.141,31881.0,31881.0,,,,,,
2010-04-01,2454.108,27567.0,27567.0,,,,,,
2010-05-01,2044.314,22964.0,22964.0,,,,,,
2010-06-01,3115.9860000000003,35002.0,35002.0,,,,,,
