measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2010-07-01,3703.556,41602.0,41602.0,,,,,,
2010-08-01,3830.5350000000003,43028.0,43028.0,,,,,,
2010-09-01,2844.165,31948.0,31948.0,,,,,,
2010-10-01,2190.33,24604.0,24604.0,,,,,,
2010-11-01,2330.128,26174.0,26174.0,,,,,,
2010-12-01,2886.3,32422.0,32422.0,,,,,,
2011-01-01,2690.592,29589.0,29589.0,0.0,0.0,0.0,,,
2011-02-01,2743.407,30169.0,30169.0,0.0,0.0,0.0,,,
2011-03-01,2551.735,28061.0,28061.0,0.0,0.0,0.0,,,
2011-04-01,2324.869,25567.0,25567.0,0.0,0.0,0.0,,,
2011-05-01,2748.899,30230.0,30230.0,0.0,0.0,0.0,,,
2011-06-01,3488.174,38359.0,38359.0,0.0,0.0,0.0,,,
2011-07-01,4405.524,48448.0,48448.0,0.0,0.0,0.0,,,
2011-08-01,4428.365,48699.0,48699.0,0.0,0.0,0.0,,,
2011-09-01,3095.393,34040.0,34040.0,0.0,0.0,0.0,,,
2011-10-01,2583.077,28406.0,28406.0,159.601,0.0,0.0,,,
2011-11-01,2731.879,30042.0,30042.0,168.796,0.0,0.0,,,
2011-12-01,3635.086,39975.0,39975.0,224.603,0.0,0.0,,,
2012-01-01,3122.105,32242.0,32242.0,118.001,0.0,0.0,,,
2012-02-01,3095.686,31968.0,31968.0,117.002,0.0,0.0,,,
2012-03-01,3550.956,36670.0,36670.0,134.209,0.0,0.0,,,
2012-04-01,3366.547,34765.0,34765.0,127.239,0.0,0.0,,,
2012-05-01,3589.454,37067.0,37067.0,135.664,0.0,0.0,,,
2012-06-01,4205.257,43426.0,43426.0,158.939,0.0,0.0,,,
2012-07-01,4888.526,50482.0,50482.0,184.763,0.0,0.0,,,
2012-08-01,5185.774,53552.0,53552.0,195.997,0.0,0.0,,,
2012-09-01,3413.23,35247.0,35247.0,129.004,0.0,0.0,,,
2012-10-01,3231.598,33372.0,33372.0,122.139,0.0,0.0,,,
2012-11-01,2538.347,26213.0,26213.0,95.937,0.0,0.0,,,
2012-12-01,3045.52,31450.0,31450.0,115.106,0.0,0.0,,,
2013-01-01,3232.442,36133.0,36133.0,62.565,0.0,0.0,,,
2013-02-01,3000.924,33545.0,33545.0,58.083,0.0,0.0,,,
2013-03-01,2944.882,32918.0,32918.0,56.999,0.0,0.0,,,
2013-04-01,4003.41,44751.0,44751.0,77.486,0.0,0.0,,,
2013-05-01,3951.275,44168.0,44168.0,76.477,0.0,0.0,,,
2013-06-01,4429.825,49517.0,49517.0,85.74,0.0,0.0,,,
2013-07-01,4896.197,54730.0,54730.0,94.766,0.0,0.0,,,
2013-08-01,5437.564,60782.0,60782.0,105.245,0.0,0.0,,,
2013-09-01,4428.994,49508.0,49508.0,85.724,0.0,0.0,,,
2013-10-01,3066.823,34281.0,34281.0,59.359,0.0,0.0,,,
2013-11-01,3450.739,38573.0,38573.0,66.789,0.0,0.0,,,
2013-12-01,4017.925,44913.0,44913.0,77.767,0.0,0.0,,,
2014-01-01,5830.191,66106.0,66106.0,84.934,0.0,0.0,,,
2014-02-01,4775.197,54144.0,54144.0,69.565,0.0,0.0,,,
2014-03-01,5995.059,67975.0,67975.0,87.336,0.0,0.0,,,
2014-04-01,5804.873,65819.0,65819.0,84.565,0.0,0.0,,,
2014-05-01,6461.705,73267.0,73267.0,94.134,0.0,0.0,,,
2014-06-01,7130.924,80855.0,80855.0,103.883,0.0,0.0,,,
2014-07-01,7476.079,84768.0,84768.0,108.911,0.0,0.0,,,
2014-08-01,8401.075,95256.0,95256.0,122.387,0.0,0.0,,,
2014-09-01,5746.198,65154.0,65154.0,83.71,0.0,0.0,,,
2014-10-01,4784.941,54254.0,54254.0,69.707,0.0,0.0,,,
2014-11-01,4976.625,56428.0,56428.0,72.499,0.0,0.0,,,
2014-12-01,5654.133,64110.0,64110.0,82.369,0.0,0.0,,,
2015-01-01,6910.347,77477.0,77477.0,179.498,0.0,0.0,,,
2015-02-01,6153.313,68990.0,68990.0,159.833,0.0,0.0,,,
2015-03-01,6816.53,76426.0,76426.0,177.06,0.0,0.0,,,
2015-04-01,6757.51,75764.0,75764.0,175.527,0.0,0.0,,,
2015-05-01,5102.782,57211.0,57211.0,132.545,0.0,0.0,,,
2015-06-01,5826.481,65325.0,65325.0,151.344,0.0,0.0,,,
2015-07-01,8225.079,92218.0,92218.0,213.648,0.0,0.0,,,
2015-08-01,9039.371,101348.0,101348.0,234.799,0.0,0.0,,,
2015-09-01,7022.286,78733.0,78733.0,182.405,0.0,0.0,,,
2015-10-01,6358.21,71287.0,71287.0,165.155,0.0,0.0,,,
2015-11-01,6191.822,69422.0,69422.0,160.833,0.0,0.0,,,
2015-12-01,7636.269,85616.0,85616.0,198.353,0.0,0.0,,,
2016-01-01,6590.54,29983.0,72906.0,156.759,713.0,12713.0,,,
2016-02-01,5918.009,26923.0,65467.0,140.76,640.0,11415.0,,,
2016-03-01,6103.665,27768.0,67520.0,145.176,660.0,11774.0,,,
2016-04-01,5601.8,25484.0,61969.0,133.239,606.0,10805.0,,,
2016-05-01,6059.434,27566.0,67031.0,144.124,656.0,11688.0,,,
2016-06-01,6655.056,30276.0,73620.0,158.291,720.0,12837.0,,,
2016-07-01,8305.369,37784.0,91876.0,197.544,899.0,16020.0,,,
2016-08-01,7916.157,36013.0,87571.0,188.286,857.0,15270.0,,,
2016-09-01,6765.482,30778.0,74842.0,160.917,732.0,13050.0,,,
2016-10-01,6493.784,29542.0,71836.0,154.455,703.0,12526.0,,,
2016-11-01,4424.474,20128.0,48945.0,105.236,479.0,8535.0,,,
2016-12-01,6105.23,27775.0,67538.0,145.213,661.0,11777.0,,,
2017-01-01,6747.517,30697.0,76692.0,101.391,0.0,0.0,,,
2017-02-01,5587.175,25418.0,63504.0,83.956,0.0,0.0,,,
2017-03-01,5573.336,25355.0,63347.0,83.748,0.0,0.0,,,
2017-04-01,4661.239,21206.0,52980.0,70.042,0.0,0.0,,,
2017-05-01,6410.379,29163.0,72861.0,96.326,0.0,0.0,,,
2017-06-01,7758.842,35298.0,88187.0,116.588,0.0,0.0,,,
2017-07-01,8847.549,40250.0,100562.0,132.948,0.0,0.0,,,
2017-08-01,7486.976,34061.0,85097.0,112.503,0.0,0.0,,,
2017-09-01,6250.388,28435.0,71042.0,93.922,0.0,0.0,,,
2017-10-01,6280.948,28574.0,71390.0,94.381,0.0,0.0,,,
2017-11-01,4665.155,21223.0,53024.0,70.101,0.0,0.0,,,
2017-12-01,6461.496,29395.0,73442.0,97.094,0.0,0.0,,,
2018-01-01,3884.775,17673.0,44379.0,77.079,0.0,0.0,,,
2018-02-01,4177.575,19005.0,47722.0,82.888,0.0,0.0,,,
2018-03-01,4817.329,21916.0,55030.0,95.581,0.0,0.0,,,
2018-04-01,5683.814,25858.0,64929.0,112.773,0.0,0.0,,,
2018-05-01,6306.699,28691.0,72044.0,125.132,0.0,0.0,,,
2018-06-01,7187.252,32697.0,82103.0,142.603,0.0,0.0,,,
2018-07-01,6891.604,31352.0,78726.0,136.737,0.0,0.0,,,
2018-08-01,7682.327,34949.0,87759.0,152.426,0.0,0.0,,,
2018-09-01,6809.374,30978.0,77787.0,135.105,0.0,0.0,,,
2018-10-01,4860.635,22113.0,55525.0,96.44,0.0,0.0,,,
2018-11-01,5815.474,26457.0,66432.0,115.385,0.0,0.0,,,
2018-12-01,6746.142,30690.0,77064.0,133.851,0.0,0.0,,,
2019-01-01,5096.797,23187.0,58350.0,103.36,0.0,0.0,,,
2019-02-01,5186.213,23594.0,59375.0,105.174,0.0,0.0,,,
2019-03-01,4656.078,21182.0,53305.0,94.423,0.0,0.0,,,
2019-04-01,4958.226,22557.0,56765.0,100.551,0.0,0.0,,,
2019-05-01,4993.546,22717.0,57169.0,101.267,0.0,0.0,,,
2019-06-01,5210.517,23704.0,59653.0,105.667,0.0,0.0,,,
2019-07-01,6963.013,31677.0,79717.0,141.207,0.0,0.0,,,
2019-08-01,8345.322,37966.0,95543.0,169.239,0.0,0.0,,,
2019-09-01,6476.688,29465.0,74149.0,131.344,0.0,0.0,,,
2019-10-01,5696.814,25917.0,65220.0,115.529,0.0,0.0,,,
2019-11-01,4697.336,21370.0,53778.0,95.26,0.0,0.0,,,
2019-12-01,6261.45,28485.0,71685.0,126.979,0.0,0.0,,,
2020-01-01,7197.777,32745.0,79450.0,133.969,0.0,0.0,,,
2020-02-01,6507.331,29604.0,71827.0,121.118,0.0,0.0,,,
2020-03-01,6424.478,29227.0,70912.0,119.576,0.0,0.0,,,
2020-04-01,6692.126,30445.0,73867.0,124.557,0.0,0.0,,,
2020-05-01,6597.95,30016.0,72828.0,122.804,0.0,0.0,,,
2020-06-01,6483.801,29497.0,71567.0,120.68,0.0,0.0,,,
2020-07-01,9194.216,41828.0,101484.0,171.128,0.0,0.0,,,
2020-08-01,9467.027,43069.0,104495.0,176.205,0.0,0.0,,,
2020-09-01,8106.59,36880.0,89479.0,150.884,0.0,0.0,,,
2020-10-01,6529.216,29704.0,72068.0,121.525,0.0,0.0,,,
2020-11-01,5884.965,26773.0,64957.0,109.534,0.0,0.0,,,
2020-12-01,6018.523,27380.0,66431.0,112.02,0.0,0.0,,,
2021-01-01,8573.742,39005.0,99641.0,142.045,0.0,0.0,,,
2021-02-01,6945.292,31596.0,80715.0,115.065,0.0,0.0,,,
2021-03-01,7372.658,33541.0,85681.0,122.146,0.0,0.0,,,
2021-04-01,6313.996,28724.0,73377.0,104.606,0.0,0.0,,,
2021-05-01,8688.162,39525.0,100969.0,143.94,0.0,0.0,,,
2021-06-01,10244.66,46606.0,119058.0,169.727,0.0,0.0,,,
2021-07-01,10816.585,49208.0,125704.0,179.202,0.0,0.0,,,
2021-08-01,10652.427,48461.0,123797.0,176.483,0.0,0.0,,,
2021-09-01,8347.725,37977.0,97012.0,138.3,0.0,0.0,,,
2021-10-01,5807.112,26418.0,67487.0,96.209,0.0,0.0,,,
2021-11-01,5777.326,26283.0,67141.0,95.715,0.0,0.0,,,
2021-12-01,6311.315,28712.0,73346.0,104.562,0.0,0.0,,,
2022-01-01,5349.63,24337.0,57868.0,6.19,0.0,0.0,,,
2022-02-01,4924.737,22404.0,53273.0,5.699,0.0,0.0,,,
2022-03-01,4272.147,19435.0,46213.0,4.943,0.0,0.0,,,
2022-04-01,3801.864,17296.0,41126.0,4.399,0.0,0.0,,,
2022-05-01,6135.149,27911.0,66367.0,7.099,0.0,0.0,,,
2022-06-01,6425.001,29229.0,69502.0,7.435,0.0,0.0,,,
2022-07-01,8372.545,38089.0,90569.0,9.688,0.0,0.0,,,
2022-08-01,8474.686,38554.0,91674.0,9.806,0.0,0.0,,,
2022-09-01,7428.128,33793.0,80352.0,8.595,0.0,0.0,,,
2022-10-01,6835.156,31095.0,73939.0,7.909,0.0,0.0,,,
2022-11-01,6887.354,31333.0,74504.0,7.97,0.0,0.0,,,
2022-12-01,8008.603,36434.0,86632.0,9.267,0.0,0.0,,,
2023-01-01,6518.717,29656.0,79062.0,49.111,0.0,0.0,,,
2023-02-01,5220.277,23749.0,63315.0,39.329,0.0,0.0,,,
2023-03-01,5910.799,26890.0,71690.0,44.531,0.0,0.0,,,
2023-04-01,4939.207,22470.0,59906.0,37.212,0.0,0.0,,,
2023-05-01,6605.342,30050.0,80113.0,49.764,0.0,0.0,,,
2023-06-01,6533.756,29724.0,79246.0,49.225,0.0,0.0,,,
2023-07-01,7052.243,32083.0,85534.0,53.131,0.0,0.0,,,
2023-08-01,7946.167,36150.0,96376.0,59.866,0.0,0.0,,,
2023-09-01,6609.795,30070.0,80167.0,49.798,0.0,0.0,,,
2023-10-01,5232.535,23805.0,63464.0,39.421,0.0,0.0,,,
2023-11-01,6122.598,27854.0,74259.0,46.127,0.0,0.0,,,
2023-12-01,6435.564,29278.0,78054.0,48.485,0.0,0.0,,,
2024-01-01,7544.542,34323.0,87968.0,48.5,0.0,0.0,0.0,0.0,0.0
2024-02-01,7147.984,32519.0,83344.0,45.95,0.0,0.0,0.0,0.0,0.0
2024-03-01,6529.965,29707.0,76137.0,41.977,0.0,0.0,0.0,0.0,0.0
2024-04-01,5195.956,23638.0,60583.0,33.401,0.0,0.0,0.0,0.0,0.0
2024-05-01,6868.557,31247.0,80085.0,44.153,0.0,0.0,0.0,0.0,0.0
2024-06-01,7804.036,35503.0,90993.0,50.167,0.0,0.0,0.0,0.0,0.0
2024-07-01,8742.973,39775.0,101941.0,56.203,0.0,0.0,0.0,0.0,0.0
2024-08-01,7113.324,32361.0,82939.0,45.727,0.0,0.0,0.0,0.0,0.0
2024-09-01,5807.755,26421.0,67716.0,37.334,0.0,0.0,0.0,0.0,0.0
2024-10-01,4502.966,20485.0,52503.0,28.947,0.0,0.0,0.0,0.0,0.0
2024-11-01,3770.678,17154.0,43965.0,24.239,0.0,0.0,0.0,0.0,0.0
2024-12-01,6907.264,31423.0,80537.0,44.402,0.0,0.0,0.0,0.0,0.0
