measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,0.0,0.0,0.0,,,
2003-02-01,31.0,737.0,737.0,0.0,0.0,0.0,,,
2003-03-01,18.0,418.0,418.0,8.0,72.0,72.0,,,
2003-04-01,0.0,0.0,0.0,5.0,66.0,66.0,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,97.0,1298.0,1298.0,2.0,22.0,22.0,,,
2003-07-01,46.0,501.0,501.0,2.0,22.0,22.0,,,
2003-08-01,284.0,4796.0,4796.0,0.0,0.0,0.0,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,43.0,660.0,660.0,18.0,149.0,149.0,,,
2003-12-01,28.0,468.0,468.0,0.0,0.0,0.0,,,
2004-01-01,2.2920000000000003,42.0,42.0,8.669,133.0,133.0,,,
2004-02-01,154.484,2843.0,2843.0,7.899,122.0,122.0,,,
2004-03-01,1.834,34.0,34.0,7.321000000000001,113.0,113.0,,,
2004-04-01,1.375,25.0,25.0,0.0,0.0,0.0,,,
2004-05-01,7.793,143.0,143.0,0.0,0.0,0.0,,,
2004-06-01,43.549,801.0,801.0,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,16.525,254.0,254.0,,,
2004-08-01,19.712,363.0,363.0,7.863,121.0,121.0,,,
2004-09-01,16.044,295.0,295.0,18.723000000000003,288.0,288.0,,,
2004-10-01,0.917,17.0,17.0,0.0,0.0,0.0,,,
