measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2013-01-01,755.916,6331.0,6331.0
2013-02-01,696.39,5832.0,5832.0
2013-03-01,1104.403,9249.0,9249.0
2013-04-01,1263.752,10583.0,10583.0
2013-05-01,1231.155,10310.0,10310.0
2013-06-01,1226.685,10273.0,10273.0
2013-07-01,947.895,7938.0,7938.0
2013-08-01,1112.187,9314.0,9314.0
2013-09-01,1164.493,9751.0,9751.0
2013-10-01,1111.223,9305.0,9305.0
2013-11-01,930.685,7794.0,7794.0
2013-12-01,1001.176,8384.0,8384.0
2014-01-01,777.667,7870.0,7870.0
2014-02-01,625.104,6326.0,6326.0
2014-03-01,665.361,6733.0,6733.0
2014-04-01,766.752,7759.0,7759.0
2014-05-01,796.542,8060.0,8060.0
2014-06-01,969.094,9806.0,9806.0
2014-07-01,911.944,9229.0,9229.0
2014-08-01,847.685,8578.0,8578.0
2014-09-01,940.894,9521.0,9521.0
2014-10-01,951.919,9633.0,9633.0
2014-11-01,761.907,7710.0,7710.0
2014-12-01,795.911,8054.0,8054.0
2015-01-01,813.444,7457.0,7457.0
2015-02-01,657.958,6032.0,6032.0
2015-03-01,796.385,7302.0,7302.0
2015-04-01,863.602,7917.0,7917.0
2015-05-01,944.524,8660.0,8660.0
2015-06-01,882.151,8087.0,8087.0
2015-07-01,1012.745,9285.0,9285.0
2015-08-01,882.571,8092.0,8092.0
2015-09-01,996.532,9136.0,9136.0
2015-10-01,906.152,8308.0,8308.0
2015-11-01,840.727,7708.0,7708.0
2015-12-01,810.809,7434.0,7434.0
2016-01-01,933.312,8572.0,8572.0
2016-02-01,956.674,8786.0,8786.0
2016-03-01,1017.587,9346.0,9346.0
2016-04-01,1021.938,9385.0,9385.0
2016-05-01,1079.999,9918.0,9918.0
2016-06-01,890.674,8180.0,8180.0
2016-07-01,1013.04,9303.0,9303.0
2016-08-01,992.555,9115.0,9115.0
2016-09-01,925.591,8501.0,8501.0
2016-10-01,866.648,7959.0,7959.0
2016-11-01,968.171,8891.0,8891.0
2016-12-01,976.211,8965.0,8965.0
2017-01-01,717.992,6593.0,6593.0
2017-02-01,642.563,5901.0,5901.0
2017-03-01,701.386,6441.0,6441.0
2017-04-01,662.345,6083.0,6083.0
2017-05-01,769.065,7063.0,7063.0
2017-06-01,719.089,6604.0,6604.0
2017-07-01,663.586,6094.0,6094.0
2017-08-01,694.927,6382.0,6382.0
2017-09-01,637.739,5857.0,5857.0
2017-10-01,711.327,6532.0,6532.0
2017-11-01,662.934,6089.0,6089.0
2017-12-01,667.667,6132.0,6132.0
2018-01-01,1127.071,10350.0,10350.0
2018-02-01,1009.578,9272.0,9272.0
2018-03-01,1011.507,9289.0,9289.0
2018-04-01,1048.181,9626.0,9626.0
2018-05-01,1129.333,10372.0,10372.0
2018-06-01,1011.29,9287.0,9287.0
2018-07-01,1069.96,9826.0,9826.0
2018-08-01,1052.275,9663.0,9663.0
2018-09-01,904.399,8306.0,8306.0
2018-10-01,1115.99,10249.0,10249.0
2018-11-01,1081.409,9932.0,9932.0
2018-12-01,1147.647,10540.0,10540.0
2019-01-01,1181.637,10851.0,10851.0
2019-02-01,1063.274,9765.0,9765.0
2019-03-01,1208.205,11096.0,11096.0
2019-04-01,1118.04,10268.0,10268.0
2019-05-01,1185.841,10891.0,10891.0
2019-06-01,1094.973,10057.0,10057.0
2019-07-01,1100.167,10104.0,10104.0
2019-08-01,1071.695,9842.0,9842.0
2019-09-01,1007.269,9251.0,9251.0
2019-10-01,1045.572,9602.0,9602.0
2019-11-01,1029.549,9455.0,9455.0
2019-12-01,1142.398,10492.0,10492.0
2020-01-01,1234.461,11338.0,11338.0
2020-02-01,1144.551,10511.0,10511.0
2020-03-01,1220.252,11206.0,11206.0
2020-04-01,1145.569,10520.0,10520.0
2020-05-01,1126.328,10344.0,10344.0
2020-06-01,1037.215,9526.0,9526.0
2020-07-01,947.1,8698.0,8698.0
2020-08-01,1009.604,9272.0,9272.0
2020-09-01,928.794,8529.0,8529.0
2020-10-01,1099.986,10102.0,10102.0
2020-11-01,1073.245,9856.0,9856.0
2020-12-01,1180.575,10842.0,10842.0
2021-01-01,1303.007,11965.0,11965.0
