measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,481033.0,5099553.0,5099553.0,6.0,66.0,66.0,,,
2003-02-01,0.0,0.0,0.0,412882.0,4446702.0,4446702.0,9630.0,76091.0,76091.0,,,
2003-03-01,0.0,0.0,0.0,334906.0,3561078.0,3561078.0,2146.0,22945.0,22945.0,,,
2003-04-01,0.0,0.0,0.0,464467.0,4869305.0,4869305.0,112.0,1176.0,1176.0,,,
2003-05-01,0.0,0.0,0.0,344459.0,3715430.0,3715430.0,2364.0,25515.0,25515.0,,,
2003-06-01,0.0,0.0,0.0,459252.0,4828388.0,4828388.0,116.0,1217.0,1217.0,,,
2003-07-01,0.0,0.0,0.0,343940.0,3675947.0,3675947.0,1218.0,13024.0,13024.0,,,
2003-08-01,0.0,0.0,0.0,475102.0,5053850.0,5053850.0,158.0,1688.0,1688.0,,,
2003-09-01,0.0,0.0,0.0,461341.0,4895545.0,4895545.0,62.0,664.0,664.0,,,
2003-10-01,0.0,0.0,0.0,83523.0,949658.0,949658.0,1730.0,19745.0,19745.0,,,
2003-11-01,0.0,0.0,0.0,461512.0,4849571.0,4849571.0,367.0,3864.0,3864.0,,,
2003-12-01,0.0,0.0,0.0,428687.0,4542267.0,4542267.0,1116.0,11817.0,11817.0,,,
2004-01-01,0.0,0.0,0.0,478869.0,5044201.0,5044201.0,367.0,3864.0,3864.0,,,
2004-02-01,0.0,0.0,0.0,370121.0,3916253.0,3916253.0,795.0,8414.0,8414.0,,,
2004-03-01,0.0,0.0,0.0,477770.0,5045373.0,5045373.0,117.0,1236.0,1236.0,,,
2004-04-01,0.0,0.0,0.0,373181.0,3959448.0,3959448.0,850.0,9020.0,9020.0,,,
2004-05-01,0.0,0.0,0.0,469965.0,5014409.0,5014409.0,1390.0,14831.0,14831.0,,,
2004-06-01,0.0,0.0,0.0,347076.0,4023013.0,4023013.0,870.0,9338.0,9338.0,,,
2004-07-01,0.0,0.0,0.0,460437.0,4959457.0,4959457.0,475.0,5118.0,5118.0,,,
2004-08-01,0.0,0.0,0.0,452358.0,4852505.0,4852505.0,466.0,5004.0,5004.0,,,
2004-09-01,0.0,0.0,0.0,458460.0,4900732.0,4900732.0,50.0,536.0,536.0,,,
2004-10-01,0.0,0.0,0.0,474015.0,5060835.0,5060835.0,337.0,3593.0,3593.0,,,
2004-11-01,0.0,0.0,0.0,267622.0,2864912.0,2864912.0,2132.0,22823.0,22823.0,,,
