measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2017-05-01,,,,273.667,2521.0,2521.0
2017-06-01,,,,234.067,2156.0,2156.0
2017-07-01,,,,261.209,2407.0,2407.0
2017-08-01,,,,235.819,2173.0,2173.0
2017-09-01,,,,226.46,2086.0,2086.0
2017-10-01,,,,197.196,1817.0,1817.0
2017-11-01,,,,174.178,1605.0,1605.0
2017-12-01,,,,142.404,1312.0,1312.0
2018-01-01,,,,160.182,1458.0,1458.0
2018-02-01,,,,174.384,1588.0,1588.0
2018-03-01,,,,253.087,2304.0,2304.0
2018-04-01,,,,244.795,2229.0,2229.0
2018-05-01,,,,190.632,1736.0,1736.0
2018-06-01,,,,214.21,1950.0,1950.0
2018-07-01,,,,213.375,1943.0,1943.0
2018-08-01,,,,215.417,1961.0,1961.0
2018-09-01,,,,208.204,1895.0,1895.0
2018-10-01,,,,216.556,1972.0,1972.0
2018-11-01,,,,167.476,1525.0,1525.0
2018-12-01,,,,158.682,1445.0,1445.0
2019-01-01,,,,196.099,1746.0,1746.0
2019-02-01,,,,208.192,1854.0,1854.0
2019-03-01,,,,293.15,2611.0,2611.0
2019-04-01,,,,311.039,2770.0,2770.0
2019-05-01,,,,316.057,2814.0,2814.0
2019-06-01,,,,267.541,2382.0,2382.0
2019-07-01,,,,270.252,2407.0,2407.0
2019-08-01,,,,255.248,2273.0,2273.0
2019-09-01,,,,293.432,2613.0,2613.0
2019-10-01,,,,249.553,2222.0,2222.0
2019-11-01,,,,225.57,2009.0,2009.0
2019-12-01,,,,190.867,1700.0,1700.0
2020-01-01,,,,217.314,1905.0,1905.0
2020-02-01,,,,235.255,2062.0,2062.0
2020-03-01,,,,313.567,2749.0,2749.0
2020-04-01,,,,284.128,2491.0,2491.0
2020-05-01,,,,335.197,2939.0,2939.0
2020-06-01,,,,289.36,2537.0,2537.0
2020-07-01,,,,296.677,2601.0,2601.0
2020-08-01,,,,283.081,2482.0,2482.0
2020-09-01,,,,245.145,2149.0,2149.0
2020-10-01,,,,239.243,2097.0,2097.0
2020-11-01,,,,209.296,1835.0,1835.0
2020-12-01,,,,227.737,1997.0,1997.0
2021-01-01,,,,222.793,1970.0,1970.0
2021-02-01,,,,226.124,2000.0,2000.0
2021-03-01,,,,294.975,2609.0,2609.0
2021-04-01,,,,317.098,2804.0,2804.0
2021-05-01,,,,355.101,3141.0,3141.0
2021-06-01,,,,262.212,2319.0,2319.0
2021-07-01,,,,279.58,2473.0,2473.0
2021-08-01,,,,265.934,2352.0,2352.0
2021-09-01,,,,260.072,2300.0,2300.0
2021-10-01,,,,263.404,2330.0,2330.0
2021-11-01,,,,218.638,1934.0,1934.0
2021-12-01,,,,207.069,1831.0,1831.0
2022-01-01,0.0,6.0,6.0,261.712,893.0,893.0
2022-02-01,0.0,6.0,6.0,280.312,956.0,956.0
2022-03-01,0.0,57.0,57.0,361.892,1235.0,1235.0
2022-04-01,0.0,11.0,11.0,382.301,1304.0,1304.0
2022-05-01,0.0,6.0,6.0,410.998,1402.0,1402.0
2022-06-01,0.0,6.0,6.0,370.468,1264.0,1264.0
2022-07-01,0.0,6.0,6.0,372.429,1271.0,1271.0
2022-08-01,0.0,11.0,11.0,346.665,1183.0,1183.0
2022-09-01,0.0,11.0,11.0,291.324,994.0,994.0
2022-10-01,0.0,6.0,6.0,320.964,1095.0,1095.0
2022-11-01,0.0,11.0,11.0,225.419,769.0,769.0
2022-12-01,0.0,28.0,28.0,235.516,804.0,804.0
2023-01-01,1.421,11.0,11.0,212.0,723.0,723.0
2023-02-01,1.314,11.0,11.0,216.0,737.0,737.0
2023-03-01,1.442,17.0,17.0,290.0,989.0,989.0
2023-04-01,1.883,17.0,17.0,257.0,877.0,877.0
2023-05-01,1.999,23.0,23.0,300.0,1024.0,1024.0
2023-06-01,1.472,17.0,17.0,289.0,986.0,986.0
2023-07-01,1.584,17.0,17.0,296.0,1010.0,1010.0
2023-08-01,2.536,28.0,28.0,247.0,843.0,843.0
2023-09-01,1.072,11.0,11.0,253.0,863.0,863.0
2023-10-01,1.214,11.0,11.0,248.0,846.0,846.0
2023-11-01,1.105,11.0,11.0,172.0,587.0,587.0
2023-12-01,0.958,11.0,11.0,171.0,583.0,583.0
2024-01-01,4.351,58.0,58.0,189.0,645.0,645.0
2024-02-01,3.807,53.0,53.0,243.0,829.0,829.0
2024-03-01,3.521,47.0,47.0,279.0,952.0,952.0
2024-04-01,23.575,321.0,321.0,339.0,1157.0,1157.0
2024-05-01,6.18,82.0,82.0,340.0,1160.0,1160.0
2024-06-01,2.761,35.0,35.0,302.0,1030.0,1030.0
2024-07-01,2.943,41.0,41.0,309.0,1054.0,1054.0
2024-08-01,5.204,70.0,70.0,276.0,942.0,942.0
2024-09-01,4.137,58.0,58.0,239.0,815.0,815.0
2024-10-01,3.189,41.0,41.0,222.0,757.0,757.0
2024-11-01,2.44,35.0,35.0,189.0,645.0,645.0
2024-12-01,2.892,41.0,41.0,180.0,614.0,614.0
