measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,418768.0,5212584.0,5212584.0,2276.0,29168.0,29168.0,,,,0.0,0.0,0.0
2003-02-01,258015.0,3042912.0,3042912.0,2277.0,27649.0,27649.0,,,,0.0,0.0,0.0
2003-03-01,311246.0,3655848.0,3655848.0,2343.0,28333.0,28333.0,,,,0.0,0.0,0.0
2003-04-01,191043.0,2289360.0,2289360.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-05-01,271043.0,3333360.0,3333360.0,2759.0,34933.0,34933.0,,,,0.0,0.0,0.0
2003-06-01,192671.0,2391096.0,2391096.0,1578.0,20161.0,20161.0,,,,0.0,0.0,0.0
2003-07-01,246811.0,3129576.0,3129576.0,1871.0,24435.0,24435.0,,,,0.0,0.0,0.0
2003-08-01,264209.0,3426144.0,3426144.0,1251.0,16698.0,16698.0,,,,0.0,0.0,0.0
2003-09-01,278882.0,3305784.0,3305784.0,1227.0,14981.0,14981.0,,,,0.0,0.0,0.0
2003-10-01,45679.0,611424.0,611424.0,330.0,4547.0,4547.0,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
