measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed
2001-01-01,-117.0,0.0,0.0
2001-02-01,-77.0,0.0,0.0
2001-03-01,-84.0,0.0,0.0
2001-04-01,-190.0,0.0,0.0
2001-05-01,-190.0,0.0,0.0
2001-06-01,-45.0,0.0,0.0
2001-07-01,-25.0,0.0,0.0
2001-08-01,0.0,0.0,0.0
2001-09-01,-58.0,0.0,0.0
2001-10-01,-1110.0,0.0,0.0
2001-11-01,-101.0,0.0,0.0
2001-12-01,-110.0,0.0,0.0
2002-01-01,-202.0,0.0,0.0
2002-02-01,-19.0,0.0,0.0
2002-03-01,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0
2002-05-01,-75.0,0.0,0.0
2002-06-01,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0
