measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,291.0,3586.0,3586.0
2003-02-01,,,,50.0,1116.0,1116.0
2003-03-01,,,,-54.0,0.0,0.0
2003-04-01,,,,-67.0,0.0,0.0
2003-05-01,,,,622.0,6573.0,6573.0
2003-06-01,,,,466.0,5109.0,5109.0
2003-07-01,,,,6305.0,58937.0,58937.0
2003-08-01,,,,5023.0,47189.0,47189.0
2003-09-01,,,,2560.0,24335.0,24335.0
2003-10-01,,,,-23.0,0.0,0.0
2003-11-01,,,,155.0,2279.0,2279.0
2003-12-01,,,,-91.0,0.0,0.0
2004-01-01,1437.703,15519.0,15519.0,0.0,0.0,0.0
2004-02-01,899.655,9711.0,9711.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,766.84,8278.0,8278.0,0.0,0.0,0.0
2004-05-01,1191.461,12861.0,12861.0,0.0,0.0,0.0
2004-06-01,8.725,94.0,94.0,0.0,0.0,0.0
2004-07-01,6125.991,66128.0,66128.0,0.0,0.0,0.0
2004-08-01,3467.744,37433.0,37433.0,0.0,0.0,0.0
2004-09-01,526.415,5682.0,5682.0,0.0,0.0,0.0
2004-10-01,348.035,3757.0,3757.0,0.0,0.0,0.0
2004-11-01,369.363,3987.0,3987.0,0.0,0.0,0.0
2004-12-01,696.0690000000001,7514.0,7514.0,0.0,0.0,0.0
2005-01-01,,,,957.2090000000001,9370.23,9370.23
2005-02-01,,,,765.774,7496.25,7496.25
2005-03-01,,,,1062.653,10402.43,10402.43
2005-04-01,,,,1008.73,9874.57,9874.57
2005-05-01,,,,964.586,9442.44,9442.44
2005-06-01,,,,1820.862,17824.62,17824.62
2005-07-01,,,,2397.078,23465.28,23465.28
2005-08-01,,,,2381.2580000000003,23310.41,23310.41
2005-09-01,,,,1441.699,14112.96,14112.96
2005-10-01,,,,1022.25,10006.93,10006.93
2005-11-01,,,,895.921,8770.27,8770.27
2005-12-01,,,,1119.98,10963.61,10963.61
2006-01-01,,,,764.373,7498.0,7498.0
2006-02-01,,,,864.053,8475.0,8475.0
2006-03-01,,,,1138.615,11168.0,11168.0
2006-04-01,,,,942.244,9242.0,9242.0
2006-05-01,,,,1241.1760000000002,12174.0,12174.0
2006-06-01,,,,1598.776,15682.0,15682.0
2006-07-01,,,,2860.956,28063.0,28063.0
2006-08-01,,,,2542.212,24936.0,24936.0
2006-09-01,,,,1495.381,14668.0,14668.0
2006-10-01,,,,1619.794,15888.0,15888.0
2006-11-01,,,,1088.9740000000002,10682.0,10682.0
2006-12-01,,,,1105.4460000000001,10843.0,10843.0
2007-01-01,,,,1785.901,17280.0,17280.0
2007-02-01,,,,1347.083,13035.0,13035.0
2007-03-01,,,,579.702,5609.0,5609.0
2007-04-01,,,,252.116,2440.0,2440.0
2007-05-01,,,,396.939,3840.0,3840.0
2007-06-01,,,,537.688,5203.0,5203.0
2007-07-01,,,,2755.513,26662.0,26662.0
