measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2011-01-01,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0
2011-12-01,173.0,1614.0,1614.0
2012-01-01,1893.459,19932.0,19932.0
2012-02-01,1811.475,19070.0,19070.0
2012-03-01,1925.806,20273.0,20273.0
2012-04-01,1891.976,19917.0,19917.0
2012-05-01,1962.138,20656.0,20656.0
2012-06-01,1905.112,20055.0,20055.0
2012-07-01,1994.289,20994.0,20994.0
2012-08-01,1977.131,20813.0,20813.0
2012-09-01,1886.085,19855.0,19855.0
2012-10-01,1960.425,20637.0,20637.0
2012-11-01,1967.053,20707.0,20707.0
2012-12-01,2035.051,21423.0,21423.0
2013-01-01,2211.374,24398.0,24398.0
2013-02-01,1962.339,21651.0,21651.0
2013-03-01,2275.417,25105.0,25105.0
2013-04-01,2181.841,24073.0,24073.0
2013-05-01,2276.082,25112.0,25112.0
2013-06-01,2228.039,24582.0,24582.0
2013-07-01,2331.029,25719.0,25719.0
2013-08-01,2335.806,25772.0,25772.0
2013-09-01,2201.988,24295.0,24295.0
2013-10-01,2318.476,25580.0,25580.0
2013-11-01,2349.496,25923.0,25923.0
2013-12-01,2446.113,26988.0,26988.0
2014-01-01,2362.172,24836.0,24836.0
2014-02-01,2021.658,21256.0,21256.0
2014-03-01,2342.766,24632.0,24632.0
2014-04-01,2268.796,23855.0,23855.0
2014-05-01,2346.01,24667.0,24667.0
2014-06-01,2300.173,24184.0,24184.0
2014-07-01,2356.09,24772.0,24772.0
2014-08-01,2329.281,24491.0,24491.0
2014-09-01,2199.54,23126.0,23126.0
2014-10-01,2260.472,23767.0,23767.0
2014-11-01,2219.134,23332.0,23332.0
2014-12-01,2298.908,24171.0,24171.0
2015-01-01,2112.11,24022.0,24765.0
2015-02-01,1832.933,20847.0,21491.0
2015-03-01,2026.442,23047.0,23760.0
2015-04-01,2020.104,22975.0,23686.0
2015-05-01,2085.539,23720.0,24454.0
2015-06-01,2088.35,23752.0,24487.0
2015-07-01,2311.554,26290.0,27103.0
2015-08-01,2284.124,25978.0,26782.0
2015-09-01,2113.563,24038.0,24782.0
2015-10-01,2194.352,24957.0,25729.0
2015-11-01,2209.935,25134.0,25912.0
2015-12-01,2297.994,26136.0,26945.0
2016-01-01,2160.613,13404.0,23777.0
2016-02-01,2027.219,12576.0,22309.0
2016-03-01,2138.198,13265.0,23530.0
2016-04-01,2131.228,13221.0,23453.0
2016-05-01,2224.208,13798.0,24477.0
2016-06-01,2101.067,13034.0,23122.0
2016-07-01,2179.088,13518.0,23980.0
2016-08-01,2205.936,13685.0,24276.0
2016-09-01,2077.821,12890.0,22866.0
2016-10-01,2034.799,12623.0,22393.0
2016-11-01,2155.981,13375.0,23726.0
2016-12-01,2258.842,14013.0,24858.0
2017-01-01,1859.517,14243.0,25908.0
2017-02-01,1699.689,13019.0,23681.0
2017-03-01,1835.211,14057.0,25569.0
2017-04-01,1715.649,13141.0,23903.0
2017-05-01,1805.827,13831.0,25159.0
2017-06-01,1775.52,13599.0,24737.0
2017-07-01,1820.143,13941.0,25359.0
2017-08-01,1828.628,14006.0,25477.0
2017-09-01,1691.855,12959.0,23571.0
2017-10-01,1731.935,13266.0,24130.0
2017-11-01,1803.583,13814.0,25128.0
2017-12-01,1876.443,14372.0,26143.0
2018-01-01,1875.814,13529.0,23663.0
2018-02-01,1765.583,12734.0,22273.0
2018-03-01,1905.577,13744.0,24039.0
2018-04-01,1780.387,12841.0,22460.0
2018-05-01,1791.172,12919.0,22596.0
2018-06-01,1814.152,13085.0,22886.0
2018-07-01,1866.742,13464.0,23549.0
2018-08-01,1874.271,13518.0,23645.0
2018-09-01,1694.991,12225.0,21383.0
2018-10-01,1853.458,13368.0,23382.0
2018-11-01,1840.928,13278.0,23224.0
2018-12-01,1925.925,13891.0,24296.0
2019-01-01,1348.28,10232.0,17897.0
2019-02-01,1214.083,9214.0,16115.0
2019-03-01,1304.966,9903.0,17322.0
2019-04-01,1230.809,9340.0,16337.0
2019-05-01,1272.645,9658.0,16892.0
2019-06-01,1283.868,9743.0,17041.0
2019-07-01,1322.419,10036.0,17553.0
2019-08-01,1342.124,10185.0,17815.0
2019-09-01,1259.268,9556.0,16715.0
2019-10-01,1293.19,9814.0,17165.0
2019-11-01,1271.945,9653.0,16883.0
2019-12-01,1351.403,10256.0,17938.0
