measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,30171.0,178776.0,299118.0,5450.0,0.0,0.0,,,
2003-02-01,25360.0,171838.0,247964.0,4275.0,0.0,0.0,,,
2003-03-01,18066.0,114079.0,176208.0,2831.0,0.0,0.0,,,
2003-04-01,30195.0,178360.0,300686.0,3927.0,0.0,0.0,,,
2003-05-01,22820.0,175210.0,182242.0,3380.0,0.0,0.0,,,
2003-06-01,25228.0,213702.0,223400.0,4165.0,0.0,0.0,,,
2003-07-01,28528.0,274320.0,285985.0,6120.0,0.0,0.0,,,
2003-08-01,31070.0,201818.0,211033.0,5561.0,0.0,0.0,,,
2003-09-01,29849.0,289550.0,295307.0,5484.0,0.0,0.0,,,
2003-10-01,28839.0,182061.0,272163.0,4472.0,0.0,0.0,,,
2003-11-01,30771.0,299014.0,299014.0,4776.0,0.0,0.0,,,
2003-12-01,28809.0,283333.0,292674.0,4385.0,0.0,0.0,,,
2004-01-01,21408.939,139765.87,207842.41,2913.9570000000003,9258.35,9258.35,,,
2004-02-01,21585.028,140414.99,209551.92,2768.261,8795.45,8795.45,,,
2004-03-01,21130.698,138178.95,205141.19,2953.909,9385.29,9385.29,,,
2004-04-01,21460.764,140380.01,208345.54,3014.516,9577.86,9577.86,,,
2004-05-01,18594.578,122195.52,180520.01,2803.094,8906.12,8906.12,,,
2004-06-01,20300.141,132396.71,197077.97,2718.8,8638.3,8638.3,,,
2004-07-01,28678.646,187766.1,278418.23,4086.7630000000004,12984.65,12984.65,,,
2004-08-01,29582.134,193671.56,287189.48,4212.156,13383.05,13383.05,,,
2004-09-01,27400.81,179206.7,266012.74,3839.206,12198.1,12198.1,,,
2004-10-01,26148.032,171110.45,253850.51,3696.616,11745.05,11745.05,,,
2004-11-01,24657.689,161128.91,239381.94,3408.329,10829.1,10829.1,,,
2004-12-01,26886.462,175812.69,261019.34,3756.942,11936.73,11936.73,,,
2005-01-01,15974.841,112333.37,168257.7,2359.58,0.0,0.0,,,
2005-02-01,14418.96,101392.58,151870.13,2129.7670000000003,0.0,0.0,,,
2005-03-01,15560.979,109423.13,163898.63,2298.45,0.0,0.0,,,
2005-04-01,15635.714,109948.67,164685.8,2309.489,0.0,0.0,,,
2005-05-01,17172.797,120757.27,180875.38,2536.5260000000003,0.0,0.0,,,
2005-06-01,22057.458,155105.68,232323.9,3258.0190000000002,0.0,0.0,,,
2005-07-01,28244.986,198615.71,297495.09,4171.954000000001,0.0,0.0,,,
2005-08-01,29270.796000000002,205829.1,308299.59,4323.473,0.0,0.0,,,
2005-09-01,22076.428,155239.08,232523.71,3260.8210000000004,0.0,0.0,,,
2005-10-01,17135.574,120495.52,180483.32,2531.027,0.0,0.0,,,
2005-11-01,15289.023000000001,107510.77,161034.22,2258.281,0.0,0.0,,,
2005-12-01,17444.324,122666.62,183735.29,2576.632,0.0,0.0,,,
2006-01-01,18173.266,137187.74,182816.93,4217.745,0.0,0.0,,,
2006-02-01,16022.908,120954.95,161185.05,3718.679,0.0,0.0,,,
2006-03-01,17747.538,133973.97,178534.25,4118.94,0.0,0.0,,,
2006-04-01,16909.888,127650.65,170107.77,3924.534,0.0,0.0,,,
2006-05-01,19709.869,148787.36,198274.63,4574.368,0.0,0.0,,,
2006-06-01,20891.51,157707.43,210161.55,4848.609,0.0,0.0,,,
2006-07-01,23522.919,177571.6,236632.63,5459.32,0.0,0.0,,,
2006-08-01,24300.607,183442.27,244455.91,5639.81,0.0,0.0,,,
2006-09-01,19786.442000000003,149365.4,199044.93,4592.139,0.0,0.0,,,
2006-10-01,20741.876,156577.85,208656.28,4813.881,0.0,0.0,,,
2006-11-01,17521.001,132263.86,176255.36,4066.364,0.0,0.0,,,
2006-12-01,19647.885000000002,148319.46,197651.1,4559.982,0.0,0.0,,,
2007-01-01,17929.346,123161.0,161276.0,1975.0,0.0,0.0,,,
2007-02-01,17813.911,122368.0,160237.0,2034.0,0.0,0.0,,,
2007-03-01,25713.368000000002,176632.0,231294.0,2923.0,0.0,0.0,,,
2007-04-01,9792.471000000001,67267.0,88084.0,959.0,0.0,0.0,,,
2007-05-01,24141.207000000002,165832.0,217152.0,2607.0,0.0,0.0,,,
2007-06-01,30263.085,179857.0,272219.0,3446.0,28028.0,29648.0,,,
2007-07-01,34626.713,212327.0,311470.0,3996.0,25532.0,25532.0,,,
2007-08-01,33426.734,201870.0,300676.0,3775.0,27746.0,27746.0,,,
2007-09-01,15452.396,106146.0,138995.0,1570.0,0.0,0.0,,,
2007-10-01,19013.89,130611.0,171031.0,2035.0,0.0,0.0,,,
2007-11-01,14091.99,96801.0,126759.0,1470.0,0.0,0.0,,,
