measured_on,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,-25.0,0.0,0.0
2003-02-01,,,,-37.0,0.0,0.0
2003-03-01,,,,-220.0,0.0,0.0
2003-04-01,,,,-12.0,0.0,0.0
2003-05-01,,,,-14.0,0.0,0.0
2003-06-01,,,,-16.0,0.0,0.0
2003-07-01,,,,-23.0,0.0,0.0
2003-08-01,,,,73.0,1873.0,1873.0
2003-09-01,,,,-13.0,0.0,0.0
2003-10-01,,,,-12.0,0.0,0.0
2003-11-01,,,,-12.0,0.0,0.0
2003-12-01,,,,-32.0,0.0,0.0
2004-01-01,,,,-10.356,1.0,1.0
2004-02-01,,,,-4.665,1.0,1.0
2004-03-01,,,,-7.267,1.0,1.0
2004-04-01,,,,-6.27,1.0,1.0
2004-05-01,,,,-32.07,4.0,4.0
2004-06-01,,,,-22.943,3.0,3.0
2004-07-01,,,,-43.98,5.0,5.0
2004-08-01,,,,-31.56,4.0,4.0
2004-09-01,,,,-16.242,2.0,2.0
2004-10-01,,,,-9.027000000000001,1.0,1.0
2004-11-01,,,,-7.402,1.0,1.0
2004-12-01,,,,-10.217,1.0,1.0
2005-01-01,0.0,0.0,0.0,-14.505,14.63,14.63
2005-02-01,0.0,0.0,0.0,-11.604000000000001,11.7,11.7
2005-03-01,0.0,0.0,0.0,-16.103,16.24,16.24
2005-04-01,0.0,0.0,0.0,-15.286000000000001,15.41,15.41
2005-05-01,0.0,0.0,0.0,-14.617,14.74,14.74
2005-06-01,0.0,0.0,0.0,-27.592000000000002,27.82,27.82
2005-07-01,0.0,0.0,0.0,-36.324000000000005,36.63,36.63
2005-08-01,0.0,0.0,0.0,-36.084,36.39,36.39
2005-09-01,0.0,0.0,0.0,-21.847,22.03,22.03
2005-10-01,0.0,0.0,0.0,-15.491000000000001,15.62,15.62
2005-11-01,0.0,0.0,0.0,-13.576,13.69,13.69
2005-12-01,0.0,0.0,0.0,-16.972,17.11,17.11
2006-01-01,0.0,0.0,0.0,-10.539,0.0,0.0
2006-02-01,0.0,0.0,0.0,-11.913,0.0,0.0
2006-03-01,0.0,0.0,0.0,-15.699000000000002,0.0,0.0
2006-04-01,0.0,0.0,0.0,-12.991000000000001,0.0,0.0
2006-05-01,0.0,0.0,0.0,-17.113,0.0,0.0
2006-06-01,0.0,0.0,0.0,-22.043000000000003,0.0,0.0
2006-07-01,0.0,0.0,0.0,-39.445,0.0,0.0
2006-08-01,0.0,0.0,0.0,-35.051,0.0,0.0
2006-09-01,0.0,0.0,0.0,-20.618000000000002,0.0,0.0
2006-10-01,0.0,0.0,0.0,-22.333000000000002,0.0,0.0
2006-11-01,0.0,0.0,0.0,-15.014000000000001,0.0,0.0
2006-12-01,0.0,0.0,0.0,-15.241000000000001,0.0,0.0
2007-01-01,0.0,0.0,0.0,-10.299000000000001,11.0,11.0
2007-02-01,0.0,0.0,0.0,-15.985,17.0,17.0
2007-03-01,0.0,0.0,0.0,-4.258,4.0,4.0
2007-04-01,0.0,0.0,0.0,-7.813000000000001,8.0,8.0
2007-05-01,0.0,0.0,0.0,-18.734,19.0,19.0
2007-06-01,0.0,0.0,0.0,-24.905,26.0,26.0
2007-07-01,0.0,0.0,0.0,-36.83,38.0,38.0
2007-08-01,0.0,0.0,0.0,-56.214000000000006,58.0,58.0
2007-09-01,0.0,0.0,0.0,-24.341,25.0,25.0
2007-10-01,0.0,0.0,0.0,-20.279,21.0,21.0
2007-11-01,0.0,0.0,0.0,-17.071,18.0,18.0
2007-12-01,0.0,0.0,0.0,-18.271,19.0,19.0
2008-01-01,0.0,0.0,0.0,-18.525000000000002,0.0,0.0
2008-02-01,0.0,0.0,0.0,-9.942,0.0,0.0
2008-03-01,0.0,0.0,0.0,-12.518,0.0,0.0
2008-04-01,0.0,0.0,0.0,-7.523000000000001,0.0,0.0
2008-05-01,0.0,0.0,0.0,-4.893,0.0,0.0
2008-06-01,0.0,0.0,0.0,-14.746,0.0,0.0
2008-07-01,0.0,0.0,0.0,-23.688000000000002,0.0,0.0
2008-08-01,0.0,0.0,0.0,-21.255000000000003,0.0,0.0
2008-09-01,0.0,0.0,0.0,-10.474,0.0,0.0
2008-10-01,0.0,0.0,0.0,-22.715,0.0,0.0
2008-11-01,0.0,0.0,0.0,-19.424,0.0,0.0
2008-12-01,0.0,0.0,0.0,-16.297,0.0,0.0
2009-01-01,0.0,0.0,0.0,-25.119,0.0,0.0
2009-02-01,0.0,0.0,0.0,-21.685,0.0,0.0
2009-03-01,0.0,0.0,0.0,-11.957,0.0,0.0
2009-04-01,0.0,0.0,0.0,-6.814,0.0,0.0
2009-05-01,0.0,0.0,0.0,-3.535,0.0,0.0
2009-06-01,0.0,0.0,0.0,-27.518,0.0,0.0
2009-07-01,0.0,0.0,0.0,-27.976000000000003,0.0,0.0
2009-08-01,0.0,0.0,0.0,-29.457,0.0,0.0
2009-09-01,0.0,0.0,0.0,-10.321,0.0,0.0
2009-10-01,0.0,0.0,0.0,-7.039000000000001,0.0,0.0
2009-11-01,0.0,0.0,0.0,-4.71,0.0,0.0
2009-12-01,0.0,0.0,0.0,-13.869000000000002,0.0,0.0
