measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed
2001-01-01,20399.0,201600.0,268800.0
2001-02-01,18316.0,207263.0,276350.0
2001-03-01,21297.0,230100.0,306800.0
2001-04-01,18899.0,199444.0,265925.0
2001-05-01,10438.0,136388.0,181850.0
2001-06-01,16633.0,171206.0,228275.0
2001-07-01,13275.0,144581.0,192775.0
2001-08-01,18053.0,196219.0,261625.0
2001-09-01,14651.0,171656.0,228875.0
2001-10-01,17475.0,221738.0,295650.0
2001-11-01,14247.0,195375.0,260500.0
2001-12-01,10333.0,176663.0,235550.0
2002-01-01,9578.0,106770.0,301000.0
2002-02-01,6028.0,67197.0,222500.0
2002-03-01,6925.0,77196.0,245825.0
2002-04-01,5413.0,60341.0,161700.0
2002-05-01,2473.0,27568.0,64948.0
2002-06-01,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0
