measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,144963.0,1417420.0,1461693.0,301.0,2946.0,3039.0
2003-02-01,111881.0,1150869.0,1187933.0,1011.0,10395.0,10730.0
2003-03-01,132900.478,1302453.0,1341498.0,286.899,2812.0,2896.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,33474.0,325341.0,334027.0,1693.0,16456.0,16895.0
2003-06-01,112930.243,1136105.0,1165466.0,553.306,5566.0,5710.0
2003-07-01,143989.0,1435194.0,1466949.0,346.0,3449.0,3526.0
2003-08-01,135073.0,1384296.0,1415245.0,373.0,3820.0,3905.0
2003-09-01,113476.0,1153229.0,1176731.0,563.0,5725.0,5841.0
2003-10-01,110306.0,1154780.0,1189014.0,504.0,5272.0,5428.0
2003-11-01,107203.0,994824.0,1020246.0,646.0,5993.0,6147.0
2003-12-01,122103.0,1237371.0,1273700.0,655.0,6637.0,6832.0
2004-01-01,124735.63178,1210686.26,1357223.05,491.22321999999997,4767.82,5344.9
2004-02-01,124334.7818,1206795.6,1312867.5,520.4092,5051.1,5495.07
2004-03-01,132140.51239,1282558.16,1377780.39,939.74361,9121.17,9798.36
2004-04-01,75789.67648,735615.94,828660.31,138.94952,1348.65,1519.23
2004-05-01,122824.86273,1192140.29,1343452.37,773.74727,7510.0,8463.21
2004-06-01,125923.58858,1222216.58,1357123.53,369.82442000000003,3589.52,3985.73
