measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,14731.192,73116.0,162091.0,3513.576,0.0,0.0,,,
2003-02-01,11902.245,59075.0,130963.0,2838.8360000000002,0.0,0.0,,,
2003-03-01,12469.047,61888.0,137200.0,2974.0260000000003,0.0,0.0,,,
2003-04-01,11975.439,59438.0,131768.0,2856.2940000000003,0.0,0.0,,,
2003-05-01,14587.298999999999,72402.0,160507.0,3479.2560000000003,0.0,0.0,,,
2003-06-01,14597.699,72454.0,160622.0,3481.7360000000003,0.0,0.0,,,
2003-07-01,15906.598,78950.0,175024.0,3793.925,0.0,0.0,,,
2003-08-01,16499.41,81892.0,181547.0,3935.318,0.0,0.0,,,
2003-09-01,13764.082,68316.0,151449.0,3282.9080000000004,0.0,0.0,,,
2003-10-01,12996.305,64505.0,143001.0,3099.7830000000004,0.0,0.0,,,
2003-11-01,11684.69,57995.0,128569.0,2786.947,0.0,0.0,,,
2003-12-01,13501.992,67015.0,148565.0,3220.396,0.0,0.0,,,
2004-01-01,448.654,5206.83,5701.67,,,,21.259,213.0,213.0
2004-02-01,394.62300000000005,4579.78,5015.03,,,,21.259,213.0,213.0
2004-03-01,369.022,4282.66,4689.67,,,,21.259,213.0,213.0
2004-04-01,429.455,4984.02,5457.68,,,,21.259,213.0,213.0
2004-05-01,428.455,4972.41,5444.97,,,,21.259,213.0,213.0
2004-06-01,434.545,5043.08,5522.37,,,,21.259,213.0,213.0
2004-07-01,413.814,4802.49,5258.91,,,,21.259,213.0,213.0
2004-08-01,437.869,5081.66,5564.61,,,,21.259,213.0,213.0
2004-09-01,427.927,4966.28,5438.26,,,,21.259,213.0,213.0
2004-10-01,447.694,5195.69,5689.47,,,,21.259,213.0,213.0
2004-11-01,412.171,4783.43,5238.03,,,,21.259,213.0,213.0
2004-12-01,412.57,4788.06,5243.1,,,,21.259,213.0,213.0
2005-01-01,84.866,984.91,1061.14,,,,25.506,255.0,255.0
2005-02-01,76.6,888.99,957.79,,,,25.578000000000003,256.0,256.0
2005-03-01,82.667,959.39,1033.65,,,,31.17,312.0,312.0
2005-04-01,83.06400000000001,964.0,1038.61,,,,28.331000000000003,283.0,283.0
2005-05-01,91.23,1058.77,1140.71,,,,29.966,300.0,300.0
2005-06-01,117.18,1359.92,1465.19,,,,28.703000000000003,287.0,287.0
2005-07-01,150.05100000000002,1741.41,1876.2,,,,33.962,340.0,340.0
2005-08-01,155.5,1804.65,1944.33,,,,32.808,328.0,328.0
