measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,6274.0,64252.03,64252.03
2003-02-01,5554.0,56878.51,56878.51
2003-03-01,4879.0,49965.84,49965.84
2003-04-01,2640.0,27036.24,27036.24
2003-05-01,4802.0,49177.28,49177.28
2003-06-01,4302.0,44056.78,44056.78
2003-07-01,0.0,0.0,0.0
2003-08-01,9149.0,93694.91,93694.91
2003-09-01,3443.0,35259.76,35259.76
2003-10-01,2466.0,25254.31,25254.31
2003-11-01,2970.0,30415.77,30415.77
2003-12-01,3739.0,38291.1,38291.1
2004-01-01,5122.156,51334.25,51334.25
2004-02-01,1957.7030000000002,19620.1,19620.1
2004-03-01,8117.468000000001,81353.26,81353.26
2004-04-01,7242.484,72584.17,72584.17
2004-05-01,9208.911,92291.71,92291.71
2004-06-01,3299.5550000000003,33068.14,33068.14
2004-07-01,5537.055,55492.37,55492.37
2004-08-01,3873.2230000000004,38817.44,38817.44
2004-09-01,1904.2830000000001,19084.72,19084.72
2004-10-01,765.215,7668.98,7668.98
2004-11-01,5925.186000000001,59382.21,59382.21
2004-12-01,10082.76,101049.42,101049.42
2005-01-01,6574.794,65741.37,65741.37
2005-02-01,5684.549,56839.81,56839.81
2005-03-01,6227.186000000001,62265.64,62265.64
2005-04-01,5948.237,59476.42,59476.42
2005-05-01,5380.7080000000005,53801.7,53801.7
2005-06-01,6060.86,60602.54,60602.54
2005-07-01,6505.584000000001,65049.33,65049.33
2005-08-01,5504.5380000000005,55039.88,55039.88
2005-09-01,4554.701,45542.45,45542.45
2005-10-01,3887.364,38869.75,38869.75
2005-11-01,4160.252,41598.36,41598.36
2005-12-01,5092.227,50917.18,50917.18
2006-01-01,2178.55,21609.0,21609.0
2006-02-01,1964.4080000000001,19485.0,19485.0
2006-03-01,1730.671,17167.0,17167.0
2006-04-01,1883.779,18685.0,18685.0
2006-05-01,2227.254,22092.0,22092.0
2006-06-01,2188.422,21707.0,21707.0
2006-07-01,2294.86,22763.0,22763.0
2006-08-01,2278.2760000000003,22598.0,22598.0
2006-09-01,1478.871,14669.0,14669.0
2006-10-01,1303.729,12932.0,12932.0
2006-11-01,1527.0980000000002,15147.0,15147.0
2006-12-01,1617.0810000000001,16040.0,16040.0
2007-01-01,5959.139,58900.0,58900.0
2007-02-01,7486.79,73999.0,73999.0
2007-03-01,3480.8210000000004,34404.0,34404.0
2007-04-01,6934.6990000000005,68543.0,68543.0
2007-05-01,9917.313,98023.0,98023.0
2007-06-01,11550.616,114166.0,114166.0
2007-07-01,12663.8,125169.0,125169.0
2007-08-01,7570.927000000001,74831.0,74831.0
2007-09-01,2058.491,20346.0,20346.0
2007-10-01,1407.037,13907.0,13907.0
2007-11-01,670.585,6628.0,6628.0
2007-12-01,1659.7810000000002,16405.0,16405.0
2008-01-01,1011.743,9970.0,9970.0
2008-02-01,1704.198,16793.0,16793.0
2008-03-01,4244.81,41828.0,41828.0
2008-04-01,4487.719,44222.0,44222.0
2008-05-01,3982.05,39239.0,39239.0
2008-06-01,3829.357,37734.0,37734.0
2008-07-01,4724.900000000001,46559.0,46559.0
2008-08-01,1904.1280000000002,18763.0,18763.0
2008-09-01,3312.538,32642.0,32642.0
2008-10-01,1679.279,16548.0,16548.0
2008-11-01,1000.475,9859.0,9859.0
2008-12-01,736.803,7260.0,7260.0
2009-01-01,4138.74,40394.0,40394.0
2009-02-01,4267.124,41647.0,41647.0
2009-03-01,4047.2050000000004,39501.0,39501.0
2009-04-01,10523.421,102709.0,102709.0
2009-05-01,12529.192,122285.0,122285.0
2009-06-01,8056.987,78636.0,78636.0
2009-07-01,3628.105,35410.0,35410.0
2009-08-01,2271.567,22170.0,22170.0
2009-09-01,2492.7180000000003,24329.0,24329.0
2009-10-01,10716.086,104589.0,104589.0
2009-11-01,9707.323,94743.0,94743.0
2009-12-01,4355.532,42510.0,42510.0
2010-01-01,9821.203000000001,95816.0,95816.0
2010-02-01,11198.347,109251.0,109251.0
2010-03-01,9935.745,96933.0,96933.0
2010-04-01,9820.592,95810.0,95810.0
2010-05-01,13104.334,127846.0,127846.0
2010-06-01,7966.049,77717.0,77717.0
2010-07-01,9011.708,87918.0,87918.0
2010-08-01,3923.4030000000002,38277.0,38277.0
2010-09-01,5638.687,55011.0,55011.0
2010-10-01,2387.349,23291.0,23291.0
2010-11-01,2115.118,20635.0,20635.0
2010-12-01,3181.465,31038.0,31038.0
2011-01-01,2756.625,26783.0,26783.0
2011-02-01,2747.242,26692.0,26692.0
2011-03-01,7859.803,76366.0,76366.0
2011-04-01,4705.777,45721.0,45721.0
2011-05-01,10336.848,100433.0,100433.0
2011-06-01,8291.895,80564.0,80564.0
2011-07-01,3724.352,36186.0,36186.0
2011-08-01,1399.106,13594.0,13594.0
2011-09-01,1430.507,13899.0,13899.0
2011-10-01,954.65,9275.0,9275.0
2011-11-01,1427.393,13869.0,13869.0
2011-12-01,3273.802,31808.0,31808.0
2012-01-01,5044.351,48002.0,48002.0
2012-02-01,6312.449,60069.0,60069.0
2012-03-01,13133.209,124976.0,124976.0
2012-04-01,13300.83,126571.0,126571.0
2012-05-01,8950.718,85175.0,85175.0
2012-06-01,2159.875,20553.0,20553.0
2012-07-01,2204.883,20982.0,20982.0
2012-08-01,1510.019,14369.0,14369.0
2012-09-01,1305.873,12427.0,12427.0
2012-10-01,1024.034,9745.0,9745.0
2012-11-01,1474.655,14033.0,14033.0
2012-12-01,1298.104,12353.0,12353.0
2013-01-01,703.687,6714.0,6714.0
2013-02-01,1182.873,11286.0,11286.0
2013-03-01,5160.791,49239.0,49239.0
2013-04-01,9389.107,89581.0,89581.0
2013-05-01,10947.947,104454.0,104454.0
2013-06-01,10163.972,96974.0,96974.0
2013-07-01,3370.143,32155.0,32155.0
2013-08-01,8639.027,82425.0,82425.0
2013-09-01,1336.83,12755.0,12755.0
2013-10-01,1718.728,16398.0,16398.0
2013-11-01,1884.6,17981.0,17981.0
2013-12-01,3030.295,28912.0,28912.0
2014-01-01,8321.466,79137.0,79137.0
2014-02-01,3468.856,32989.0,32989.0
2014-03-01,4972.58,47289.0,47289.0
