measured_on,Municiapl Landfill Gas-Fuel Cell Generation,Municiapl Landfill Gas-Fuel Cell Quantity Consumed For Electricity,Municiapl Landfill Gas-Fuel Cell Total Fuel Consumed,Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed
2017-06-01,2102.518,16389.0,16389.0,0.0,0.0,0.0
2017-07-01,2084.713,16250.0,16250.0,0.0,0.0,0.0
2017-08-01,2091.158,16301.0,16301.0,0.0,0.0,0.0
2017-09-01,1960.963,15286.0,15286.0,0.0,0.0,0.0
2017-10-01,1654.48,12897.0,12897.0,0.0,0.0,0.0
2017-11-01,1975.074,15396.0,15396.0,0.0,0.0,0.0
2017-12-01,2175.094,16955.0,16955.0,0.0,0.0,0.0
2018-01-01,2631.443,18073.0,18073.0,0.0,0.0,0.0
2018-02-01,2459.151,16889.0,16889.0,0.0,0.0,0.0
2018-03-01,2442.061,16772.0,16772.0,0.0,0.0,0.0
2018-04-01,2319.762,15932.0,15932.0,0.0,0.0,0.0
2018-05-01,2373.006,16298.0,16298.0,0.0,0.0,0.0
2018-06-01,2375.728,16316.0,16316.0,0.0,0.0,0.0
2018-07-01,2550.167,17515.0,17515.0,0.0,0.0,0.0
2018-08-01,2657.471,18251.0,18251.0,0.0,0.0,0.0
2018-09-01,2568.729,17642.0,17642.0,0.0,0.0,0.0
2018-10-01,2588.683,17779.0,17779.0,0.0,0.0,0.0
2018-11-01,2538.209,17432.0,17432.0,0.0,0.0,0.0
2018-12-01,2699.59,18541.0,18541.0,0.0,0.0,0.0
2019-01-01,1734.529,19126.0,19126.0,0.0,0.0,0.0
2019-02-01,1587.11,17499.0,17499.0,0.0,0.0,0.0
2019-03-01,1758.436,19388.0,19388.0,0.0,0.0,0.0
2019-04-01,1631.366,17987.0,17987.0,0.0,0.0,0.0
2019-05-01,1517.8,16735.0,16735.0,0.0,0.0,0.0
2019-06-01,1541.962,17001.0,17001.0,0.0,0.0,0.0
2019-07-01,1701.462,18760.0,18760.0,0.0,0.0,0.0
2019-08-01,1775.075,19571.0,19571.0,0.0,0.0,0.0
2019-09-01,1634.212,18018.0,18018.0,0.0,0.0,0.0
2019-10-01,1455.011,16042.0,16042.0,0.0,0.0,0.0
2019-11-01,1582.456,17447.0,17447.0,0.0,0.0,0.0
2019-12-01,1707.581,18827.0,18827.0,0.0,0.0,0.0
2020-01-01,1889.913,19045.0,19045.0,0.0,0.0,0.0
2020-02-01,1700.007,17131.0,17131.0,0.0,0.0,0.0
2020-03-01,1791.309,18050.0,18050.0,0.0,0.0,0.0
2020-04-01,1676.502,16894.0,16894.0,0.0,0.0,0.0
2020-05-01,1780.914,17946.0,17946.0,0.0,0.0,0.0
2020-06-01,1641.427,16540.0,16540.0,0.0,0.0,0.0
2020-07-01,1843.517,18577.0,18577.0,0.0,0.0,0.0
2020-08-01,1760.107,17736.0,17736.0,0.0,0.0,0.0
2020-09-01,1745.824,17592.0,17592.0,0.0,0.0,0.0
2020-10-01,1680.194,16931.0,16931.0,0.0,0.0,0.0
2020-11-01,1691.519,17045.0,17045.0,0.0,0.0,0.0
2020-12-01,1510.767,15224.0,15224.0,0.0,0.0,0.0
2021-01-01,1328.722,17516.0,17516.0,0.0,0.0,0.0
2021-02-01,1234.122,16269.0,16269.0,0.0,0.0,0.0
2021-03-01,1378.24,18169.0,18169.0,0.0,0.0,0.0
2021-04-01,1143.588,15076.0,15076.0,0.0,0.0,0.0
2021-05-01,1237.84,16318.0,16318.0,0.0,0.0,0.0
2021-06-01,1271.855,16766.0,16766.0,0.0,0.0,0.0
2021-07-01,1235.976,16294.0,16294.0,0.0,0.0,0.0
2021-08-01,1228.056,16189.0,16189.0,0.0,0.0,0.0
2021-09-01,1246.302,16430.0,16430.0,0.0,0.0,0.0
2021-10-01,1220.942,16096.0,16096.0,0.0,0.0,0.0
2021-11-01,1202.938,15858.0,15858.0,0.0,0.0,0.0
2021-12-01,1205.419,15891.0,15891.0,0.0,0.0,0.0
2022-01-01,2084.293,17804.0,17804.0,0.0,0.0,0.0
2022-02-01,1845.828,15767.0,15767.0,0.0,0.0,0.0
2022-03-01,1991.608,17013.0,17013.0,0.0,0.0,0.0
2022-04-01,1550.001,13241.0,13241.0,0.0,0.0,0.0
2022-05-01,1599.959,13667.0,13667.0,0.0,0.0,0.0
2022-06-01,1776.909,15179.0,15179.0,0.0,0.0,0.0
