measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,173788.0,1841923.0,1841923.0,1748.5,21403.5,21403.5,144.054,1488.51,1488.51,0.0,0.0,0.0
2001-02-01,147708.0,1576423.0,1576423.0,456.5,6170.0,6684.0,124.774,1289.29,1289.29,0.0,0.0,0.0
2001-03-01,134165.0,1410807.0,1410807.0,41.0,2192.5,2230.5,135.578,1400.93,1400.93,0.0,0.0,0.0
2001-04-01,52855.0,605729.0,605729.0,690.5,9317.5,9317.5,115.176,1190.11,1190.11,6.0,91.0,91.0
2001-05-01,91648.0,1067928.0,1067928.0,1090.5,14171.0,14206.0,129.71800000000002,1340.38,1340.38,-65.0,0.0,48.0
2001-06-01,87741.0,961067.0,961067.0,595.0,7011.0,7011.0,137.263,1418.34,1418.34,671.0,10384.0,10384.0
2001-07-01,137077.0,1814434.0,1814434.0,576.5,7770.0,7770.0,142.53900000000002,1472.86,1472.86,2447.0,30785.0,30785.0
2001-08-01,169739.0,1879930.0,1879930.0,2413.5,36622.5,36622.5,146.52,1513.99,1513.99,4003.0,64305.0,64305.0
2001-09-01,119484.0,1391187.0,1391187.0,250.5,3112.5,3112.5,102.01100000000001,1054.08,1054.08,1260.0,15415.0,15415.0
2001-10-01,31003.0,375089.0,375089.0,154.0,2058.5,2058.5,115.47800000000001,1193.23,1193.23,1454.0,18085.0,18085.0
2001-11-01,10522.0,150350.0,150350.0,99.5,1582.5,1582.5,111.325,1150.32,1150.32,794.0,10552.0,10552.0
2001-12-01,17218.0,203440.0,203440.0,630.5,9782.0,9782.0,124.566,1287.14,1287.14,207.0,3308.0,3308.0
