measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-12-01,18137.0,2433158.0,2433158.0,,,,,,
2012-01-01,0.0,0.0,0.0,,,,23327.0,678889.0,678889.0
2012-02-01,0.0,0.0,0.0,,,,30424.0,642758.0,642758.0
2012-03-01,0.0,0.0,0.0,,,,32184.0,725112.0,725112.0
2012-04-01,0.0,0.0,0.0,,,,33492.0,704349.0,704349.0
2012-05-01,0.0,0.0,0.0,,,,33117.0,712912.0,712912.0
2012-06-01,0.0,0.0,0.0,,,,32720.0,699470.0,699470.0
2012-07-01,0.0,0.0,0.0,,,,33403.0,718346.0,718346.0
2012-08-01,0.0,0.0,0.0,,,,34360.0,722608.0,722608.0
2012-09-01,0.0,0.0,0.0,,,,32846.0,714165.0,714165.0
2012-10-01,0.0,0.0,0.0,,,,32743.0,712038.0,712038.0
2012-11-01,0.0,0.0,0.0,,,,32168.0,693521.0,693521.0
2012-12-01,0.0,0.0,0.0,,,,33524.0,735205.0,735205.0
2013-01-01,0.0,0.0,0.0,12.721,212.0,212.0,32574.279,542868.0,542868.0
2013-02-01,0.0,0.0,0.0,13.652,232.0,232.0,31000.348,526830.0,526830.0
2013-03-01,0.0,0.0,0.0,15.969,260.0,260.0,34790.031,566438.0,566438.0
2013-04-01,0.0,0.0,0.0,12.01,196.0,196.0,33528.99,547180.0,547180.0
2013-05-01,0.0,0.0,0.0,5.341,92.0,92.0,33111.659,570324.0,570324.0
2013-06-01,0.0,0.0,0.0,4.069,72.0,72.0,30839.931,545640.0,545640.0
2013-07-01,0.0,0.0,0.0,2.501,44.0,44.0,30069.499,529009.0,529009.0
2013-08-01,0.0,0.0,0.0,1.954,36.0,36.0,29490.046,543449.0,543449.0
2013-09-01,0.0,0.0,0.0,12.022,200.0,200.0,31741.978,528085.0,528085.0
2013-10-01,0.0,0.0,0.0,0.49,8.0,8.0,33573.51,548379.0,548379.0
2013-11-01,0.0,0.0,0.0,7.739,128.0,128.0,32144.261,531651.0,531651.0
2013-12-01,0.0,0.0,0.0,8.851,152.0,152.0,31899.149,547818.0,547818.0
2014-01-01,0.0,0.0,0.0,123.66,2144.0,2144.0,31430.34,544936.0,544936.0
2014-02-01,0.0,0.0,0.0,145.739,3320.0,3320.0,22807.261,519560.0,519560.0
2014-03-01,0.0,0.0,0.0,134.233,2392.0,2392.0,31797.767,566628.0,566628.0
2014-04-01,0.0,0.0,0.0,92.371,1576.0,1576.0,31215.629,532590.0,532590.0
2014-05-01,0.0,0.0,0.0,63.121,1072.0,1072.0,32687.879,555150.0,555150.0
2014-06-01,0.0,0.0,0.0,6.731,112.0,112.0,31686.269,527275.0,527275.0
2014-07-01,0.0,0.0,0.0,51.416,848.0,848.0,32872.584,542163.0,542163.0
2014-08-01,0.0,0.0,0.0,93.565,1488.0,1488.0,34605.435,550343.0,550343.0
2014-09-01,0.0,0.0,0.0,143.197,2272.0,2272.0,33846.803,537021.0,537021.0
2014-10-01,0.0,0.0,0.0,113.078,1960.0,1960.0,31919.922,553275.0,553275.0
2014-11-01,0.0,0.0,0.0,228.92,3720.0,3720.0,33886.08,550655.0,550655.0
2014-12-01,0.0,0.0,0.0,363.008,6000.0,6000.0,34071.992,563161.0,563161.0
2015-01-01,0.0,0.0,0.0,64.991,739.0,942.0,38200.009,434461.0,553946.0
2015-02-01,0.0,0.0,0.0,76.746,873.0,1188.0,33065.254,376062.0,511839.0
2015-03-01,0.0,0.0,0.0,13.96,159.0,204.0,37122.04,422201.0,541124.0
2015-04-01,0.0,0.0,0.0,44.449,506.0,682.0,33775.551,384141.0,518229.0
2015-05-01,0.0,0.0,0.0,70.443,801.0,1095.0,34781.557,395582.0,540417.0
2015-06-01,0.0,0.0,0.0,97.289,1107.0,1452.0,34548.711,392934.0,515624.0
2015-07-01,0.0,0.0,0.0,116.104,1320.0,1810.0,34046.896,387227.0,530629.0
2015-08-01,0.0,0.0,0.0,67.309,766.0,1716.0,21403.691,243431.0,545677.0
2015-09-01,0.0,0.0,0.0,55.329,629.0,842.0,33955.671,386189.0,516433.0
2015-10-01,0.0,0.0,0.0,93.507,1063.0,1452.0,34370.493,390907.0,533715.0
2015-11-01,0.0,0.0,0.0,121.687,1384.0,1865.0,33889.313,385434.0,519254.0
2015-12-01,0.0,0.0,0.0,64.17,730.0,985.0,34400.83,391252.0,527783.0
2016-01-01,0.0,0.0,0.0,61.169,271.0,918.0,34861.831,154479.0,523347.0
2016-02-01,0.0,0.0,0.0,18.352,81.0,323.0,32005.648,141822.0,563634.0
2016-03-01,0.0,0.0,0.0,10.299,46.0,180.0,32460.701,143839.0,565915.0
2016-04-01,0.0,0.0,0.0,66.278,294.0,1206.0,30574.722,135482.0,556133.0
2016-05-01,0.0,0.0,0.0,21.197,94.0,364.0,33103.803,146689.0,568827.0
2016-06-01,0.0,0.0,0.0,33.715,149.0,575.0,32282.285,143048.0,550142.0
2016-07-01,0.0,0.0,0.0,31.354,139.0,539.0,33794.646,149750.0,580581.0
2016-08-01,0.0,0.0,0.0,9.461,42.0,164.0,32801.539,145349.0,569150.0
2016-09-01,0.0,0.0,0.0,26.07,116.0,457.0,30785.93,136418.0,539159.0
2016-10-01,0.0,0.0,0.0,30.947,137.0,826.0,19246.053,85283.0,513655.0
2016-11-01,0.0,0.0,0.0,35.253,156.0,708.0,26653.747,118107.0,535245.0
2016-12-01,0.0,0.0,0.0,54.121,240.0,995.0,30269.879,134131.0,556624.0
2017-01-01,0.0,0.0,0.0,34.781,154.0,600.0,30327.219,134385.0,523347.0
2017-02-01,0.0,0.0,0.0,27.243,121.0,498.0,27597.757,122290.0,504092.0
2017-03-01,0.0,0.0,0.0,85.579,379.0,1472.0,31672.421,140346.0,544897.0
2017-04-01,0.0,0.0,0.0,9.288,41.0,169.0,28474.712,126176.0,519008.0
2017-05-01,0.0,0.0,0.0,2.062,9.0,36.0,29658.938,131424.0,516566.0
2017-06-01,0.0,0.0,0.0,8.624,38.0,215.0,20727.376,91847.0,517855.0
2017-07-01,0.0,0.0,0.0,0.306,1.0,5.0,32586.694,144397.0,546280.0
2017-08-01,0.0,0.0,0.0,63.584,282.0,1088.0,32525.416,144126.0,556327.0
2017-09-01,0.0,0.0,0.0,67.979,301.0,1206.0,30893.021,136892.0,547864.0
2017-10-01,0.0,0.0,0.0,17.934,79.0,451.0,20935.066,92767.0,526997.0
2017-11-01,0.0,0.0,0.0,126.517,561.0,2232.0,27174.483,120415.0,479313.0
2017-12-01,0.0,0.0,0.0,161.161,714.0,2811.0,32508.839,144052.0,567073.0
2018-01-01,0.0,0.0,0.0,14.573,65.0,262.0,31929.427,141485.0,573244.0
2018-02-01,0.0,0.0,0.0,12.175,54.0,231.0,28764.825,127462.0,545399.0
2018-03-01,0.0,0.0,0.0,8.595,38.0,154.0,31887.405,141298.0,570980.0
2018-04-01,0.0,0.0,0.0,17.659,78.0,339.0,28152.341,124748.0,539772.0
2018-05-01,0.0,0.0,0.0,43.913,195.0,795.0,31665.087,140313.0,573375.0
2018-06-01,0.0,0.0,0.0,81.133,360.0,1452.0,31451.867,139369.0,562796.0
2018-07-01,0.0,0.0,0.0,71.455,317.0,1226.0,33660.545,149156.0,577571.0
2018-08-01,0.0,0.0,0.0,59.563,264.0,1036.0,33386.437,147941.0,580844.0
2018-09-01,0.0,0.0,0.0,60.035,266.0,1072.0,31583.965,139954.0,564065.0
2018-10-01,0.0,0.0,0.0,7.472,33.0,631.0,6633.528,29394.0,560197.0
2018-11-01,0.0,0.0,0.0,79.989,354.0,1570.0,28329.011,125531.0,555952.0
2018-12-01,0.0,0.0,0.0,34.624,153.0,621.0,32240.376,142863.0,577992.0
2019-01-01,0.0,0.0,0.0,11.394,50.0,210.0,31552.606,139815.0,582441.0
2019-02-01,0.0,0.0,0.0,13.433,60.0,257.0,28216.567,125032.0,538794.0
2019-03-01,0.0,0.0,0.0,18.158,80.0,323.0,31787.842,140857.0,565791.0
2019-04-01,0.0,0.0,0.0,21.012,93.0,436.0,26740.988,118494.0,554937.0
2019-05-01,0.0,0.0,0.0,43.275,192.0,780.0,32140.725,142421.0,579134.0
2019-06-01,0.0,0.0,0.0,25.777,114.0,462.0,30605.223,135617.0,548176.0
2019-07-01,0.0,0.0,0.0,23.67,105.0,451.0,30218.33,133903.0,576321.0
2019-08-01,0.0,0.0,0.0,26.7,118.0,482.0,32128.3,142366.0,580269.0
2019-09-01,0.0,0.0,0.0,31.001,137.0,575.0,30195.999,133804.0,559641.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,504015.0
2019-11-01,0.0,0.0,0.0,16.88,75.0,657.0,13155.12,58293.0,511730.0
2019-12-01,0.0,0.0,0.0,8.309,37.0,210.0,22705.691,100613.0,574754.0
2020-01-01,0.0,0.0,0.0,19.022,84.0,344.0,32535.978,144172.0,587897.0
2020-02-01,0.0,0.0,0.0,48.92,217.0,852.0,30832.08,136622.0,536708.0
2020-03-01,0.0,0.0,0.0,49.473,219.0,877.0,33621.527,148983.0,596161.0
2020-04-01,0.0,0.0,0.0,52.411,232.0,939.0,32472.589,143892.0,581653.0
2020-05-01,0.0,0.0,0.0,95.003,421.0,1785.0,25850.997,114550.0,485774.0
2020-06-01,0.0,0.0,0.0,65.755,291.0,1262.0,22888.245,101422.0,439276.0
2020-07-01,0.0,0.0,0.0,151.994,674.0,2673.0,26010.006,115255.0,457373.0
2020-08-01,0.0,0.0,0.0,88.126,391.0,1606.0,24634.874,109161.0,448855.0
2020-09-01,0.0,0.0,0.0,116.098,514.0,2139.0,23549.902,104354.0,433929.0
2020-10-01,0.0,0.0,0.0,44.647,198.0,1442.0,13392.353,59344.0,432404.0
2020-11-01,0.0,0.0,0.0,40.134,179.0,929.0,20530.866,91772.0,475002.0
2020-12-01,0.0,0.0,0.0,0.29,1.0,5.0,33092.71,146639.0,584675.0
2021-01-01,0.0,0.0,0.0,0.297,1.0,5.0,34530.703,153011.0,596650.0
2021-02-01,0.0,0.0,0.0,6.321,28.0,123.0,31169.679,138118.0,607118.0
2021-03-01,0.0,0.0,0.0,31.441,139.0,544.0,33575.559,148779.0,580705.0
2021-04-01,0.0,0.0,0.0,27.672,123.0,492.0,31214.328,138316.0,555520.0
2021-05-01,0.0,0.0,0.0,29.623,131.0,508.0,32956.377,146035.0,565020.0
2021-06-01,0.0,0.0,0.0,22.095,98.0,395.0,30699.905,136036.0,548850.0
2021-07-01,0.0,0.0,0.0,716.576,3175.0,13005.0,30319.424,134350.0,550243.0
2021-08-01,0.0,0.0,0.0,1421.093,6297.0,28749.0,25956.907,115019.0,525105.0
2021-09-01,0.0,0.0,0.0,1543.513,6840.0,30349.0,26145.487,115855.0,514082.0
2021-10-01,0.0,0.0,0.0,2215.831,9819.0,48612.0,23604.169,104594.0,517839.0
2021-11-01,0.0,0.0,0.0,1127.35,4995.0,28943.0,19852.65,87970.0,509695.0
2021-12-01,0.0,0.0,0.0,66.824,296.0,1149.0,33172.176,146992.0,570434.0
2022-01-01,0.0,0.0,0.0,34.002,151.0,585.0,33360.998,147828.0,573793.0
2022-02-01,0.0,0.0,0.0,41.034,182.0,785.0,28770.966,127489.0,550322.0
2022-03-01,0.0,0.0,0.0,74.459,330.0,1400.0,31061.541,137639.0,584236.0
2022-04-01,0.0,0.0,0.0,743.74,3296.0,14374.0,27628.26,122425.0,533972.0
2022-05-01,0.0,0.0,0.0,701.91,3110.0,14379.0,24918.09,110416.0,510474.0
2022-06-01,0.0,0.0,0.0,1880.311,8332.0,39106.0,23768.689,105323.0,494332.0
2022-07-01,0.0,0.0,0.0,1751.88,7763.0,35074.0,27230.12,120661.0,545165.0
2022-08-01,0.0,0.0,0.0,739.063,3275.0,13800.0,31095.937,137791.0,580620.0
2022-09-01,0.0,0.0,0.0,181.131,803.0,3217.0,31950.869,141580.0,567381.0
2022-10-01,0.0,0.0,0.0,89.838,398.0,1693.0,31090.162,137766.0,585861.0
2022-11-01,0.0,0.0,0.0,143.735,637.0,3175.0,25286.265,112048.0,558638.0
