measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,,,,45991.0,587162.0,587162.0,0.0,0.0,0.0,420.0,4401.0,4401.0,,,,,,
2001-02-01,,,,33025.0,463753.0,463753.0,6.0,70.0,70.0,980.0,9953.0,9953.0,,,,,,
2001-03-01,,,,37340.0,562534.0,562534.0,12.0,140.0,140.0,2350.0,23953.0,23953.0,,,,,,
2001-04-01,,,,43914.0,600426.0,600426.0,0.0,0.0,0.0,1150.0,12902.0,12902.0,,,,,,
2001-05-01,,,,35148.0,489574.0,489574.0,0.0,0.0,0.0,235.0,2690.0,2690.0,,,,,,
2001-06-01,,,,55847.0,739848.0,739848.0,0.0,0.0,0.0,113.0,1228.0,1228.0,,,,,,
2001-07-01,,,,53496.0,710937.0,710937.0,0.0,0.0,0.0,10.0,103.0,103.0,,,,,,
2001-08-01,,,,52879.0,724638.0,724638.0,0.0,0.0,0.0,5011.0,56334.0,56334.0,,,,,,
2001-09-01,,,,42310.0,586530.0,586530.0,0.0,0.0,0.0,371.0,4224.0,4224.0,,,,,,
2001-10-01,,,,27161.0,384490.0,384490.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2001-11-01,,,,17362.0,276242.0,276242.0,0.0,0.0,0.0,994.0,12977.0,12977.0,,,,,,
2001-12-01,,,,15887.0,354191.0,354191.0,0.0,0.0,0.0,7264.0,132855.0,132855.0,,,,,,
2002-01-01,,,,27149.0,394968.0,394968.0,17.0,209.0,209.0,590.0,7182.0,7182.0,,,,,,
2002-02-01,,,,26936.0,433056.0,433056.0,0.0,0.0,0.0,243.0,3270.0,3270.0,,,,,,
2002-03-01,,,,26247.0,396120.0,396120.0,18.0,232.0,232.0,593.0,7482.0,7482.0,,,,,,
2002-04-01,,,,33613.0,458472.0,458472.0,17.0,191.0,191.0,391.0,4456.0,4456.0,,,,,,
2002-05-01,,,,39882.0,526728.0,526728.0,0.0,0.0,0.0,464.0,5123.0,5123.0,,,,,,
2002-06-01,,,,46093.0,601320.0,601320.0,0.0,0.0,0.0,149.0,1622.0,1622.0,,,,,,
2002-07-01,,,,50006.0,656760.0,656760.0,0.0,0.0,0.0,932.0,10235.0,10235.0,,,,,,
2002-08-01,,,,48982.0,657984.0,657984.0,0.0,0.0,0.0,173.0,2405.0,2405.0,,,,,,
2002-09-01,,,,42663.0,568848.0,568848.0,0.0,0.0,0.0,1792.0,24735.0,24735.0,,,,,,
2002-10-01,,,,50329.0,664032.0,664032.0,1.0,17.0,17.0,1809.0,24711.0,24711.0,,,,,,
2002-11-01,,,,43329.0,594120.0,594120.0,7.0,99.0,99.0,817.0,11595.0,11595.0,,,,,,
2002-12-01,,,,41192.0,571152.0,571152.0,0.0,6.0,6.0,283.0,3988.0,3988.0,,,,,,
2003-01-01,,,,,,,0.0,0.0,0.0,116.0,1569.0,1569.0,,,,,,
2003-02-01,,,,,,,0.0,0.0,0.0,253.0,3395.0,3395.0,,,,,,
2003-03-01,,,,,,,0.0,0.0,0.0,269.0,3704.0,3704.0,,,,,,
2003-04-01,,,,,,,0.0,0.0,0.0,393.0,5543.0,5543.0,,,,,,
2003-05-01,,,,,,,0.0,0.0,0.0,126.0,1787.0,1787.0,,,,,,
2003-06-01,,,,,,,0.0,0.0,0.0,103.0,1440.0,1440.0,,,,,,
2003-07-01,,,,,,,0.0,0.0,0.0,460.0,6396.0,6396.0,,,,,,
2003-08-01,,,,,,,0.0,0.0,0.0,32.0,430.0,430.0,,,,,,
2003-09-01,,,,,,,0.0,0.0,0.0,82.0,1165.0,1165.0,,,,,,
2003-10-01,,,,,,,0.0,0.0,0.0,166.0,2274.0,2274.0,,,,,,
2003-11-01,,,,,,,0.0,0.0,0.0,690.0,10006.0,10006.0,,,,,,
2003-12-01,,,,,,,1.0,12.0,12.0,284.0,3925.0,3925.0,,,,,,
2004-01-01,,,,43152.471,600837.0,600837.0,129.63400000000001,1685.0,1685.0,745.253,9738.0,9738.0,,,,,,
2004-02-01,,,,32247.301,448998.0,448998.0,70.625,918.0,918.0,534.941,6990.0,6990.0,,,,,,
2004-03-01,,,,38396.778,534621.0,534621.0,70.74900000000001,920.0,920.0,476.92100000000005,6232.0,6232.0,,,,,,
2004-04-01,,,,34291.13,477456.0,477456.0,94.085,1223.0,1223.0,508.27200000000005,6641.0,6641.0,,,,,,
2004-05-01,,,,45252.582,630078.0,630078.0,112.361,1461.0,1461.0,410.68100000000004,5366.0,5366.0,,,,,,
2004-06-01,,,,46238.568,643807.0,643807.0,138.56900000000002,1802.0,1802.0,432.523,5652.0,5652.0,,,,,,
2004-07-01,,,,50615.054,704743.0,704743.0,147.24800000000002,1914.0,1914.0,466.775,6099.0,6099.0,,,,,,
2004-08-01,,,,47592.318,662656.0,662656.0,94.229,1225.0,1225.0,361.611,4725.0,4725.0,,,,,,
2004-09-01,,,,40210.575,559875.0,559875.0,116.18400000000001,1510.0,1510.0,428.844,5603.0,5603.0,,,,,,
