measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,,,,,,,4.0,40.0,40.0,1117.0,10978.0,10978.0,56914.0,772481.0,772481.0
2003-02-01,,,,,,,0.0,0.0,0.0,16.0,160.0,160.0,62797.0,810758.0,810758.0
2003-03-01,,,,,,,6.0,51.0,51.0,171.0,1676.0,1676.0,68522.0,853266.0,853266.0
2003-04-01,,,,,,,4.0,51.0,51.0,169.0,1656.0,1656.0,64856.0,827302.0,827302.0
2003-05-01,,,,,,,4.0,46.0,46.0,311.0,3050.0,3050.0,18054.0,230969.0,230969.0
2003-06-01,,,,,,,4.0,80.0,80.0,540.0,5303.0,5303.0,15739.0,253106.0,253106.0
2003-07-01,,,,,,,4.0,50.0,50.0,417.0,4026.0,4026.0,61747.0,829493.0,829493.0
2003-08-01,,,,,,,90.0,1249.0,1249.0,453.0,4374.0,4374.0,65261.0,885301.0,885301.0
2003-09-01,,,,,,,4.0,50.0,50.0,153.0,1473.0,1473.0,58179.0,736820.0,736820.0
2003-10-01,,,,,,,4.0,51.0,51.0,13.0,125.0,125.0,66190.0,809060.0,809060.0
2003-11-01,,,,,,,4.0,34.0,34.0,30.0,286.0,286.0,63623.0,776248.0,776248.0
2003-12-01,,,,,,,4.0,39.0,39.0,179.0,1761.0,1761.0,49234.0,633389.0,633389.0
2004-01-01,,,,,,,4.0,41.0,41.0,2.0,17.0,17.0,77423.0,968766.0,968766.0
2004-02-01,,,,,,,4.0,58.0,58.0,2.0,23.0,23.0,70246.0,863262.0,863262.0
2004-03-01,,,,,,,4.0,46.0,46.0,2.0,23.0,23.0,65117.0,771461.0,771461.0
2004-04-01,,,,,,,4.0,46.0,46.0,199.0,1989.0,1989.0,32467.0,434403.0,434403.0
2004-05-01,,,,,,,4.0,123.0,123.0,118.0,1186.0,1186.0,69797.0,855044.0,855044.0
2004-06-01,,,,,,,4.0,1653.0,1653.0,343.0,3469.0,3469.0,62531.0,768984.0,768984.0
2004-07-01,,,,,,,4.0,47.0,47.0,152.0,1493.0,1493.0,60570.0,772800.0,772800.0
2004-08-01,,,,,,,4.0,53.0,53.0,351.0,3556.0,3556.0,44032.0,593582.0,593582.0
2004-09-01,,,,,,,4.0,29.0,29.0,213.0,2141.0,2141.0,50357.0,673310.0,673310.0
2004-10-01,,,,,,,4.0,47.0,47.0,478.0,4800.0,4800.0,68961.0,831126.0,831126.0
2004-11-01,,,,,,,4.0,47.0,47.0,178.0,1787.0,1787.0,57520.0,701164.0,701164.0
2004-12-01,,,,,,,4.0,41.0,41.0,3.0,35.0,35.0,81337.0,1004160.0,1004160.0
2005-01-01,,,,,,,4.0,46.6,46.6,295.0,2962.15,2962.15,62631.0,887564.5,887564.5
2005-02-01,,,,,,,4.0,46.69,46.69,586.0,5900.2,5900.2,37915.0,513599.81,513599.81
2005-03-01,,,,,,,4.0,116.72,116.72,541.0,5439.15,5439.15,82599.0,971920.22,971920.22
2005-04-01,,,,,,,2.0,23.34,23.34,168.0,1690.07,1690.07,98198.0,1109901.04,1109901.04
2005-05-01,,,,,,,4.0,46.65,46.65,558.0,5609.42,5609.42,67688.0,861884.86,861884.86
2005-06-01,,,,,,,2.0,81.62,81.62,210.0,2109.03,2109.03,88313.0,1078795.94,1078795.94
2005-07-01,,,,,,,4.0,46.64,46.64,0.0,0.0,0.0,95694.0,1202426.1,1202426.1
2005-08-01,,,,,,,8.0,104.78,104.78,383.0,3841.86,3841.86,68996.0,900853.2,900853.2
2005-09-01,,,,,,,4.0,35.08,35.08,2.0,23.38,23.38,84355.0,1064252.81,1064252.81
2005-10-01,,,,,,,4.0,87.86,87.86,275.0,2782.08,2782.08,72477.0,965911.75,965911.75
2005-11-01,,,,,,,4.0,46.62,46.62,309.0,3105.79,3105.79,72963.0,937398.38,937398.38
2005-12-01,,,,,,,6.0,64.1,64.1,2.0,23.31,23.31,103009.0,1253891.08,1253891.08
2006-01-01,,,,,,,6.0,111.0,111.0,0.0,0.0,0.0,83075.0,1038588.0,1038588.0
2006-02-01,,,,,,,1.0,12.0,12.0,0.0,0.0,0.0,96813.0,1127185.0,1127185.0
2006-03-01,,,,,,,4.0,128.0,128.0,0.0,0.0,0.0,94552.0,1151299.0,1151299.0
2006-04-01,,,,,,,4.0,35.0,35.0,148.0,1486.0,1486.0,-1041.0,1973.0,1973.0
2006-05-01,,,,,,,4.0,35.0,35.0,0.0,0.0,0.0,-1582.0,0.0,0.0
2006-06-01,,,,,,,4.0,87.0,87.0,771.0,7683.0,7683.0,41502.0,566679.0,566679.0
2006-07-01,,,,,,,50.0,455.0,455.0,249.0,2470.0,2470.0,102526.0,1180369.0,1180369.0
2006-08-01,,,,,,,4.0,738.0,738.0,69.0,681.0,681.0,124197.0,1394865.0,1394865.0
2006-09-01,,,,,,,8.0,70.0,70.0,363.0,3636.0,3636.0,96022.0,1067692.0,1067692.0
2006-10-01,,,,,,,4.0,23.0,23.0,258.0,2590.0,2590.0,83562.0,996444.0,996444.0
2006-11-01,,,,,,,4.0,41.0,41.0,140.0,1397.0,1397.0,84985.0,939910.0,939910.0
2006-12-01,,,,,,,4.0,52.0,52.0,173.0,1734.0,1734.0,89166.0,1017061.0,1017061.0
2007-01-01,,,,10010.035,122932.0,122932.0,4.0,52.0,52.0,349.296,4290.0,4290.0,80735.669,991503.0,991503.0
2007-02-01,,,,12114.606,120234.0,120234.0,4.0,52.0,52.0,23.291,231.0,231.0,97715.103,969791.0,969791.0
2007-03-01,,,,10787.459,127810.0,127810.0,4.0,52.0,52.0,209.73700000000002,2485.0,2485.0,87012.804,1030931.0,1030931.0
2007-04-01,,,,10721.144,114582.0,114582.0,4.0,35.0,35.0,171.70700000000002,1835.0,1835.0,86470.149,924148.0,924148.0
2007-05-01,,,,13978.659,142916.0,142916.0,4.0,46.0,46.0,6.795,69.0,69.0,112750.546,1152746.0,1152746.0
2007-06-01,,,,11678.744,136099.0,136099.0,4.0,29.0,29.0,51.663000000000004,602.0,602.0,94192.594,1097681.0,1097681.0
2007-07-01,,,,10003.84,117953.0,117953.0,8.0,81.0,81.0,235.711,2779.0,2779.0,80683.448,951319.0,951319.0
2007-08-01,,,,12063.777,144025.0,144025.0,4.0,81.0,81.0,112.28200000000001,1340.0,1340.0,97307.941,1161724.0,1161724.0
2007-09-01,,,,12063.824,132278.0,132278.0,4.0,260.0,260.0,58.492000000000004,641.0,641.0,97307.684,1066964.0,1066964.0
2007-10-01,,,,12937.868,142170.0,142170.0,4.0,110.0,110.0,1.585,17.0,17.0,104353.546,1146703.0,1146703.0
2007-11-01,,,,5995.1810000000005,73072.0,73072.0,0.0,87.0,87.0,377.72,4604.0,4604.0,48356.099,589389.0,589389.0
2007-12-01,,,,12691.758,149075.0,149075.0,0.0,0.0,0.0,159.769,1877.0,1877.0,102375.473,1202484.0,1202484.0
2008-01-01,,,,27288.263,325892.0,325892.0,4.0,47.0,47.0,20.008000000000003,239.0,239.0,86163.729,1029015.0,1029015.0
2008-02-01,,,,11179.198,125299.0,125299.0,4.0,58.0,58.0,581.643,6519.0,6519.0,65977.159,739488.0,739488.0
2008-03-01,,,,11387.429,134454.0,134454.0,0.0,0.0,0.0,542.5880000000001,6406.0,6406.0,84539.98300000001,998182.0,998182.0
2008-04-01,,,,2824.2450000000003,39174.0,39174.0,6.0,81.0,81.0,449.725,6238.0,6238.0,42249.03,586022.0,586022.0
2008-05-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,171.461,1714.0,1714.0,116552.539,1165075.0,1165075.0
2008-06-01,,,,7628.205,98470.0,98470.0,4.0,35.0,35.0,160.001,2065.0,2065.0,84866.794,1095515.0,1095515.0
2008-07-01,,,,24335.654000000002,287584.0,287584.0,4.0,35.0,35.0,281.776,3330.0,3330.0,80944.57,956554.0,956554.0
2008-08-01,,,,10671.634,113440.0,113440.0,8.0,46.0,46.0,52.752,561.0,561.0,108634.614,1154796.0,1154796.0
2008-09-01,,,,2640.051,30661.0,30661.0,4.0,40.0,40.0,26.88,312.0,312.0,97351.069,1130616.0,1130616.0
2008-10-01,,,,451.269,5118.0,5118.0,4.0,40.0,40.0,8.665000000000001,98.0,98.0,95011.066,1077646.0,1077646.0
2008-11-01,,,,2337.089,26227.0,26227.0,4.0,52.0,52.0,140.633,1578.0,1578.0,89067.278,999534.0,999534.0
2008-12-01,,,,746.426,8413.0,8413.0,4.0,46.0,46.0,5.1290000000000004,58.0,58.0,107171.445,1207963.0,1207963.0
2009-01-01,,,,0.0,0.0,0.0,4.0,52.0,52.0,53.753,601.0,601.0,89451.247,999794.0,999794.0
2009-02-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,201.02700000000002,2272.0,2272.0,76774.973,867896.0,867896.0
2009-03-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,203.315,2394.0,2394.0,44730.685,526726.0,526726.0
2009-04-01,,,,418.502,5943.0,5943.0,4.0,128.0,128.0,262.79900000000004,3732.0,3732.0,13303.699,188920.0,188920.0
2009-05-01,0.0,0.0,0.0,,,,4.0,46.0,46.0,-693.0,1032.0,1032.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,,,,4.0,53.0,53.0,-269.0,0.0,0.0,-269.0,0.0,0.0
2009-07-01,,,,837.1980000000001,10031.0,10031.0,4.0,41.0,41.0,294.22200000000004,3525.0,3525.0,27300.58,327116.0,327116.0
2009-08-01,0.0,0.0,0.0,,,,4.0,53.0,53.0,-361.5,0.0,0.0,-361.5,0.0,0.0
2009-09-01,,,,0.0,0.0,0.0,4.0,1061.0,1061.0,235.876,3930.0,3930.0,6912.124000000001,115176.0,115176.0
2009-10-01,,,,-259.666,0.0,0.0,4.0,41.0,41.0,-259.66700000000003,0.0,0.0,-259.66700000000003,0.0,0.0
2009-11-01,,,,-232.66600000000003,0.0,0.0,4.0,35.0,35.0,-232.667,0.0,0.0,-232.667,0.0,0.0
2009-12-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,515.303,6976.0,6976.0,18051.697,244369.0,244369.0
2010-01-01,,,,0.0,0.0,0.0,4.0,40.0,40.0,83.31400000000001,850.0,850.0,97481.686,993975.0,993975.0
2010-02-01,,,,0.0,0.0,0.0,4.0,40.0,40.0,90.934,988.0,988.0,89466.066,971685.0,971685.0
2010-03-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,0.9830000000000001,11.0,11.0,81616.017,953026.0,953026.0
2010-04-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,167.369,1926.0,1926.0,94886.631,1091952.0,1091952.0
2010-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,229.09300000000002,2562.0,2562.0,18363.907,205392.0,205392.0
2010-06-01,,,,0.0,0.0,0.0,4.0,69.0,69.0,180.733,2198.0,2198.0,63539.267,772610.0,772610.0
2010-07-01,,,,0.0,0.0,0.0,4.0,97.0,97.0,177.122,2158.0,2158.0,91765.878,1117866.0,1117866.0
2010-08-01,,,,0.0,0.0,0.0,0.0,336.0,336.0,1.088,11.0,11.0,111805.912,1169585.0,1169585.0
2010-09-01,,,,0.0,0.0,0.0,4.0,259.0,259.0,583.3090000000001,7098.0,7098.0,29921.691,364079.0,364079.0
2010-10-01,,,,-2.153,0.0,0.0,4.0,40.0,40.0,-3.083,0.0,0.0,-464.764,0.0,0.0
2010-11-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,80.248,1651.0,1651.0,4318.752,88835.0,88835.0
2010-12-01,,,,0.0,0.0,0.0,4.0,40.0,40.0,443.17400000000004,5136.0,5136.0,81043.826,939181.0,939181.0
2011-01-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,0.0,0.0,0.0,122621.0,1428749.0,1428749.0
2011-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112460.0,1124218.0,1124218.0
2011-03-01,,,,0.0,0.0,0.0,4.0,410.0,410.0,75.409,1063.0,1063.0,37887.591,534065.0,534065.0
2011-04-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,174.739,2028.0,2028.0,43435.261,504035.0,504035.0
2011-05-01,,,,0.0,0.0,0.0,2.0,225.0,225.0,405.718,5204.0,5204.0,59434.282,762368.0,762368.0
2011-06-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,439.667,5544.0,5544.0,68871.333,868428.0,868428.0
2011-07-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,4.838,58.0,58.0,100511.16,1195947.0,1195947.0
2011-08-01,,,,0.0,0.0,0.0,4.0,35.0,35.0,366.956,4118.0,4118.0,15219.044,170789.0,170789.0
2011-09-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,14.547,186.0,186.0,3992.453,50937.0,50937.0
2011-10-01,,,,0.0,0.0,0.0,4.0,23.0,23.0,361.48,4391.0,4391.0,18318.52,222524.0,222524.0
2011-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1937.0,46.0,46.0,0.0,0.0,0.0
2011-12-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,-0.035,0.0,0.0,-12.965,0.0,0.0
2012-01-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,,,,0.0,0.0,0.0,4.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0,4.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0,4.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,4.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,4.0,29.0,29.0,426.705,8672.0,8672.0,4660.295,94718.0,94718.0
2012-07-01,,,,0.0,0.0,0.0,4.0,40.0,40.0,517.1,4724.0,4724.0,22662.9,207034.0,207034.0
2012-08-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,177.977,2395.0,2395.0,50949.023,685723.0,685723.0
2012-09-01,,,,0.0,0.0,0.0,4.0,29.0,29.0,12.635,174.0,174.0,41813.365,575810.0,575810.0
2012-10-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,359.516,3920.0,3920.0,16290.484,177641.0,177641.0
2012-11-01,,,,0.0,0.0,0.0,4.0,47.0,47.0,480.55,5633.0,5633.0,21999.45,257858.0,257858.0
2012-12-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,459.829,5353.0,5353.0,25410.171,295801.0,295801.0
2013-01-01,,,,0.0,0.0,0.0,4.0,40.0,40.0,105.331,1060.0,1060.0,55323.669,556859.0,556859.0
2013-02-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,261.601,3072.0,3072.0,44522.399,522775.0,522775.0
2013-03-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,151.777,1849.0,1849.0,15138.223,184415.0,184415.0
2013-04-01,,,,0.0,0.0,0.0,4.0,40.0,40.0,145.087,1824.0,1824.0,24494.913,308000.0,308000.0
2013-05-01,,,,0.0,0.0,0.0,4.0,52.0,52.0,250.675,3389.0,3389.0,7326.325,99034.0,99034.0
2013-06-01,,,,0.0,0.0,0.0,4.0,40.0,40.0,196.957,2563.0,2563.0,18263.043,237677.0,237677.0
2013-07-01,,,,0.0,0.0,0.0,17.0,197.0,197.0,408.25,4227.0,4227.0,38661.75,400277.0,400277.0
2013-08-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,311.959,3296.0,3296.0,20498.041,216597.0,216597.0
2013-09-01,,,,0.0,0.0,0.0,4.0,46.0,46.0,131.084,1654.0,1654.0,8559.916,108009.0,108009.0
2013-10-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,0.0,210.0,210.0,0.0,0.0,0.0
2013-12-01,,,,0.0,0.0,0.0,4.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,,,,0.0,0.0,0.0,11.0,105.0,105.0,663.271,6638.0,6638.0,31042.729,310673.0,310673.0
2014-02-01,,,,0.0,0.0,0.0,2.0,29.0,29.0,522.374,6545.0,6545.0,15957.626,199927.0,199927.0
2014-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1464.386,16741.0,16741.0,36335.614,415385.0,415385.0
2014-04-01,,,,0.0,0.0,0.0,4.0,52.0,52.0,205.599,1888.0,1888.0,42054.401,386101.0,386101.0
2014-05-01,,,,0.0,0.0,0.0,4.0,52.0,52.0,560.071,8532.0,8532.0,8009.929,122021.0,122021.0
2014-06-01,,,,,,,4.0,52.0,52.0,293.027,3874.0,3874.0,6966.973,92106.0,92106.0
2014-07-01,,,,,,,4.0,52.0,52.0,219.187,1950.0,1950.0,4850.813,43149.0,43149.0
2014-08-01,0.0,0.0,0.0,,,,4.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,,,,4.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,,,,,,,4.0,41.0,41.0,273.752,3601.0,3601.0,4016.248,52830.0,52830.0
2014-11-01,,,,,,,4.0,52.0,52.0,130.5,1684.0,1684.0,30509.5,393775.0,393775.0
2014-12-01,0.0,0.0,0.0,,,,4.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,,,,,,,4.0,53.0,53.0,127.903,2079.0,2079.0,7802.097,126835.0,126835.0
2015-02-01,,,,,,,0.0,0.0,0.0,385.705,5262.0,5262.0,5544.295,75639.0,75639.0
2015-03-01,,,,,,,4.0,58.0,58.0,536.238,5525.0,5525.0,26273.762,270688.0,270688.0
2015-04-01,,,,,,,4.0,59.0,59.0,380.552,3796.0,3796.0,20759.448,207075.0,207075.0
2015-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
