measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,,,,3872.0,42321.0,53567.0
2001-02-01,,,,3620.0,51767.0,56678.0
2001-03-01,,,,4109.0,40975.0,51400.0
2001-04-01,,,,2750.0,32074.0,38616.0
2001-05-01,,,,4216.0,36763.0,49232.0
2001-06-01,,,,4186.0,39463.0,48739.0
2001-07-01,,,,4466.0,42849.0,50660.0
2001-08-01,,,,4489.0,44875.0,48212.0
2001-09-01,,,,4318.0,40822.0,44081.0
2001-10-01,,,,4453.0,38730.0,42152.0
2002-01-01,330.0,7960.0,8254.0,4206.0,101308.0,105043.0
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,467.0,12906.0,13340.0,3652.0,100899.0,104295.0
2002-04-01,,,,4366.0,84326.0,88060.0
2002-05-01,338.0,7312.0,7583.0,3901.0,84483.0,87618.0
2002-06-01,0.0,4008.0,4397.0,0.0,0.0,0.0
2002-07-01,367.0,6377.0,6649.0,3758.0,65380.0,68180.0
2002-08-01,279.0,7117.0,7297.0,4248.0,108480.0,111231.0
2002-09-01,463.0,6480.0,6836.0,3923.0,54855.0,57870.0
2002-10-01,333.0,6820.0,7049.0,4156.0,85238.0,88094.0
2002-11-01,180.0,1856.0,2571.0,4225.0,88575.0,91409.0
2002-12-01,0.0,0.0,0.0,4505.0,123116.0,125987.0
2003-01-01,444.0,9150.0,9436.0,4100.0,84577.0,87227.0
2003-02-01,376.0,7838.0,8099.0,3453.0,71920.0,74324.0
2003-03-01,155.0,4082.0,4182.0,4372.0,114805.0,117606.0
2003-04-01,275.48,5343.0,5369.0,4602.65,89209.0,89641.0
2003-05-01,362.78,6962.0,6973.0,4673.46,89789.0,89930.0
2003-07-01,275.48,5477.0,5521.0,2602.0,50213.0,50609.0
2003-08-01,180.42,3636.0,3663.0,1494.77,30121.0,30345.0
2003-09-01,163.93,3347.0,3376.0,1042.75,21287.0,21471.0
2003-10-01,89.24,1775.0,1784.0,756.0,14533.0,14603.0
