measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2017-03-01,4543.447,39313.0,39313.0
2017-04-01,3748.578,32434.0,32434.0
2017-05-01,3964.419,34302.0,34302.0
2017-06-01,5012.18,43368.0,43368.0
2017-07-01,6439.354,55716.0,55716.0
2017-08-01,6242.425,54012.0,54012.0
2017-09-01,5798.39,50170.0,50170.0
2017-10-01,5734.541,49617.0,49617.0
2017-11-01,4601.265,39812.0,39812.0
2017-12-01,4924.401,42608.0,42608.0
2018-01-01,4480.817,39528.0,39528.0
2018-02-01,4703.121,41487.0,41487.0
2018-03-01,5240.783,46231.0,46231.0
2018-04-01,4564.024,40260.0,40260.0
2018-05-01,4438.883,39156.0,39156.0
2018-06-01,5602.913,49424.0,49424.0
2018-07-01,6646.552,58631.0,58631.0
2018-08-01,6545.256,57737.0,57737.0
2018-09-01,5684.896,50148.0,50148.0
2018-10-01,5247.741,46292.0,46292.0
2018-11-01,4224.142,37262.0,37262.0
2018-12-01,4314.872,38063.0,38063.0
2019-01-01,3809.972,34622.0,34622.0
2019-02-01,3643.901,33113.0,33113.0
2019-03-01,3772.018,34278.0,34278.0
2019-04-01,2592.293,23557.0,23557.0
2019-05-01,3504.185,31844.0,31844.0
2019-06-01,4118.15,37423.0,37423.0
2019-07-01,5212.576,47368.0,47368.0
2019-08-01,5097.09,46320.0,46320.0
2019-09-01,4374.764,39755.0,39755.0
2019-10-01,4156.744,37774.0,37774.0
2019-11-01,3623.619,32929.0,32929.0
2019-12-01,4070.688,36992.0,36992.0
2020-01-01,2402.393,21951.0,21951.0
2020-02-01,2196.172,20069.0,20069.0
2020-03-01,2171.977,19848.0,19848.0
2020-04-01,1704.941,15580.0,15580.0
2020-05-01,1788.63,16345.0,16345.0
2020-06-01,2384.522,21790.0,21790.0
2020-07-01,3019.577,27592.0,27592.0
2020-08-01,2982.312,27252.0,27252.0
2020-09-01,2670.017,24398.0,24398.0
2020-10-01,2307.598,21086.0,21086.0
2020-11-01,1752.236,16012.0,16012.0
2020-12-01,2478.625,22649.0,22649.0
2021-01-01,3329.379,30314.0,30314.0
2021-02-01,2978.276,27118.0,27118.0
2021-03-01,2959.627,26948.0,26948.0
2021-04-01,2506.477,22822.0,22822.0
2021-05-01,2888.661,26302.0,26302.0
2021-06-01,3324.692,30272.0,30272.0
2021-07-01,3639.948,33142.0,33142.0
2021-08-01,3633.383,33082.0,33082.0
2021-09-01,3255.372,29640.0,29640.0
2021-10-01,2839.32,25853.0,25853.0
2021-11-01,2944.582,26811.0,26811.0
2021-12-01,3394.283,30906.0,30906.0
2022-01-01,4170.16,37259.0,37259.0
2022-02-01,3883.822,34700.0,34700.0
2022-03-01,4035.393,36055.0,36055.0
2022-04-01,3209.933,28679.0,28679.0
2022-05-01,3381.459,30212.0,30212.0
2022-06-01,4045.726,36147.0,36147.0
2022-07-01,4824.481,43105.0,43105.0
2022-08-01,4789.226,42791.0,42791.0
2022-09-01,4334.386,38726.0,38726.0
2022-10-01,4113.497,36753.0,36753.0
2022-11-01,3723.05,33264.0,33264.0
2022-12-01,4256.867,38034.0,38034.0
2023-01-01,4507.536,40641.0,40641.0
2023-02-01,4125.889,37198.0,37198.0
2023-03-01,4346.914,39190.0,39190.0
2023-04-01,3410.696,30750.0,30750.0
2023-05-01,3672.505,33110.0,33110.0
2023-06-01,4430.048,39940.0,39940.0
2023-07-01,5005.763,45130.0,45130.0
2023-08-01,4952.053,44646.0,44646.0
2023-09-01,4418.539,39836.0,39836.0
2023-10-01,3340.336,30115.0,30115.0
2023-11-01,3398.179,30637.0,30637.0
2023-12-01,4096.542,36933.0,36933.0
2024-01-01,3210.844,30019.0,30019.0
2024-02-01,3158.945,29534.0,29534.0
2024-03-01,3330.398,31137.0,31137.0
2024-04-01,2660.172,24870.0,24870.0
2024-05-01,3160.589,29549.0,29549.0
2024-06-01,3584.422,33512.0,33512.0
2024-07-01,3870.976,36191.0,36191.0
2024-08-01,3728.071,34855.0,34855.0
2024-09-01,3258.897,30469.0,30469.0
2024-10-01,2473.108,23122.0,23122.0
2024-11-01,2832.293,26480.0,26480.0
2024-12-01,3389.285,31687.0,31687.0
