measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,,,,,,,60661.0,809076.0,809076.0
2003-02-01,,,,,,,,,,,,,52407.0,714366.0,714366.0
2003-03-01,,,,,,,,,,,,,61221.0,797351.0,797351.0
2003-04-01,,,,,,,,,,,,,57429.0,742632.0,742632.0
2003-05-01,,,,,,,,,,,,,32859.0,433243.0,433243.0
2003-06-01,,,,,,,,,,,,,55062.0,748238.0,748238.0
2003-07-01,,,,,,,,,,,,,59986.0,801797.0,801797.0
2003-08-01,,,,,,,,,,,,,28537.0,373781.0,373781.0
2003-09-01,,,,,,,,,,,,,49079.0,660101.0,660101.0
2003-10-01,,,,,,,,,,,,,58662.0,776217.0,776217.0
2003-11-01,,,,,,,,,,,,,55146.0,734752.0,734752.0
2003-12-01,,,,,,,,,,,,,58356.0,763084.0,763084.0
2004-01-01,,,,290.826,3922.0,3922.0,256.07300000000004,3452.0,3452.0,,,,54059.774,728851.0,728851.0
2004-02-01,,,,168.76600000000002,2276.0,2276.0,229.429,3093.0,3093.0,,,,48983.09,660406.0,660406.0
2004-03-01,,,,134.46200000000002,1813.0,1813.0,325.129,4383.0,4383.0,,,,49840.805,671970.0,671970.0
2004-04-01,,,,116.88600000000001,1576.0,1576.0,326.779,4405.0,4405.0,,,,47925.685,646149.0,646149.0
2004-05-01,,,,169.491,2286.0,2286.0,142.989,1928.0,1928.0,,,,43037.712,580248.0,580248.0
2004-06-01,,,,142.489,1922.0,1922.0,365.38300000000004,4926.0,4926.0,,,,33932.367,457487.0,457487.0
