measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-07-01,,,,101.225,1365.0,1365.0,270.819,3651.0,3651.0,,,,48977.275,660327.0,660327.0
2004-08-01,,,,69.599,939.0,939.0,271.665,3662.0,3662.0,,,,42626.099,574699.0,574699.0
2004-09-01,,,,128.808,1737.0,1737.0,152.531,2056.0,2056.0,,,,45168.11,608971.0,608971.0
2004-10-01,,,,113.735,1534.0,1534.0,61.514,829.0,829.0,,,,47940.838,646354.0,646354.0
2004-11-01,,,,88.66900000000001,1196.0,1196.0,230.842,3112.0,3112.0,,,,90093.706,1214672.0,1214672.0
2004-12-01,,,,154.043,2077.0,2077.0,181.846,2452.0,2452.0,,,,113274.54,1527203.0,1527203.0
2005-01-01,,,,241.763,3285.72,3285.72,950.393,12913.98,12913.98,,,,56679.938,770141.8,770141.8
2005-02-01,,,,55.649,756.31,756.31,795.433,10808.37,10808.37,,,,51462.804000000004,699253.69,699253.69
2005-03-01,,,,47.754000000000005,649.0,649.0,847.912,11521.46,11521.46,,,,55164.817,749555.0,749555.0
2005-04-01,,,,47.781,649.37,649.37,770.4440000000001,10468.84,10468.84,,,,45383.171,616646.34,616646.34
2005-05-01,,,,48.175,654.72,654.72,681.222,9256.46,9256.46,,,,43115.2,585830.16,585830.16
2005-06-01,,,,58.357,793.11,793.11,825.7040000000001,11219.71,11219.71,,,,55264.56,750910.26,750910.26
2005-07-01,,,,110.522,1502.06,1502.06,831.494,11298.38,11298.38,,,,61659.118,837796.67,837796.67
2005-08-01,,,,97.89,1330.39,1330.39,784.826,10664.25,10664.25,,,,61072.407,829824.69,829824.69
2005-09-01,,,,54.468,740.26,740.26,804.0790000000001,10925.86,10925.86,,,,55016.82,747544.08,747544.08
2005-10-01,,,,76.365,1037.86,1037.86,914.657,12428.39,12428.39,,,,51520.861,700042.56,700042.56
2005-11-01,,,,51.421,698.85,698.85,746.75,10146.87,10146.87,,,,50595.412,687467.96,687467.96
2005-12-01,,,,140.855,1914.3,1914.3,753.085,10232.93,10232.93,,,,58360.891,792981.84,792981.84
2006-01-01,21259.003,278475.0,278475.0,311.67400000000004,4082.0,4082.0,,,,21096.556,276345.0,276345.0,79237.285,1037936.0,1037936.0
2006-02-01,20246.867,265217.0,265217.0,163.089,2136.0,2136.0,,,,20092.154,263188.0,263188.0,75464.817,988520.0,988520.0
2006-03-01,20688.552,271002.0,271002.0,136.997,1794.0,1794.0,,,,20530.464,268930.0,268930.0,77111.081,1010085.0,1010085.0
2006-04-01,17601.351000000002,230563.0,230563.0,262.423,3437.0,3437.0,,,,17466.853,228799.0,228799.0,65604.36,859357.0,859357.0
2006-05-01,18810.209000000003,246398.0,246398.0,245.299,3213.0,3213.0,,,,18666.474000000002,244513.0,244513.0,70110.058,918378.0,918378.0
2006-06-01,20378.039,266935.0,266935.0,222.96,2920.0,2920.0,,,,20222.323,264893.0,264893.0,75953.726,994925.0,994925.0
2006-07-01,23179.982,303638.0,303638.0,322.963,4230.0,4230.0,,,,23002.856,301316.0,301316.0,86397.225,1131725.0,1131725.0
2006-08-01,23347.238,305829.0,305829.0,313.272,4103.0,4103.0,,,,23168.834,303490.0,303490.0,87020.629,1139891.0,1139891.0
2006-09-01,19398.737,254107.0,254107.0,143.922,1885.0,1885.0,,,,19250.505,252164.0,252164.0,72303.64,947112.0,947112.0
2006-10-01,20064.939,262834.0,262834.0,152.02800000000002,1991.0,1991.0,,,,19911.616,260823.0,260823.0,74786.728,979638.0,979638.0
2006-11-01,19839.341,259878.0,259878.0,179.018,2345.0,2345.0,,,,19687.742,257891.0,257891.0,73945.875,968624.0,968624.0
2006-12-01,21477.742,281340.0,281340.0,198.355,2598.0,2598.0,,,,21313.623,279188.0,279188.0,80052.576,1048616.0,1048616.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62605.0,834447.0,834447.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56026.0,756093.0,756093.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62326.0,824083.0,824083.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59894.0,808811.0,808811.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30536.0,409952.0,409952.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60464.0,782694.0,782694.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49890.0,660751.0,660751.0
2007-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59436.0,787480.0,787480.0
2007-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58137.0,768255.0,768255.0
2007-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62687.0,816956.0,816956.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58349.0,772042.0,772042.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62606.0,975082.0,975082.0
2008-01-01,0.0,0.0,0.0,4.434,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,62040.566,833910.0,833910.0
2008-02-01,0.0,0.0,0.0,181.00400000000002,2277.0,2277.0,0.0,0.0,0.0,0.0,0.0,0.0,53698.996,675441.0,675441.0
2008-03-01,0.0,0.0,0.0,10.332,143.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,62615.668,865402.0,865402.0
2008-04-01,0.0,0.0,0.0,93.102,1291.0,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,55373.898,767933.0,767933.0
2008-05-01,0.0,0.0,0.0,203.585,2695.0,2695.0,0.0,0.0,0.0,0.0,0.0,0.0,55128.415,729868.0,729868.0
2008-06-01,0.0,0.0,0.0,10.102,131.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,60458.898,783384.0,783384.0
2008-07-01,0.0,0.0,0.0,177.47400000000002,2416.0,2416.0,0.0,0.0,0.0,0.0,0.0,0.0,52508.526,714723.0,714723.0
2008-08-01,0.0,0.0,0.0,6.878,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,62492.122,702827.0,702827.0
2008-09-01,0.0,0.0,0.0,66.184,827.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,58892.816,735935.0,735935.0
2008-10-01,0.0,0.0,0.0,97.182,1345.0,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,61106.818,845530.0,845530.0
2008-11-01,0.0,0.0,0.0,332.184,4463.0,4463.0,0.0,0.0,0.0,0.0,0.0,0.0,29489.816,396161.0,396161.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62484.0,783530.0,783530.0
2009-01-01,0.0,0.0,0.0,1.395,18.0,18.0,,,,,,,61641.605,789975.0,789975.0
2009-02-01,0.0,0.0,0.0,7.9270000000000005,101.0,101.0,,,,,,,56258.073000000004,719044.0,719044.0
2009-03-01,0.0,0.0,0.0,1.8760000000000001,24.0,24.0,,,,,,,62416.124,791850.0,791850.0
2009-04-01,0.0,0.0,0.0,5.95,77.0,77.0,,,,,,,60453.05,785842.0,785842.0
2009-05-01,0.0,0.0,0.0,181.78,2338.0,2338.0,,,,,,,53878.22,693069.0,693069.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,60471.0,783092.0,783092.0
2009-07-01,0.0,0.0,0.0,106.879,1380.0,1380.0,,,,,,,60907.121,786647.0,786647.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,62471.0,806230.0,806230.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,60462.0,782723.0,782723.0
2009-10-01,0.0,0.0,0.0,67.702,893.0,893.0,,,,,,,60016.298,791181.0,791181.0
2009-11-01,0.0,0.0,0.0,98.74600000000001,1267.0,1267.0,,,,,,,57859.254,742594.0,742594.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,61697.0,791297.0,791297.0
2010-01-01,,,,98.12100000000001,1261.0,1261.0,,,,,,,59392.879,763526.0,763526.0
2010-02-01,,,,0.0,0.0,0.0,,,,,,,56242.0,731300.0,731300.0
2010-03-01,,,,0.0,0.0,0.0,,,,,,,62187.0,816793.0,816793.0
2010-04-01,,,,0.0,0.0,0.0,,,,,,,60342.0,794200.0,794200.0
2010-05-01,,,,360.139,4778.0,4778.0,,,,,,,35441.861,470197.0,470197.0
2010-06-01,,,,0.0,0.0,0.0,,,,,,,60049.0,779950.0,779950.0
2010-07-01,,,,136.792,1797.0,1797.0,,,,,,,59527.208,781951.0,781951.0
2010-08-01,,,,0.0,0.0,0.0,,,,,,,61492.0,809740.0,809740.0
2010-09-01,,,,0.0,0.0,0.0,,,,,,,59732.0,782265.0,782265.0
2010-10-01,,,,115.254,1505.0,1505.0,,,,,,,61557.746,804015.0,804015.0
2010-11-01,,,,0.0,0.0,0.0,,,,,,,60014.0,788269.0,788269.0
2010-12-01,0.0,0.0,0.0,184.62800000000001,2398.0,2398.0,,,,,,,59819.372,776903.0,776903.0
2011-01-01,,,,0.0,0.0,0.0,,,,,,,61592.0,802797.0,802797.0
2011-02-01,,,,334.274,4391.0,4391.0,,,,,,,49190.726,646180.0,646180.0
2011-03-01,,,,0.0,0.0,0.0,,,,,,,62170.0,824197.0,824197.0
2011-04-01,,,,82.11,1083.0,1083.0,,,,,,,58820.89,775751.0,775751.0
2011-05-01,,,,0.0,0.0,0.0,,,,,,,61294.0,803707.0,803707.0
2011-06-01,,,,260.65,3403.0,3403.0,,,,,,,50277.35,656490.0,656490.0
2011-07-01,,,,168.844,2178.0,2178.0,,,,,,,59451.156,766785.0,766785.0
2011-08-01,,,,0.0,0.0,0.0,,,,,,,61330.0,812639.0,812639.0
2011-09-01,,,,62.409,774.0,774.0,,,,,,,37382.591,463318.0,463318.0
2011-10-01,,,,346.531,4534.0,4534.0,,,,,,,55788.469,729919.0,729919.0
2011-11-01,,,,0.0,0.0,0.0,,,,,,,60192.0,767125.0,767125.0
2011-12-01,,,,271.128,3308.0,3308.0,,,,,,,57191.872,697833.0,697833.0
2012-01-01,57827.107,781172.0,781172.0,244.893,3308.0,3308.0,,,,,,,,,
2012-02-01,53507.23,708770.0,708770.0,346.77,4593.0,4593.0,,,,,,,,,
2012-03-01,61897.577,829515.0,829515.0,20.423,274.0,274.0,,,,,,,,,
2012-04-01,36620.255,493294.0,493294.0,327.745,4415.0,4415.0,,,,,,,,,
2012-05-01,61211.614,812254.0,812254.0,157.386,2088.0,2088.0,,,,,,,,,
2012-06-01,60504.0,801241.0,801241.0,0.0,0.0,0.0,,,,,,,,,
2012-07-01,62051.0,830455.0,830455.0,0.0,0.0,0.0,,,,,,,,,
2012-08-01,61881.0,816416.0,816416.0,0.0,0.0,0.0,,,,,,,,,
2012-09-01,58203.375,768091.0,768091.0,90.625,1196.0,1196.0,,,,,,,,,
2012-10-01,62324.0,820705.0,820705.0,0.0,0.0,0.0,,,,,,,,,
2012-11-01,60293.0,778196.0,778196.0,0.0,0.0,0.0,,,,,,,,,
2012-12-01,45607.397,597349.0,597349.0,212.603,2785.0,2785.0,,,,,,,,,
2013-01-01,49515.0,677124.0,677124.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,48959.0,654150.0,654150.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,54164.366,727790.0,727790.0,99.634,1339.0,1339.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,193.0,101.0,101.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,40091.467,545884.0,545884.0,398.533,5426.0,5426.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,48604.0,675910.0,675910.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,49258.0,682206.0,682206.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,40122.571,565088.0,565088.0,128.429,1809.0,1809.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,44000.0,615422.0,615422.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,39887.968,540136.0,540136.0,355.032,4808.0,4808.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,46519.0,688213.0,688213.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,54825.0,744405.0,744405.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,5285.471,71755.0,71755.0,215.195,2921.0,2921.0,,,,284.114,3857.0,3857.0,46677.22,633681.0,633681.0
2014-02-01,8589.145,141128.0,141128.0,3.621,60.0,60.0,,,,1843.583,30292.0,30292.0,42798.651,703223.0,703223.0
2014-03-01,9844.429,138127.0,138127.0,0.0,0.0,0.0,,,,3344.615,46928.0,46928.0,41533.956,582764.0,582764.0
2014-04-01,6585.813,107732.0,107732.0,112.394,1839.0,1839.0,,,,3540.652,57919.0,57919.0,33068.141,540934.0,540934.0
2014-05-01,9305.453,137845.0,137845.0,97.203,1440.0,1440.0,,,,1698.046,25154.0,25154.0,30947.298,458434.0,458434.0
2014-06-01,7382.193,113137.0,113137.0,0.0,0.0,0.0,,,,2393.46,36681.0,36681.0,35191.347,539331.0,539331.0
2014-07-01,9955.265,154656.0,154656.0,0.383,6.0,6.0,,,,1207.575,18760.0,18760.0,32285.777,501564.0,501564.0
2014-08-01,7661.241,117121.0,117121.0,0.0,0.0,0.0,,,,2214.466,33853.0,33853.0,32072.293,490302.0,490302.0
2014-09-01,4548.694,66162.0,66162.0,0.0,0.0,0.0,,,,932.912,13569.0,13569.0,30793.394,447896.0,447896.0
2014-10-01,3279.835,48084.0,48084.0,156.255,2291.0,2291.0,,,,868.484,12732.0,12732.0,26904.426,394429.0,394429.0
2014-11-01,3308.354,45721.0,45721.0,0.0,0.0,0.0,,,,756.854,10460.0,10460.0,37412.792,517043.0,517043.0
2014-12-01,8937.478,110942.0,110942.0,23.967,298.0,298.0,,,,668.369,8297.0,8297.0,10058.186,124854.0,124854.0
2015-01-01,0.0,0.0,0.0,166.874,2321.0,2321.0,,,,0.0,0.0,0.0,38423.126,534299.0,534299.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,44295.0,613556.0,613556.0
2015-03-01,0.0,0.0,0.0,1.863,24.0,24.0,,,,0.0,0.0,0.0,37980.137,485196.0,485196.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,55.914,1577.0,1577.0,,,,0.0,0.0,0.0,2704.086,76254.0,76254.0
2015-06-01,0.0,0.0,0.0,92.093,1279.0,1279.0,,,,0.0,0.0,0.0,32470.907,451047.0,451047.0
2015-07-01,0.0,0.0,0.0,149.748,2041.0,2041.0,,,,0.0,0.0,0.0,6397.252,87185.0,87185.0
2015-08-01,0.0,0.0,0.0,158.975,2160.0,2160.0,,,,0.0,0.0,0.0,23650.025,321313.0,321313.0
2015-09-01,0.0,0.0,0.0,7.35,95.0,95.0,,,,0.0,0.0,0.0,6145.65,79602.0,79602.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,316.501,4070.0,4070.0,,,,0.0,0.0,0.0,29080.499,373939.0,373939.0
2015-12-01,0.0,0.0,0.0,15.889,208.0,208.0,,,,0.0,0.0,0.0,37310.111,489009.0,489009.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,42178.0,572107.0,572107.0
2016-02-01,0.0,0.0,0.0,165.23,2315.0,2315.0,,,,0.0,0.0,0.0,29177.77,408724.0,408724.0
2016-03-01,0.0,0.0,0.0,82.866,1178.0,1178.0,,,,0.0,0.0,0.0,28630.134,407032.0,407032.0
2016-04-01,0.0,0.0,0.0,76.668,1065.0,1065.0,,,,0.0,0.0,0.0,39436.332,547835.0,547835.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,18610.0,298403.0,298403.0
2016-06-01,0.0,0.0,0.0,205.899,2951.0,2951.0,,,,0.0,0.0,0.0,35359.101,506810.0,506810.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,47022.0,629619.0,629619.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,45246.0,606282.0,606282.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,32546.0,455086.0,455086.0
2016-10-01,0.0,0.0,0.0,158.393,2196.0,2196.0,,,,0.0,0.0,0.0,27167.607,376582.0,376582.0
2016-11-01,0.0,0.0,0.0,146.531,2065.0,2065.0,,,,0.0,0.0,0.0,30191.469,425404.0,425404.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,40630.0,579975.0,579975.0
2017-01-01,0.0,0.0,0.0,74.598,1044.0,1044.0,,,,0.0,0.0,0.0,39572.402,554011.0,554011.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,34173.0,472446.0,472446.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,37980.0,549352.0,549352.0
2017-04-01,0.0,0.0,0.0,81.335,1102.0,1102.0,,,,0.0,0.0,0.0,36328.665,492244.0,492244.0
2017-05-01,0.0,0.0,0.0,2.098,29.0,29.0,,,,0.0,0.0,0.0,37845.902,520449.0,520449.0
2017-06-01,0.0,0.0,0.0,302.735,4235.0,4235.0,,,,0.0,0.0,0.0,25262.265,353412.0,353412.0
2017-07-01,0.0,0.0,0.0,73.633,987.0,987.0,,,,0.0,0.0,0.0,38146.367,511155.0,511155.0
2017-08-01,0.0,0.0,0.0,97.67,1281.0,1281.0,,,,0.0,0.0,0.0,40693.33,533690.0,533690.0
2017-09-01,0.0,0.0,0.0,150.851,1996.0,1996.0,,,,0.0,0.0,0.0,33498.149,443328.0,443328.0
2017-10-01,0.0,0.0,0.0,99.718,1252.0,1252.0,,,,0.0,0.0,0.0,38175.282,479339.0,479339.0
2017-11-01,0.0,0.0,0.0,155.234,2031.0,2031.0,,,,0.0,0.0,0.0,29884.766,391003.0,391003.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,41304.0,524717.0,524717.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,45327.0,585968.0,585968.0
2018-02-01,0.0,0.0,0.0,21.658,289.0,289.0,,,,0.0,0.0,0.0,28247.342,376530.0,376530.0
2018-03-01,0.0,0.0,0.0,116.877,1513.0,1513.0,,,,0.0,0.0,0.0,41996.123,543572.0,543572.0
2018-04-01,0.0,0.0,0.0,1.297,17.0,17.0,,,,0.0,0.0,0.0,43529.703,581521.0,581521.0
2018-05-01,0.0,0.0,0.0,11.036,150.0,150.0,,,,0.0,0.0,0.0,40712.964,553848.0,553848.0
2018-06-01,0.0,0.0,0.0,177.497,2419.0,2419.0,,,,0.0,0.0,0.0,31106.503,423986.0,423986.0
2018-07-01,0.0,0.0,0.0,62.817,826.0,826.0,,,,0.0,0.0,0.0,42489.183,558488.0,558488.0
2018-08-01,0.0,0.0,0.0,4.278,58.0,58.0,,,,0.0,0.0,0.0,44443.722,599889.0,599889.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,13572.0,184372.0,184372.0
2018-10-01,0.0,0.0,0.0,523.546,7229.0,7229.0,,,,0.0,0.0,0.0,31798.454,439068.0,439068.0
2018-11-01,0.0,0.0,0.0,207.275,2962.0,2962.0,,,,0.0,0.0,0.0,25498.725,364389.0,364389.0
2018-12-01,0.0,0.0,0.0,218.987,2841.0,2841.0,,,,0.0,0.0,0.0,35239.013,457138.0,457138.0
2019-01-01,0.0,0.0,0.0,36.499,531.0,531.0,,,,0.0,0.0,0.0,39409.501,573560.0,573560.0
2019-02-01,0.0,0.0,0.0,181.434,2864.0,2864.0,,,,0.0,0.0,0.0,21999.566,347260.0,347260.0
2019-03-01,0.0,0.0,0.0,229.59,3672.0,3672.0,,,,0.0,0.0,0.0,28474.41,455444.0,455444.0
2019-04-01,0.0,0.0,0.0,127.601,1894.0,1894.0,,,,0.0,0.0,0.0,30827.399,457545.0,457545.0
2019-05-01,0.0,0.0,0.0,243.6,3753.0,3753.0,,,,0.0,0.0,0.0,30660.4,472380.0,472380.0
2019-06-01,0.0,0.0,0.0,375.47,5791.0,5791.0,,,,0.0,0.0,0.0,18093.53,279078.0,279078.0
2019-07-01,0.0,0.0,0.0,102.207,1547.0,1547.0,,,,0.0,0.0,0.0,32421.793,490872.0,490872.0
2019-08-01,0.0,0.0,0.0,171.312,2679.0,2679.0,,,,0.0,0.0,0.0,18189.688,284467.0,284467.0
2019-09-01,0.0,0.0,0.0,195.653,3713.0,3713.0,,,,0.0,0.0,0.0,2162.347,41032.0,41032.0
2019-10-01,0.0,0.0,0.0,94.7,1542.0,1542.0,,,,0.0,0.0,0.0,6772.3,110248.0,110248.0
2019-11-01,0.0,0.0,0.0,128.276,1778.0,1778.0,,,,0.0,0.0,0.0,10179.724,141130.0,141130.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,60.316,2678.0,2678.0,,,,0.0,0.0,0.0,1667.684,74044.0,74044.0
2020-08-01,0.0,0.0,0.0,382.918,7337.0,7337.0,,,,0.0,0.0,0.0,3466.082,66416.0,66416.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
