measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,,,,93042.0,757081.0,1285831.0
2001-02-01,,,,114692.0,899320.0,1526401.0
2001-03-01,,,,134263.0,857055.0,1357055.0
2001-04-01,,,,110993.0,646004.0,1146004.0
2001-05-01,,,,126759.0,819111.0,1319111.0
2001-06-01,,,,67201.0,437805.0,687805.0
2001-07-01,,,,100104.0,618558.0,1056058.0
2001-08-01,,,,123466.0,788375.0,1288375.0
2001-09-01,,,,97627.0,573687.0,1073687.0
2001-10-01,,,,118400.0,785376.0,1285376.0
2001-11-01,,,,127877.0,878226.0,1378226.0
2001-12-01,,,,133456.0,934640.0,1434640.0
2002-01-01,,,,133025.0,1110803.0,1438569.0
2002-02-01,,,,121399.0,931440.0,1230888.0
2002-03-01,,,,125938.0,967718.0,1255399.0
2002-04-01,,,,124499.0,940402.0,1257072.0
2002-05-01,,,,127733.0,904142.0,1238334.0
2002-06-01,,,,109882.0,905897.0,1193595.0
2002-07-01,,,,122871.0,930175.0,1263188.0
2002-08-01,,,,119243.0,912743.0,1229504.0
2002-09-01,,,,114551.0,891711.0,1179568.0
2002-10-01,353.0,2778.0,3594.0,120830.0,949440.0,1228655.0
2002-11-01,0.0,0.0,0.0,129269.0,980385.0,1298597.0
2002-12-01,20374.0,155397.0,203738.0,110671.0,844111.0,1106704.0
