measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed
2001-01-01,81253.96,926409.0,1008120.0,,,,,,
2001-02-01,71193.857,831517.0,910194.0,,,,,,
2001-03-01,58059.834,700016.0,758675.0,,,,,,
2001-04-01,68585.682,802747.0,883385.0,,,,,,
2001-05-01,68688.14600000001,829235.0,888462.0,,,,,,
2001-06-01,76317.058,913987.0,985757.0,,,,,,
2001-07-01,62978.107,753993.0,801455.0,,,,,,
2001-08-01,75804.738,886161.0,953738.0,,,,,,
2001-09-01,75394.882,880864.0,948791.0,,,,,,
2001-10-01,76428.837,903560.0,979337.0,,,,,,
2001-11-01,79875.353,919500.0,1010751.0,,,,,,
2001-12-01,81887.374,967304.0,1043113.0,,,,,,
2002-01-01,73671.623,888257.0,958776.0,,,,,,
2002-02-01,63248.239,759322.0,818745.0,,,,,,
2002-03-01,67756.655,816669.0,869606.0,,,,,,
2002-04-01,43808.022,540966.0,585572.0,,,,,,
2002-05-01,62652.085,768248.0,808747.0,,,,,,
2002-06-01,64291.509,783631.0,816998.0,,,,,,
2002-07-01,74798.727,909968.0,949231.0,,,,,,
2002-08-01,72656.298,890204.0,933049.0,,,,,,
2002-09-01,65614.226,809913.0,849520.0,,,,,,
2002-10-01,67719.39600000001,821773.0,867706.0,,,,,,
2002-11-01,71314.951,845872.0,895282.0,,,,,,
2002-12-01,76521.986,902385.0,955384.0,,,,,,
2003-01-01,78347.708,917990.0,993262.0,,,,,,
2003-02-01,75430.0,833454.0,898110.0,,,,,,
2003-03-01,75916.517,914786.0,980048.0,,,,,,
2003-04-01,75162.009,910040.0,968418.0,,,,,,
2003-05-01,66871.739,833710.0,881865.0,,,,,,
2003-06-01,74677.633,903151.0,953293.0,,,,,,
2003-07-01,79679.74,950910.0,999898.0,,,,,,
2003-08-01,80695.065,981275.0,1033099.0,,,,,,
2003-09-01,67309.54,827741.0,877259.0,,,,,,
2003-10-01,74537.91,903168.0,958074.0,,,,,,
2003-11-01,79176.735,950352.0,1003769.0,,,,,,
2003-12-01,79698.37,927095.0,985217.0,,,,,,
2004-01-01,85670.115,935829.75,1071754.75,,,,,,
2004-02-01,82479.438,900975.95,1031838.5,,,,,,
2004-03-01,80041.91,874349.25,1001344.5,,,,,,
2004-04-01,66395.629,725282.15,830626.0,,,,,,
2004-05-01,77814.841,850021.55,973483.25,,,,,,
2004-06-01,74208.255,810624.49,928364.0,,,,,,
2004-07-01,85715.11,936321.26,1072317.5,,,,,,
2004-08-01,79063.725,863663.9,989107.0,,,,,,
2004-09-01,60824.475,664424.84,760929.5,,,,,,
2004-10-01,66157.904,722685.32,827652.0,,,,,,
2004-11-01,62834.126000000004,686377.56,786070.75,,,,,,
2004-12-01,72541.457,792416.98,907512.0,,,,,,
2005-01-01,77706.776,848841.08,1008296.43,,,,,,
2005-02-01,67891.048,741617.57,880930.83,,,,,,
2005-03-01,73618.19,804178.83,955244.23,,,,,,
2005-04-01,61992.288,677181.63,804390.66,,,,,,
2005-05-01,73708.521,805165.58,956416.44,,,,,,
2005-06-01,75971.994,829890.95,985786.4,,,,,,
2005-07-01,80946.275,884228.22,1050331.17,,,,,,
2005-08-01,79711.847,870743.76,1034313.43,,,,,,
2005-09-01,74794.539,817028.84,970508.12,,,,,,
2005-10-01,73666.579,804707.41,955872.3,,,,,,
2005-11-01,73118.718,798722.77,948763.45,,,,,,
2005-12-01,79092.563,863978.93,1026277.88,,,,,,
2006-01-01,64968.869,709696.73,871876.15,,,,,,
2006-02-01,60646.931,662485.43,813876.18,,,,,,
2006-03-01,59287.987,647640.81,795639.17,,,,,,
2006-04-01,53452.74,583898.65,717330.87,,,,,,
2006-05-01,60153.946,657100.23,807260.34,,,,,,
2006-06-01,66363.915,724935.72,890597.48,,,,,,
2006-07-01,69882.944,763376.33,937822.73,,,,,,
2006-08-01,70919.058,774694.47,951727.27,,,,,,
2006-09-01,60493.603,660810.52,811818.56,,,,,,
2006-10-01,51080.517,557985.33,685495.91,,,,,,
2006-11-01,50460.486,551212.34,677175.04,,,,,,
2006-12-01,61339.065,670046.04,823164.65,,,,,,
2007-01-01,52561.0,578660.0,750477.0,,,,,,
2007-02-01,65089.0,705653.0,850729.0,,,,,,
2007-03-01,65301.0,714703.0,882786.0,,,,,,
2007-04-01,62010.0,681444.0,816104.0,,,,,,
2007-05-01,38631.0,432046.0,568247.0,,,,,,
2007-06-01,64637.0,704955.0,860335.0,,,,,,
2007-07-01,69339.0,759673.0,905831.0,,,,,,
2007-08-01,77397.0,839259.0,984168.0,,,,,,
2007-09-01,58427.0,639829.0,795623.0,,,,,,
2007-10-01,56440.0,624662.0,753056.0,,,,,,
2007-11-01,72228.0,782418.0,939041.0,,,,,,
2007-12-01,67108.0,731110.0,882313.0,,,,,,
2008-01-01,76028.0,825551.0,996240.0,,,,,,
2008-02-01,72055.0,782530.0,938542.0,,,,,,
2008-03-01,62729.0,686088.0,829805.0,,,,,,
2008-04-01,51493.0,577671.0,752797.0,,,,,,
2008-05-01,53691.0,598622.0,759834.0,,,,,,
2008-06-01,64418.0,708850.0,868957.0,,,,,,
2008-07-01,58173.0,645072.0,771992.0,,,,,,
2008-08-01,45030.0,507380.0,664467.0,,,,,,
2008-09-01,40950.0,462212.0,622536.0,,,,,,
2008-10-01,34909.0,397843.0,517466.0,,,,,,
2008-11-01,52929.0,585872.0,736941.0,,,,,,
2008-12-01,58274.0,641612.0,744951.0,,,,,,
2009-01-01,75550.0,820290.0,961304.0,,,,,,
2009-02-01,43354.0,485798.0,639725.0,,,,,,
2009-03-01,33713.298,384353.0,543011.0,,,,1154.702,13164.0,18598.0
2009-04-01,7396.3910000000005,116477.0,303021.0,,,,230.609,3632.0,9448.0
2009-05-01,901.797,45161.0,216450.0,,,,30.203000000000003,1513.0,7249.0
2009-06-01,46185.293,518798.0,673597.0,,,,203.70700000000002,2288.0,2971.0
2009-07-01,36859.0,420870.0,596651.0,,,,,,
2009-08-01,24348.0,285793.0,451955.0,,,,,,
2009-09-01,18033.0,221485.0,391245.0,,,,,,
2009-10-01,39756.0,448943.0,629391.0,,,,,,
2009-11-01,37927.0,427321.0,612518.0,,,,,,
2009-12-01,50461.0,561624.0,745568.0,,,,,,
2010-01-01,53925.0,594694.0,796239.0,,,,,,
2010-02-01,46453.0,515235.0,541417.0,,,,,,
2010-03-01,25146.0,295348.0,400644.0,,,,0.0,0.0,0.0
2010-04-01,32124.0,367500.0,617637.0,,,,0.0,0.0,0.0
2010-05-01,46813.0,522816.0,762003.0,,,,0.0,0.0,0.0
2010-06-01,57198.0,627102.0,796364.0,,,,0.0,0.0,0.0
2010-07-01,51210.0,570975.0,783950.0,,,,,,
2010-08-01,46815.0,521859.0,695603.0,,,,,,
2010-09-01,32398.0,369464.0,479926.0,,,,,,
2010-10-01,44101.0,493257.0,589604.0,,,,,,
2010-11-01,39842.0,448424.0,687831.0,,,,,,
2010-12-01,55065.0,607047.0,850463.0,,,,,,
2011-01-01,51110.0,566000.0,764925.0,,,,,,
2011-02-01,30647.0,351373.0,510752.0,,,,,,
2011-03-01,18649.0,231508.0,435521.0,,,,0.0,0.0,0.0
2011-04-01,28175.0,323767.0,489882.0,,,,0.0,0.0,0.0
2011-05-01,39519.0,445901.0,638993.0,,,,0.0,0.0,0.0
2011-06-01,40206.0,452199.0,626641.0,,,,0.0,0.0,0.0
2011-07-01,61593.0,677836.0,841986.0,,,,,,
2011-08-01,47656.0,530488.0,709679.0,,,,,,
2011-09-01,45546.0,506373.0,674963.0,,,,,,
2011-10-01,27737.0,319758.0,472913.0,,,,,,
2011-11-01,23066.0,273633.0,449675.0,,,,,,
2011-12-01,13697.0,174984.0,349398.0,,,,,,
2012-01-01,9646.0,132075.0,302492.0,,,,,,
2012-02-01,4433.0,75969.0,234199.0,,,,,,
2012-03-01,6682.0,98904.0,255919.0,,,,,,
2012-04-01,1867.0,45107.0,192829.0,,,,,,
2012-05-01,6610.0,96584.0,249388.0,,,,,,
2012-06-01,7362.0,103747.0,253071.0,,,,,,
2012-07-01,25579.0,306184.0,463583.0,,,,,,
2012-08-01,21154.0,254718.0,429031.0,,,,,,
2012-09-01,8516.0,118389.0,279250.0,,,,,,
2012-10-01,7207.0,107146.0,266214.0,,,,,,
2012-11-01,21665.0,259642.0,430047.0,,,,,,
2012-12-01,2745.0,59678.0,227474.0,,,,,,
2013-01-01,14269.0,185200.0,348257.0,,,,,,
2013-02-01,12380.0,159843.0,321394.0,,,,,,
2013-03-01,17074.0,204777.0,347754.0,,,,,,
2013-04-01,8242.0,118064.0,276244.0,,,,,,
2013-05-01,5902.0,98832.0,237214.0,,,,,,
2013-06-01,2372.0,57368.0,225073.0,,,,,,
2013-07-01,13266.0,175351.0,318801.0,,,,,,
2013-08-01,3952.0,67747.0,211997.0,,,,,,
2013-09-01,4429.0,73455.0,217907.0,,,,,,
2013-10-01,227.0,27921.0,162931.0,,,,,,
2013-11-01,6122.0,89278.0,236339.0,,,,,,
2013-12-01,5167.0,76589.0,216131.0,,,,,,
2014-01-01,40262.0,451864.0,607044.0,,,,,,
2014-02-01,26164.0,303742.0,462410.0,,,,,,
2014-03-01,11586.0,145222.0,279630.0,,,,,,
