measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2021-01-01,17.94,252.0,252.0
2021-02-01,17.446,245.0,245.0
2021-03-01,13.597,191.0,191.0
2021-04-01,15.489,217.0,217.0
2021-05-01,17.729,248.0,248.0
2021-06-01,24.132,338.0,338.0
2021-07-01,26.585,373.0,373.0
2021-08-01,27.111,380.0,380.0
2021-09-01,22.909,322.0,322.0
2021-10-01,19.385,272.0,272.0
2021-11-01,15.945,224.0,224.0
2021-12-01,16.732,235.0,235.0
2022-01-01,15.811,271.0,271.0
2022-02-01,14.079,242.0,242.0
2022-03-01,11.211,193.0,193.0
2022-04-01,11.687,202.0,202.0
2022-05-01,17.265,296.0,296.0
2022-06-01,21.016,361.0,361.0
2022-07-01,24.765,426.0,426.0
2022-08-01,24.894,428.0,428.0
2022-09-01,20.984,361.0,361.0
2022-10-01,16.218,278.0,278.0
2022-11-01,15.201,262.0,262.0
2022-12-01,16.869,290.0,290.0
2023-01-01,19.247,334.0,334.0
2023-02-01,18.153,313.0,313.0
2023-03-01,17.916,310.0,310.0
2023-04-01,17.303,299.0,299.0
2023-05-01,24.703,426.0,426.0
2023-06-01,28.536,492.0,492.0
2023-07-01,31.296,540.0,540.0
2023-08-01,34.446,594.0,594.0
2023-09-01,29.019,500.0,500.0
2023-10-01,21.42,370.0,370.0
2023-11-01,19.859,343.0,343.0
2023-12-01,21.102,364.0,364.0
2024-01-01,15.813,282.0,282.0
2024-02-01,10.917,194.0,194.0
2024-03-01,12.388,220.0,220.0
2024-04-01,11.639,206.0,206.0
2024-05-01,15.551,276.0,276.0
2024-06-01,17.545,312.0,312.0
2024-07-01,18.964,337.0,337.0
2024-08-01,21.428,380.0,380.0
2024-09-01,17.78,316.0,316.0
2024-10-01,15.401,274.0,274.0
2024-11-01,12.338,220.0,220.0
2024-12-01,13.236,235.0,235.0
