measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2023-11-01,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0
2024-01-01,18.231,260.0,260.0
2024-02-01,12.587,180.0,180.0
2024-03-01,14.284,204.0,204.0
2024-04-01,13.42,192.0,192.0
2024-05-01,17.931,256.0,256.0
2024-06-01,20.229,289.0,289.0
2024-07-01,21.866,312.0,312.0
2024-08-01,24.707,353.0,353.0
2024-09-01,20.5,293.0,293.0
2024-10-01,17.758,253.0,253.0
2024-11-01,14.226,203.0,203.0
2024-12-01,15.261,218.0,218.0
