measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2014-01-01,-946.308,0.0,0.0
2014-02-01,-898.072,0.0,0.0
2014-03-01,-1062.422,0.0,0.0
2014-04-01,-988.616,0.0,0.0
2014-05-01,-1242.033,0.0,0.0
2014-06-01,-1144.575,0.0,0.0
2014-07-01,-1245.441,0.0,0.0
2014-08-01,-1205.377,0.0,0.0
2014-09-01,-1168.847,0.0,0.0
2014-10-01,-1201.821,0.0,0.0
2014-11-01,-1157.401,0.0,0.0
2014-12-01,-1169.087,0.0,0.0
2015-01-01,-1054.009,0.0,0.0
2015-02-01,-911.821,0.0,0.0
2015-03-01,-1099.107,0.0,0.0
2015-04-01,-1085.212,0.0,0.0
2015-05-01,-1233.634,0.0,0.0
2015-06-01,-1163.393,0.0,0.0
2015-07-01,-1263.828,0.0,0.0
2015-08-01,-1260.59,0.0,0.0
2015-09-01,-1203.423,0.0,0.0
2015-10-01,-1207.201,0.0,0.0
2015-11-01,-1202.475,0.0,0.0
2015-12-01,-1240.307,0.0,0.0
2016-01-01,-958.767,0.0,0.0
2016-02-01,-902.276,0.0,0.0
2016-03-01,-1009.071,0.0,0.0
2016-04-01,-914.692,0.0,0.0
2016-05-01,-1141.454,0.0,0.0
2016-06-01,-1060.321,0.0,0.0
2016-07-01,-1130.167,0.0,0.0
2016-08-01,-1108.733,0.0,0.0
2016-09-01,-1050.443,0.0,0.0
2016-10-01,-1125.946,0.0,0.0
2016-11-01,-1082.492,0.0,0.0
2016-12-01,-1101.638,0.0,0.0
2017-01-01,-921.077,0.0,0.0
2017-02-01,-854.218,0.0,0.0
2017-03-01,-883.936,0.0,0.0
2017-04-01,-960.188,0.0,0.0
2017-05-01,-1062.336,0.0,0.0
2017-06-01,-1065.472,0.0,0.0
2017-07-01,-1119.307,0.0,0.0
2017-08-01,-1093.713,0.0,0.0
2017-09-01,-1010.052,0.0,0.0
2017-10-01,-1049.333,0.0,0.0
2017-11-01,-1072.485,0.0,0.0
2017-12-01,-1080.883,0.0,0.0
2018-01-01,-953.011,0.0,0.0
2018-02-01,-908.669,0.0,0.0
2018-03-01,-1033.811,0.0,0.0
2018-04-01,-1052.059,0.0,0.0
2018-05-01,-1055.203,0.0,0.0
2018-06-01,-1105.385,0.0,0.0
2018-07-01,-1170.862,0.0,0.0
2018-08-01,-1143.005,0.0,0.0
2018-09-01,-1061.908,0.0,0.0
2018-10-01,-1140.796,0.0,0.0
2018-11-01,-1079.553,0.0,0.0
2018-12-01,-1123.738,0.0,0.0
2019-01-01,-930.625,0.0,0.0
2019-02-01,-900.007,0.0,0.0
2019-03-01,-822.504,0.0,0.0
2019-04-01,-635.228,0.0,0.0
2019-05-01,-933.805,0.0,0.0
2019-06-01,-1024.892,0.0,0.0
2019-07-01,-1065.552,0.0,0.0
2019-08-01,-1054.648,0.0,0.0
2019-09-01,-971.852,0.0,0.0
2019-10-01,-1018.751,0.0,0.0
2019-11-01,-1028.572,0.0,0.0
2019-12-01,-1025.564,0.0,0.0
2020-01-01,-936.07,0.0,0.0
2020-02-01,-928.977,0.0,0.0
2020-03-01,-945.353,0.0,0.0
2020-04-01,-927.362,0.0,0.0
2020-05-01,-990.741,0.0,0.0
2020-06-01,-934.152,0.0,0.0
2020-07-01,-939.313,0.0,0.0
2020-08-01,-1016.547,0.0,0.0
2020-09-01,-905.739,0.0,0.0
2020-10-01,-989.78,0.0,0.0
2020-11-01,-946.228,0.0,0.0
2020-12-01,-1002.738,0.0,0.0
2021-01-01,-837.668,0.0,0.0
2021-02-01,-733.884,0.0,0.0
2021-03-01,-806.33,0.0,0.0
2021-04-01,-772.942,0.0,0.0
2021-05-01,-873.813,0.0,0.0
2021-06-01,-851.468,0.0,0.0
2021-07-01,-867.285,0.0,0.0
2021-08-01,-848.77,0.0,0.0
2021-09-01,-836.022,0.0,0.0
2021-10-01,-771.619,0.0,0.0
2021-11-01,-700.541,0.0,0.0
2021-12-01,-788.658,0.0,0.0
2022-01-01,-663.932,0.0,0.0
2022-02-01,-586.716,0.0,0.0
2022-03-01,-680.926,0.0,0.0
2022-04-01,-695.178,0.0,0.0
2022-05-01,-787.928,0.0,0.0
2022-06-01,-753.146,0.0,0.0
2022-07-01,-766.677,0.0,0.0
2022-08-01,-766.059,0.0,0.0
2022-09-01,-733.347,0.0,0.0
2022-10-01,-719.015,0.0,0.0
2022-11-01,-720.073,0.0,0.0
2022-12-01,-753.003,0.0,0.0
2023-01-01,-620.0,0.0,0.0
2023-02-01,-615.0,0.0,0.0
2023-03-01,-674.0,0.0,0.0
2023-04-01,-647.0,0.0,0.0
2023-05-01,-641.0,0.0,0.0
2023-06-01,-773.0,0.0,0.0
2023-07-01,-614.0,0.0,0.0
2023-08-01,-578.0,0.0,0.0
2023-09-01,-490.0,0.0,0.0
2023-10-01,-527.0,0.0,0.0
2023-11-01,-438.0,0.0,0.0
2023-12-01,-454.0,0.0,0.0
2024-01-01,-244.0,0.0,0.0
2024-02-01,-274.0,0.0,0.0
2024-03-01,-299.0,0.0,0.0
2024-04-01,-290.0,0.0,0.0
2024-05-01,-176.0,0.0,0.0
2024-06-01,-326.0,0.0,0.0
2024-07-01,-292.0,0.0,0.0
2024-08-01,-351.0,0.0,0.0
2024-09-01,-297.0,0.0,0.0
2024-10-01,-349.0,0.0,0.0
2024-11-01,-344.0,0.0,0.0
2024-12-01,-308.0,0.0,0.0
