measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,,,,582.0,9350.0,9350.0,,,,1403.0,20580.0,20580.0
2003-02-01,,,,187.0,3126.0,3126.0,,,,16.0,271.0,271.0
2003-03-01,,,,0.0,0.0,0.0,,,,1249.0,18611.0,18611.0
2003-04-01,,,,0.0,0.0,0.0,,,,9194.0,125016.0,125016.0
2003-05-01,,,,0.0,0.0,0.0,,,,428.0,7771.0,7771.0
2003-06-01,,,,0.0,0.0,0.0,,,,9389.0,117877.0,117877.0
2003-07-01,,,,0.0,0.0,0.0,,,,7518.0,97857.0,97857.0
2003-08-01,,,,0.0,0.0,0.0,,,,18391.0,234778.0,234778.0
2003-09-01,,,,0.0,0.0,0.0,,,,5835.0,80105.0,80105.0
2003-10-01,,,,0.0,0.0,0.0,,,,3188.0,47061.0,47061.0
2003-11-01,,,,0.0,0.0,0.0,,,,1157.0,18168.0,18168.0
2003-12-01,,,,0.0,0.0,0.0,,,,1469.0,23291.0,23291.0
2004-01-01,,,,0.0,0.0,0.0,,,,1993.0,29775.0,29775.0
2004-02-01,,,,0.0,0.0,0.0,,,,752.0,13090.0,13090.0
2004-03-01,,,,0.0,0.0,0.0,,,,862.0,13751.0,13751.0
2004-04-01,,,,0.0,0.0,0.0,,,,2388.0,33162.0,33162.0
2004-05-01,,,,0.0,0.0,0.0,,,,2845.0,36297.0,36297.0
2004-06-01,,,,0.0,0.0,0.0,,,,10678.0,85998.0,85998.0
2004-07-01,,,,0.0,0.0,0.0,,,,9529.0,160684.0,160684.0
2004-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-09-01,,,,0.0,0.0,0.0,,,,321.0,5381.0,5381.0
2004-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-12-01,,,,8.0,70.0,70.0,,,,319.0,4096.0,4096.0
2005-01-01,,,,0.0,0.0,0.0,,,,1615.0,17201.31,17201.31
2005-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
