measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,,,,7584.934,92120.0,118230.0,261.66900000000004,0.0,0.0
2003-02-01,,,,6998.2,84994.0,109084.0,241.42800000000003,0.0,0.0
2003-03-01,,,,7714.671,93696.0,120252.0,266.145,0.0,0.0
2003-04-01,,,,7295.653,88607.0,113721.0,251.68900000000002,0.0,0.0
2003-05-01,,,,8353.397,101453.0,130208.0,288.18,0.0,0.0
2003-06-01,,,,8703.405,105704.0,135664.0,300.255,0.0,0.0
2003-07-01,,,,11174.381,135715.0,174180.0,385.5,0.0,0.0
2003-08-01,,,,10497.94,127499.0,163636.0,362.16400000000004,0.0,0.0
2003-09-01,,,,9593.128,116510.0,149533.0,330.949,0.0,0.0
2003-10-01,,,,9027.979000000001,109646.0,140723.0,311.452,0.0,0.0
2003-11-01,,,,7642.183,92815.0,119122.0,263.644,0.0,0.0
2003-12-01,,,,8114.13,98547.0,126479.0,279.926,0.0,0.0
2004-01-01,,,,10646.173999999999,96069.84,138892.53,554.929,0.0,0.0
2004-02-01,,,,10733.739,96582.89,140034.93,527.183,0.0,0.0
2004-03-01,,,,10507.811,94948.38,137087.42,562.537,0.0,0.0
