measured_on,"Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,2608.708,25029.0,194463.0
2003-02-01,2040.634,19579.0,152117.0
2003-03-01,2329.424,22350.0,173644.0
2003-04-01,2362.0080000000003,22662.0,176073.0
2003-05-01,2823.545,27090.0,210478.0
2003-06-01,2748.679,26372.0,204897.0
2003-07-01,3122.0330000000004,29954.0,232728.0
2003-08-01,3441.0860000000002,33015.0,256512.0
2003-09-01,2739.266,26282.0,204195.0
2003-10-01,2628.97,25224.0,195973.0
2003-11-01,2397.217,23000.0,178698.0
2003-12-01,2557.4280000000003,24537.0,190640.0
2004-01-01,3277.3070000000002,15490.05,205604.01
2004-02-01,3277.3070000000002,15490.05,205604.01
2004-03-01,3277.3070000000002,15490.05,205604.01
2004-04-01,3277.3070000000002,15490.05,205604.01
2004-05-01,3277.3070000000002,15490.05,205604.01
2004-06-01,3277.3070000000002,15490.05,205604.01
2004-07-01,3277.3070000000002,15490.05,205604.01
2004-08-01,3277.3070000000002,15490.05,205604.01
2004-09-01,3277.3070000000002,15490.05,205604.01
2004-10-01,3277.3070000000002,15490.05,205604.01
2004-11-01,3277.3070000000002,15490.05,205604.01
2004-12-01,3277.3070000000002,15490.05,205604.01
2005-01-01,1666.9470000000001,7878.76,225198.05
2005-02-01,1344.872,6356.48,181686.97
2005-03-01,1600.371,7564.09,216203.89
2005-04-01,1688.315,7979.75,228084.77
2005-05-01,1833.6960000000001,8666.89,247725.28
2005-06-01,1730.785,8180.48,233822.35
2005-07-01,1763.8980000000001,8336.99,238295.82
2005-08-01,1678.651,7934.07,226779.26
2005-09-01,1479.266,6991.69,199843.17
2005-10-01,1052.105,4972.73,142135.33
2005-11-01,1082.307,5115.48,146215.51
2005-12-01,1431.1870000000001,6764.44,193347.77
2006-01-01,3427.6980000000003,16200.87,197461.2
2006-02-01,3295.605,15576.54,189851.66
2006-03-01,3617.465,17097.8,208393.23
2006-04-01,3444.828,16281.84,198448.06
2006-05-01,3796.577,17944.36,218711.43
2006-06-01,3461.433,16360.32,199404.62
2006-07-01,3485.2160000000003,16472.73,200774.7
2006-08-01,3798.543,17953.66,218824.7
2006-09-01,3265.447,15434.0,188114.35
2006-10-01,3551.79,16787.39,204609.87
2006-11-01,3424.702,16186.71,197288.64
2006-12-01,3287.164,15536.64,189365.41
2007-01-01,5999.173000000001,28354.0,142835.0
2007-02-01,4756.338000000001,22480.0,113243.0
2007-03-01,352.911,1668.0,8403.0
2007-04-01,3939.358,18619.0,93793.0
2007-05-01,1210.98,5723.0,28832.0
2007-06-01,2703.43,12778.0,64366.0
2007-07-01,2238.8430000000003,10582.0,53305.0
2007-08-01,1749.695,8269.0,41659.0
2007-09-01,550.221,2601.0,13100.0
2007-10-01,8593.65,40617.0,204607.0
2007-11-01,2518.42,11903.0,59962.0
2007-12-01,1842.4920000000002,8709.0,43868.0
2008-01-01,3031.154,14327.0,82522.0
2008-02-01,2650.902,12529.0,72170.0
2008-03-01,3166.41,14966.0,86206.0
2008-04-01,2385.541,11275.0,64946.0
2008-05-01,2812.469,13293.0,76570.0
2008-06-01,2771.739,13101.0,75461.0
2008-07-01,3506.789,16575.0,95472.0
2008-08-01,3458.656,16347.0,94161.0
2008-09-01,2595.454,12267.0,70661.0
2008-10-01,2654.837,12548.0,72278.0
2008-11-01,2360.57,11157.0,64267.0
2008-12-01,2833.869,13394.0,77152.0
2009-01-01,1550.975,7331.0,53475.0
2009-02-01,1523.4740000000002,7201.0,52526.0
2009-03-01,1493.337,7058.0,51487.0
2009-04-01,1328.0710000000001,6277.0,45789.0
2009-05-01,617.988,2921.0,21307.0
2009-06-01,262.32800000000003,1240.0,9044.0
2009-07-01,1206.327,5702.0,41591.0
2009-08-01,1934.3,9142.0,66691.0
2009-09-01,2348.772,11101.0,80980.0
2009-10-01,2254.217,10654.0,77721.0
2009-11-01,1703.247,8050.0,58724.0
2009-12-01,2497.964,11807.0,86124.0
