measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,29205.0,373366.0,373366.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,91400.0,1095885.0,1095885.0,0.0,0.0,0.0
2003-03-01,127.0,2320.0,2320.0,14000.0,259858.0,259858.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,88610.0,1065664.0,1065664.0,0.0,0.0,0.0
2003-05-01,27.0,302.0,302.0,154542.0,1783982.0,1783982.0,0.0,0.0,0.0
2003-06-01,50.0,592.0,592.0,113458.0,1360965.0,1360965.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,-1641.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,-1623.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,-1528.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,-2183.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,-2558.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,463.0,5179.0,5179.0,79317.0,905893.0,905893.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,-1927.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,-1260.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,-1120.0,409.0,409.0,0.0,0.0,0.0
2004-04-01,133.0,2030.0,2030.0,14480.0,222649.0,222649.0,2070.0,31739.0,31739.0
2004-05-01,203.0,2047.0,2047.0,29396.0,300240.0,300240.0,131048.0,1330812.0,1330812.0
2004-06-01,202.0,2221.0,2221.0,42873.0,477373.0,477373.0,153253.0,1696622.0,1696622.0
2004-07-01,143.0,1670.0,1670.0,73393.0,867160.0,867160.0,7998.0,93769.0,93769.0
2004-08-01,76.0,829.0,829.0,9897.0,108953.0,108953.0,52219.0,571549.0,571549.0
2004-09-01,228.0,2378.0,2378.0,10877.0,114412.0,114412.0,90604.0,951306.0,951306.0
2004-10-01,187.0,1931.0,1931.0,104363.0,1089033.0,1089033.0,146924.0,1528821.0,1528821.0
2004-11-01,116.0,1392.0,1392.0,4593.0,55938.0,55938.0,21494.0,260499.0,260499.0
2004-12-01,82.0,1074.0,1074.0,8178.0,101577.0,101577.0,18379.0,222000.0,222000.0
2005-01-01,-281.0,2001.0,2001.0,-2155.0,15578.75,15578.75,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,-1897.0,2228.47,2228.47,0.0,0.0,0.0
2005-03-01,625.0,6791.8,6791.8,19554.0,215007.59,215007.59,74222.0,811433.7,811433.7
2005-04-01,0.0,0.0,0.0,-1574.0,3517.48,3517.48,0.0,0.0,0.0
2005-05-01,1822.0,19731.6,19731.6,105207.0,1148596.78,1148596.78,17132.0,186694.2,186694.2
2005-06-01,1032.0,11118.6,11118.6,16132.0,175531.25,175531.25,208740.0,2262657.6,2262657.6
2005-07-01,571.0,6130.6,6130.6,255846.0,2780288.24,2780288.24,45765.0,494480.7,494480.7
2005-08-01,976.0,10654.6,10654.6,98250.0,1089078.74,1089078.74,284203.0,3123117.9,3123117.9
2005-09-01,902.0,9001.6,9001.6,231499.0,2346255.98,2346255.98,62704.0,629407.8,629407.8
2005-10-01,308.0,3300.2,3300.2,146523.0,1599860.64,1599860.64,56929.0,613846.8,613846.8
2005-11-01,-252.0,319.0,319.0,-4307.0,5572.16,5572.16,0.0,0.0,0.0
2005-12-01,57.0,620.6,620.6,19342.0,214177.81,214177.81,67002.0,729861.3,729861.3
2006-01-01,0.0,0.0,0.0,-1858.0,583.0,583.0,0.0,0.0,0.0
2006-02-01,2.0,87.0,87.0,1864.0,68106.0,68106.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,7656.0,109503.0,109503.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,18091.0,227535.0,227535.0,-512.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,54923.0,613492.0,613492.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,155883.0,1911140.0,1911140.0,0.0,0.0,0.0
2006-07-01,24.0,302.0,302.0,94072.0,1190876.0,1190876.0,0.0,0.0,0.0
2006-08-01,595.0,6612.0,6612.0,217000.0,2441294.0,2441294.0,43614.0,487374.0,487374.0
2006-09-01,762.0,8891.0,8891.0,144166.0,1705018.0,1705018.0,14588.0,171209.0,171209.0
2006-10-01,642.0,7656.0,7656.0,38004.0,459751.0,459751.0,0.0,0.0,0.0
2006-11-01,116.0,1560.0,1560.0,40024.0,546439.0,546439.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,8535.0,8535.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,1083.252,14291.0,14291.0,55694.748,734773.0,734773.0,0.0,0.0,0.0
2007-03-01,79.217,934.0,934.0,10843.778,127825.0,127825.0,24194.005,285195.0,285195.0
2007-04-01,172.87800000000001,3271.0,3271.0,2749.071,52018.0,52018.0,1957.0520000000001,37031.0,37031.0
2007-05-01,1460.921,17777.0,17777.0,113873.331,1385651.0,1385651.0,10267.749,124942.0,124942.0
2007-06-01,307.79,3608.0,3608.0,188059.175,2204235.0,2204235.0,45439.034,532589.0,532589.0
2007-07-01,344.265,4083.0,4083.0,202876.735,2406244.0,2406244.0,0.0,0.0,0.0
2007-08-01,653.6270000000001,7644.0,7644.0,411748.373,4815547.0,4815547.0,0.0,0.0,0.0
2007-09-01,259.137,2952.0,2952.0,399378.863,4549896.0,4549896.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,233526.0,2613499.0,2613499.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,16745.0,16745.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,25310.0,25310.0,0.0,0.0,0.0
2008-01-01,464.553,5075.0,5075.0,114941.447,1255674.0,1255674.0,0.0,0.0,0.0
2008-02-01,9.983,110.0,110.0,69145.01699999999,763248.0,763248.0,0.0,0.0,0.0
2008-03-01,100.839,1143.0,1143.0,65182.161,738574.0,738574.0,0.0,0.0,0.0
2008-04-01,56.516000000000005,771.0,771.0,26009.484,355009.0,355009.0,0.0,0.0,0.0
2008-05-01,168.95100000000002,1937.0,1937.0,208490.049,2390552.0,2390552.0,0.0,0.0,0.0
2008-06-01,222.037,2419.0,2419.0,284224.963,3096001.0,3096001.0,0.0,0.0,0.0
2008-07-01,137.36700000000002,1647.0,1647.0,186007.633,2230458.0,2230458.0,0.0,0.0,0.0
2008-08-01,31.107000000000003,377.0,377.0,201159.893,2437981.0,2437981.0,0.0,0.0,0.0
2008-09-01,181.697,2181.0,2181.0,280740.303,3369563.0,3369563.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,251272.0,2932494.0,2932494.0,0.0,0.0,0.0
2008-11-01,98.837,1224.0,1224.0,60453.163,748532.0,748532.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,24303.0,291021.0,291021.0,0.0,0.0,0.0
2009-01-01,837.248,12134.0,12134.0,36364.752,527007.0,527007.0,0.0,0.0,0.0
2009-02-01,189.34400000000002,2227.0,2227.0,93283.656,1097271.0,1097271.0,0.0,0.0,0.0
2009-03-01,299.64,3474.0,3474.0,63759.36,739263.0,739263.0,0.0,0.0,0.0
2009-04-01,-489.666,0.0,0.0,-489.66700000000003,0.0,0.0,-489.66700000000003,0.0,0.0
2009-05-01,15.216000000000001,174.0,174.0,173654.784,1985833.0,1985833.0,0.0,0.0,0.0
2009-06-01,409.56600000000003,4831.0,4831.0,282086.434,3327599.0,3327599.0,0.0,0.0,0.0
2009-07-01,102.75200000000001,1206.0,1206.0,157788.248,1852566.0,1852566.0,0.0,0.0,0.0
