measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,7115.9,107670.75,107670.75,5822.1,88094.25,88094.25,301.0,4550.0,4550.0
2003-02-01,6884.35,100038.4,100038.4,5632.65,81849.6,81849.6,261.0,3788.0,3788.0
2003-03-01,7308.4,113498.0,113498.0,5979.6,92862.0,92862.0,132.0,2050.0,2050.0
2003-04-01,7064.75,105366.8,105366.8,5780.25,86209.2,86209.2,227.0,3380.0,3380.0
2003-05-01,4187.15,65302.05,65302.05,3425.85,53428.95,53428.95,161.0,2515.0,2515.0
2003-06-01,7714.85,109789.9,109789.9,6312.15,89828.1,89828.1,116.0,1656.0,1656.0
2003-07-01,7756.65,111342.0,111342.0,6346.35,91098.0,91098.0,120.0,1717.0,1717.0
2003-08-01,6723.6884,116424.0,116424.0,5501.1996,95256.0,95256.0,197.476,3414.0,3414.0
2003-09-01,6699.6094,108169.6,108169.6,5481.4986,88502.4,88502.4,118.299,1909.0,1909.0
2003-10-01,6743.0,104831.1,104831.1,5517.0,85770.9,85770.9,163.0,2535.0,2535.0
2003-11-01,7878.2,119688.8,119688.8,6445.8,97927.2,97927.2,195.0,2959.0,2959.0
2003-12-01,7609.8,112105.95,112105.95,6226.2,91723.05,91723.05,302.0,4444.0,4444.0
2004-01-01,6705.09565,100138.5,100138.5,5485.98735,81931.5,81931.5,202.417,3022.0,3022.0
2004-02-01,6705.09565,100138.5,100138.5,5485.98735,81931.5,81931.5,202.417,3022.0,3022.0
2004-03-01,6705.09565,100138.5,100138.5,5485.98735,81931.5,81931.5,202.417,3022.0,3022.0
2004-04-01,6705.09565,100138.5,100138.5,5485.98735,81931.5,81931.5,202.417,3022.0,3022.0
2004-05-01,6705.09565,100138.5,100138.5,5485.98735,81931.5,81931.5,202.417,3022.0,3022.0
2004-06-01,6705.09565,100138.5,100138.5,5485.98735,81931.5,81931.5,202.417,3022.0,3022.0
